"MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err"
"57982.981	Swope_i	2.7123872793862084e-16	4.996401810965905e-18	GeneralFilters	E2V4kx4kccd	0.4524814800024614	-0.3443991917015087	-15.566648301054109	0.007999999676908"
"57982.99	FourStar_H	2.5720898297666057e-17	3.5534732764092535e-18	GeneralFilters	FourStar	0.461481480000657	-0.3358457232294219	-16.58971386782764	0.0599999975768825"
"57982.999	VISTA_Ks	1.0069786567339569e-17	4.63730790063737e-19	GeneralFilters	VIRCAM	0.4704814800061285	-0.3274574674321456	-16.996979734372797	0.0199999991922892"
"57983.0	FourStar_J	6.736907768614266e-17	9.307381664644106e-18	GeneralFilters	FourStar	0.4714814800026943	-0.3265353618674832	-16.171539398299107	0.0599999975768389"
"57983.003	DECam_i	2.6204247627312897e-16	7.240500902739213e-18	GeneralFilters	DECam	0.4744814799996675	-0.3237807343239748	-15.581628305184708	0.0119999995153366"
"57983.004	DECam_z	1.575117058222635e-16	4.352209093809714e-18	GeneralFilters	DECam	0.4754814800035092	-0.322866394160676	-15.802687165143558	0.0119999995153601"
"57983.009	VISTA_J	6.036551060113702e-17	1.667960630728245e-18	GeneralFilters	VIRCAM	0.4804814800008898	-0.3183233474094344	-16.219211121540134	0.0119999995153441"
"57983.019	VISTA_Y	1.3280086416077863e-16	1.223141111210512e-18	GeneralFilters	VIRCAM	0.4904814800029271	-0.3093773864173278	-15.87679909892104	0.0039999998384394"
"57983.029	VISTA_Ks	9.885992249136033e-18	5.463200991118026e-19	GeneralFilters	VIRCAM	0.5004814800049644	-0.300611988675097	-17.004979734372792	0.0239999990307324"
"57983.03	FourStar_Ks	1.220855104945373e-17	1.6866735910829165e-18	GeneralFilters	FourStar	0.5014814800015301	-0.2997451010915336	-16.91333587647832	0.0599999975764551"
"57983.039	VISTA_J	6.379532855598002e-17	1.7627299992409142e-18	GeneralFilters	VIRCAM	0.5104814799997257	-0.2920200092672229	-16.195211121539618	0.011999999515386"
"57983.059	FLAMINGOS-2_Ks	1.208874578696743e-17	4.4536583548602125e-19	GeneralFilters	FLAMINGOS-2	0.5304814800038002	-0.2753297734451144	-16.917618755057717	0.0159999993538065"
"57983.156	UVOT_M2	2.241028102653087e-16	4.5409387704944566e-17	GeneralFilters	UVOT	0.6274814800053718	-0.2023990877754763	-15.64955269734685	0.0879999964458974"
