#nm,g,r,i,z,dich,g+dich,r+dich,i+dich,z+dich
350,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
351,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
352,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
353,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
354,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
355,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
356,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
357,0.00193661,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
358,9.68E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
359,0.00193699,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
360,0.00193706,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
361,0.00193714,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
362,9.69E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
363,9.69E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
364,9.69E-04,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
365,0.00193832,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
366,0.00193857,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
367,0.00193855,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
368,0.0019387,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
369,0.00290856,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
370,0.00873049,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
371,0.0165021,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
372,0.0155352,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
373,0.0155371,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
374,0.0155409,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
375,0.0165175,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
376,0.0165183,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
377,0.0165186,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
378,0.0165191,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
379,0.0165212,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
380,0.0165231,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
381,0.0174975,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
382,0.017501,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
383,0.018476,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
384,0.0184764,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
385,0.0194509,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
386,0.0213981,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
387,0.0243181,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
388,0.0428024,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
389,0.107978,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
390,0.197484,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
391,0.236427,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
392,0.230626,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
393,0.271541,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
394,0.377656,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
395,0.485777,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
396,0.607518,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
397,0.974674,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
398,2.47218,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
399,7.61434,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00
400,19.6021,,,,55.03,1.08E+01,0.00E+00,0.00E+00,0.00E+00
401,38.6088,,,,57.7335,2.23E+01,0.00E+00,0.00E+00,0.00E+00
402,60.4369,,,,60.437,3.65E+01,0.00E+00,0.00E+00,0.00E+00
403,79.3001,,,,64.461,5.11E+01,0.00E+00,0.00E+00,0.00E+00
404,91.2036,,,,68.485,6.25E+01,0.00E+00,0.00E+00,0.00E+00
405,96.0238,,,,73.4695,7.05E+01,0.00E+00,0.00E+00,0.00E+00
406,97.0819,,,,78.454,7.62E+01,0.00E+00,0.00E+00,0.00E+00
407,97.6248,,,,79.369,7.75E+01,0.00E+00,0.00E+00,0.00E+00
408,98.3895,,,,80.284,7.90E+01,0.00E+00,0.00E+00,0.00E+00
409,98.8765,,,,80.6205,7.97E+01,0.00E+00,0.00E+00,0.00E+00
410,98.7429,,,,80.957,7.99E+01,0.00E+00,0.00E+00,0.00E+00
411,98.2146,,,,82.813,8.13E+01,0.00E+00,0.00E+00,0.00E+00
412,97.9113,,,,84.669,8.29E+01,0.00E+00,0.00E+00,0.00E+00
413,98.1031,,,,87.469,8.58E+01,0.00E+00,0.00E+00,0.00E+00
414,98.3301,,,,90.269,8.88E+01,0.00E+00,0.00E+00,0.00E+00
