MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57982.981,17.48,0.02,2.23070668586e-16,4.10911340341e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57982.99,18.26,0.15,2.43145040756e-17,3.35917274202e-18,FourStar_H,FourStar,GeneralFilters
57982.999,18.62,0.05,9.71918245677e-18,4.47584874745e-19,VISTA_Ks,VIRCAM,GeneralFilters
57983,17.83,0.15,6.18032054088e-17,8.53842802358e-18,FourStar_J,FourStar,GeneralFilters
57983.003,17.48,0.03,2.17178203678e-16,6.00085528938e-18,DECam_i,DECam,GeneralFilters
57983.004,17.59,0.03,1.36892821607e-16,3.78248829168e-18,DECam_z,DECam,GeneralFilters
57983.009,17.88,0.03,5.54633451368e-17,1.53250879874e-18,VISTA_J,VIRCAM,GeneralFilters
57983.019,17.46,0.01,1.18070932536e-16,1.08747343277e-18,VISTA_Y,VIRCAM,GeneralFilters
57983.029,18.64,0.06,9.54178738477e-18,5.27298636129e-19,VISTA_Ks,VIRCAM,GeneralFilters
57983.03,18.41,0.15,1.17813515328e-17,1.62765379914e-18,FourStar_Ks,FourStar,GeneralFilters
57983.039,17.82,0.03,5.86146342602e-17,1.61958213154e-18,VISTA_J,VIRCAM,GeneralFilters
57983.059,18.42,0.04,1.16686691829e-17,4.29889642088e-19,FLAMINGOS-2_Ks,FLAMINGOS-2,GeneralFilters
57983.156,21.12,0.22,9.69975381104e-17,1.96543667135e-17,UVOT_M2,UVOT,GeneralFilters
57983.162,19.46,0.11,4.47466690194e-16,4.5334523909e-17,UVOT_W1,UVOT,GeneralFilters
57983.167,18.19,0.09,5.81031389639e-16,4.81634698432e-17,UVOT_U,UVOT,GeneralFilters
57983.172,21.13,0.23,1.28448340186e-16,2.72102163676e-17,UVOT_W2,UVOT,GeneralFilters
57983.229,17.4,0.01,1.59879660718e-16,1.4725460343e-18,HSC_z,HSC,GeneralFilters
57983.231,17.24,0.06,2.82243937951e-16,1.55973757888e-17,GFC_i,GFC,GeneralFilters
57983.231,17.38,0.1,1.4177469758e-16,1.30579316811e-17,GFC_y,GFC,GeneralFilters
57983.231,17.26,0.06,1.99003451245e-16,1.09973366828e-17,GFC_z,GFC,GeneralFilters
57983.387,17.42,0.05,2.16893244179e-16,9.98830261295e-18,Skymapper_i,Skymapper,GeneralFilters
57983.401,17.28,0.12,8.11060471221e-16,8.9641712406e-17,Sinistro_g,Sinistro,GeneralFilters
57983.405,17.2,0.02,4.61967507448e-16,8.50975562511e-18,Sinistro_r,Sinistro,GeneralFilters
57983.419,17.32,0.07,4.09679892545e-16,2.64130377105e-17,Skymapper_r,Skymapper,GeneralFilters
57983.421,17.46,0.08,5.45503962494e-16,4.01942157273e-17,Skymapper_g,Skymapper,GeneralFilters
57983.569,20.21,0.21,2.24264592599e-16,4.33766161037e-17,UVOT_W1,UVOT,GeneralFilters
57983.572,19,0.16,2.75549479721e-16,4.06064703209e-17,UVOT_U,UVOT,GeneralFilters
57983.594,22.52,0.5,2.67153403617e-17,1.23028683973e-17,UVOT_M2,UVOT,GeneralFilters
57983.699,17.64,0.04,4.21670085664e-17,1.55348994272e-18,SIRIUS_H,SIRIUS,GeneralFilters
57983.699,17.51,0.03,7.71885290469e-17,2.13279778986e-18,SIRIUS_J,SIRIUS,GeneralFilters
57983.699,17.91,0.05,1.85773772503e-17,8.55519803916e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57983.741,17.75,0.02,2.78362950068e-16,5.12763482706e-18,Sinistro_r,Sinistro,GeneralFilters
57983.745,18.05,0.12,3.99073817669e-16,4.41072665499e-17,Sinistro_g,Sinistro,GeneralFilters
57983.964,18.22,0.08,2.29344384589e-16,1.68987180733e-17,EFOSC2_V,EFOSC2,GeneralFilters
57983.968,18.43,0.06,2.90173165424e-16,1.60355610746e-17,T80Cam_g,T80Cam,GeneralFilters
57983.969,18.16,0.05,2.42375161274e-16,1.11617882144e-17,EFOSC2_V,EFOSC2,GeneralFilters
57983.969,17.64,0.08,4.13582614979e-17,3.04738920164e-18,GROND_H,GROND,GeneralFilters
57983.969,17.58,0.07,8.08978716426e-17,5.21567832174e-18,GROND_J,GROND,GeneralFilters
57983.969,17.85,0.15,1.93824604518e-17,2.67778576196e-18,GROND_K,GROND,GeneralFilters
57983.969,18.49,0.04,2.77485113701e-16,1.02229289685e-17,GROND_g,GROND,GeneralFilters
57983.969,17.85,0.05,1.50849581043e-16,6.94687965131e-18,GROND_i,GROND,GeneralFilters
57983.969,17.99,0.01,2.32506670726e-16,2.14146548966e-18,GROND_r,GROND,GeneralFilters
57983.969,17.72,0.03,1.27481672318e-16,3.52244863746e-18,GROND_z,GROND,GeneralFilters
57983.97,18.13,0.08,2.4916561605e-16,1.83592003211e-17,EFOSC2_V,EFOSC2,GeneralFilters
57983.972,17.88,0.1,1.6187860893e-16,1.49095702697e-17,Sinistro_i,Sinistro,GeneralFilters
57983.974,18.51,0.04,2.69561117024e-16,9.93099815429e-18,T80Cam_g,T80Cam,GeneralFilters
57983.975,18.48,0.04,2.77113221642e-16,1.02092279593e-17,T80Cam_g,T80Cam,GeneralFilters
57983.976,18.61,0.04,2.45842660595e-16,9.05717796233e-18,T80Cam_g,T80Cam,GeneralFilters
57983.976,17.98,0.08,2.25222321383e-16,1.65949932442e-17,Sinistro_r,Sinistro,GeneralFilters
57983.976,17.32,0.03,1.40868522576e-16,3.89234096466e-18,DECam_Y,DECam,GeneralFilters
57983.977,17.59,0.02,1.36892821607e-16,2.52165886112e-18,DECam_z,DECam,GeneralFilters
57983.978,17.78,0.02,1.64746515095e-16,3.03474283568e-18,DECam_i,DECam,GeneralFilters
57983.978,18.04,0.02,2.00558298679e-16,3.69442024132e-18,DECam_r,DECam,GeneralFilters
57983.979,18.66,0.03,2.2409727789e-16,6.19203636732e-18,DECam_g,DECam,GeneralFilters
57983.98,19.94,0.05,9.02577017305e-17,4.15652060278e-18,DECam_u,DECam,GeneralFilters
57983.98,18.61,0.14,2.382611511e-16,3.07225269459e-17,Sinistro_g,Sinistro,GeneralFilters
57983.981,17.61,0.04,2.46147321736e-17,9.06840209313e-19,FourStar_Ks,FourStar,GeneralFilters
57983.981,17.47,0.01,8.61015560591e-17,7.93024605834e-19,FourStar_J,FourStar,GeneralFilters
57983.984,18.58,0.03,2.52730261866e-16,6.98319492023e-18,T80Cam_g,T80Cam,GeneralFilters
57983.985,18.55,0.03,2.59810828228e-16,7.17883819099e-18,T80Cam_g,T80Cam,GeneralFilters
57983.986,18.61,0.04,2.45842660595e-16,9.05717796233e-18,T80Cam_g,T80Cam,GeneralFilters
57983.989,17.77,0.02,2.12632543951e-17,3.91683604971e-19,VISTA_Ks,VIRCAM,GeneralFilters
57983.989,17.45,0.01,8.24149613793e-17,7.5906981539e-19,VISTA_J,VIRCAM,GeneralFilters
57983.99,17.52,0.01,4.80690363719e-17,4.42732168458e-19,FourStar_H,FourStar,GeneralFilters
57983.994,18.65,0.03,2.36950291526e-16,6.54717824417e-18,T80Cam_g,T80Cam,GeneralFilters
57983.995,18.22,0.04,2.25226564149e-16,8.29765293138e-18,Swope_V,E2V4kx4kccd,GeneralFilters
57983.995,18.6,0.04,2.48117414726e-16,9.1409829982e-18,T80Cam_g,T80Cam,GeneralFilters
57983.996,18.63,0.04,2.41355526346e-16,8.89186583409e-18,T80Cam_g,T80Cam,GeneralFilters
57983.999,17.23,0.01,1.45929466032e-16,1.34405999817e-18,VISTA_Y,VIRCAM,GeneralFilters
57984,17.63,0.1,4.31303866084e-17,3.97245524995e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57984.002,17.32,0.01,1.25199274488e-16,1.15312788579e-18,FourStar_J1,FourStar,GeneralFilters
57984.004,18.69,0.04,2.28379568129e-16,8.41381388609e-18,T80Cam_g,T80Cam,GeneralFilters
57984.005,18.67,0.03,2.32625461304e-16,6.4276787738e-18,T80Cam_g,T80Cam,GeneralFilters
57984.007,18.62,0.04,2.43588761535e-16,8.97414125566e-18,T80Cam_g,T80Cam,GeneralFilters
57984.01,18.14,0.04,2.46881251952e-16,9.0954410804e-18,EFOSC2_V,EFOSC2,GeneralFilters
57984.012,18.16,0.06,2.42375161274e-16,1.33941458573e-17,EFOSC2_V,EFOSC2,GeneralFilters
57984.013,18.18,0.04,2.3795131602e-16,8.76645009595e-18,EFOSC2_V,EFOSC2,GeneralFilters
57984.014,18.68,0.04,2.30492738255e-16,8.49166594745e-18,T80Cam_g,T80Cam,GeneralFilters
57984.016,18.67,0.04,2.32625461304e-16,8.57023836506e-18,T80Cam_g,T80Cam,GeneralFilters
57984.017,18.57,0.03,2.55068746187e-16,7.04780962728e-18,T80Cam_g,T80Cam,GeneralFilters
57984.034,19.07,0.04,1.70277494692e-16,6.27325448186e-18,Swope_B,E2V4kx4kccd,GeneralFilters
57984.036,20.79,0.5,5.29906925357e-17,2.44031147545e-17,UVOT_U,UVOT,GeneralFilters
57984.044,17.8,0.02,1.66127859337e-16,3.06018813593e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57984.046,18.25,0.06,2.23094113398e-16,1.23286358184e-17,EFOSC2_V,EFOSC2,GeneralFilters
57984.047,18.18,0.1,2.3795131602e-16,2.19161252399e-17,EFOSC2_V,EFOSC2,GeneralFilters
57984.047,17.98,0.02,2.20700802959e-16,4.06545886705e-18,Swope_r,E2V4kx4kccd,GeneralFilters
57984.055,18.49,0.12,2.60167467492e-16,2.87547699904e-17,Swope_g,E2V4kx4kccd,GeneralFilters
57984.056,20.1,0.28,9.36954965463e-17,2.41630866305e-17,EFOSC2_U,EFOSC2,GeneralFilters
57984.229,17.74,0.01,1.16894268605e-16,1.07663595791e-18,HSC_z,HSC,GeneralFilters
57984.231,17.87,0.06,1.57988189744e-16,8.73074966116e-18,GFC_i,GFC,GeneralFilters
57984.231,17.58,0.11,1.17923057106e-16,1.19472259476e-17,GFC_y,GFC,GeneralFilters
57984.231,17.78,0.07,1.23270911783e-16,7.94756906743e-18,GFC_z,GFC,GeneralFilters
57984.361,18.07,0.13,1.3589061487e-16,1.62707839549e-17,Sinistro_i,Sinistro,GeneralFilters
57984.365,18.34,0.11,1.61663296556e-16,1.63787131948e-17,Sinistro_r,Sinistro,GeneralFilters
57984.369,19.28,0.17,1.28544421951e-16,2.01269431317e-17,Sinistro_g,Sinistro,GeneralFilters
57984.379,17.96,0.07,1.31900373326e-16,8.50393099122e-18,Skymapper_i,Skymapper,GeneralFilters
57984.392,18.18,0.08,1.07707519634e-16,7.93618301106e-18,Skymapper_i,Skymapper,GeneralFilters
57984.456,18.46,0.17,1.43365498425e-16,2.2447564741e-17,Skymapper_r,Skymapper,GeneralFilters
57984.699,17.52,0.04,4.70947821366e-17,1.73503582282e-18,SIRIUS_H,SIRIUS,GeneralFilters
57984.699,17.69,0.04,6.53962378657e-17,2.40928634186e-18,SIRIUS_J,SIRIUS,GeneralFilters
57984.699,17.61,0.04,2.44897527449e-17,9.02235797184e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57984.738,18.93,0.1,9.38882902588e-17,8.64743075302e-18,Sinistro_r,Sinistro,GeneralFilters
57984.741,18.9,0.11,9.65186925892e-17,9.77866972613e-18,Sinistro_r,Sinistro,GeneralFilters
57984.745,18.33,0.12,1.06952136293e-16,1.18207864678e-17,Sinistro_i,Sinistro,GeneralFilters
57984.748,18.26,0.15,1.14074733727e-16,1.57600062455e-17,Sinistro_i,Sinistro,GeneralFilters
57984.751,19.06,0.07,1.07401808615e-16,6.92445021773e-18,Sinistro_V,Sinistro,GeneralFilters
57984.751,18.25,0.3,8.07378291076e-17,2.23086857083e-17,Sinistro_z,Sinistro,GeneralFilters
57984.758,19.93,0.21,7.06404139686e-17,1.36630668382e-17,Sinistro_g,Sinistro,GeneralFilters
57984.761,19.8,0.2,7.96256949286e-17,1.46675944606e-17,Sinistro_g,Sinistro,GeneralFilters
57984.761,18.8,0.07,1.04446761915e-16,6.73393132393e-18,GFC_r,GFC,GeneralFilters
57984.962,17.55,0.06,2.60132799457e-17,1.43754691689e-18,FourStar_Ks,FourStar,GeneralFilters
57984.963,17.55,0.01,7.99854514284e-17,7.36693202709e-19,FourStar_J,FourStar,GeneralFilters
57984.968,17.71,0.09,4.0066679408e-17,3.32124966017e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57984.968,19.1,0.11,8.02807517299e-17,8.13354320777e-18,Sinistro_r,Sinistro,GeneralFilters
57984.969,17.64,0.08,4.13582614979e-17,3.04738920164e-18,GROND_H,GROND,GeneralFilters
57984.969,17.73,0.09,7.04591007057e-17,5.84057046234e-18,GROND_J,GROND,GeneralFilters
57984.969,17.66,0.1,2.30892011091e-17,2.12659392543e-18,GROND_K,GROND,GeneralFilters
57984.969,20.19,0.11,5.79748574426e-17,5.87364963347e-18,GROND_g,GROND,GeneralFilters
57984.969,18.58,0.04,7.70094653665e-17,2.83713343698e-18,GROND_i,GROND,GeneralFilters
57984.969,19.13,0.17,8.13645857225e-17,1.27397234739e-17,GROND_r,GROND,GeneralFilters
57984.969,18.33,0.06,7.26854949265e-17,4.01674872805e-18,GROND_z,GROND,GeneralFilters
57984.971,17.57,0.01,4.59055733524e-17,4.2280593847e-19,FourStar_H,FourStar,GeneralFilters
57984.971,19.4,0.11,7.73549502341e-17,7.83711931573e-18,EFOSC2_V,EFOSC2,GeneralFilters
