wavelength	flux
3785.2	1.4266865e-16
3787.2	1.6630896e-16
3789.1	1.1211543e-16
3791.1	1.7093479e-16
3793.1	1.0195165e-16
3795.1	1.522886e-16
3797.1	2.6977289e-16
3799.0	2.1995789e-16
3801.0	8.7327554e-17
3803.0	3.6738042e-17
3805.0	6.952863e-17
3807.0	1.4304244e-16
3809.0	2.6373056e-16
3810.9	2.117437e-16
3812.9	1.7261817e-16
3814.9	1.605456e-16
3816.9	1.4031634e-16
3818.9	1.1006939e-16
3820.8	1.2694408e-16
3822.8	1.3773773e-16
3824.8	1.7033296e-16
3826.8	1.5270734e-16
3828.8	1.5499348e-16
3830.7	1.7962805e-16
3832.7	2.0540004e-16
3834.7	1.9275123e-16
3836.7	1.6504342e-16
3838.7	1.9316304e-16
3840.6	2.5918671e-16
3842.6	2.4286287e-16
3844.6	1.7642857e-16
3846.6	1.6519118e-16
3848.6	1.8629288e-16
3850.5	2.4070607e-16
3852.5	1.6524506e-16
3854.5	1.3382372e-16
3856.5	1.6365799e-16
3858.5	1.5575922e-16
3860.4	1.4686223e-16
3862.4	2.0016189e-16
3864.4	2.8568378e-16
3866.4	2.1587438e-16
3868.4	1.7313267e-16
3870.4	1.3822662e-16
3872.3	1.2601346e-16
3874.3	2.1367321e-16
3876.3	2.0203128e-16
3878.3	1.6275779e-16
3880.3	2.2777404e-16
3882.2	2.4806512e-16
3884.2	2.4334103e-16
3886.2	2.4126764e-16
3888.2	2.3914371e-16
3890.2	2.3709976e-16
3892.1	2.3508075e-16
3894.1	2.3330409e-16
3896.1	2.3002939e-16
3898.1	2.3069245e-16
3900.1	2.576857e-16
3902.0	2.4632454e-16
3904.0	1.4447012e-16
3906.0	1.2746633e-16
3908.0	1.8678698e-16
3910.0	2.146968e-16
3911.9	2.5851244e-16
3913.9	2.586261e-16
3915.9	1.8043599e-16
3917.9	1.8449196e-16
3919.9	2.0381324e-16
3921.9	2.1241802e-16
3923.8	2.1095652e-16
3925.8	1.864791e-16
3927.8	2.3968659e-16
3929.8	2.4956697e-16
3931.8	1.8437057e-16
3933.7	1.5750887e-16
3935.7	2.3524264e-16
3937.7	2.2142497e-16
3939.7	1.8959673e-16
3941.7	2.1573866e-16
3943.6	2.3055752e-16
3945.6	2.3928259e-16
3947.6	2.4041965e-16
3949.6	2.0733146e-16
3951.6	1.9382038e-16
3953.5	2.1633288e-16
3955.5	2.0276781e-16
3957.5	1.5641778e-16
3959.5	1.8074949e-16
3961.5	2.1377169e-16
3963.4	2.0321799e-16
3965.4	2.1033484e-16
3967.4	2.3077116e-16
3969.4	2.2102158e-16
3971.4	2.4036151e-16
3973.4	2.2382058e-16
3975.3	1.9523857e-16
3977.3	2.3209884e-16
3979.3	2.9248779e-16
3981.3	2.5523586e-16
3983.3	2.2864019e-16
3985.2	2.471034e-16
3987.2	2.2758883e-16
3989.2	2.3068678e-16
3991.2	2.3276711e-16
3993.2	2.3464691e-16
3995.1	2.3651211e-16
3997.1	2.383412e-16
3999.1	2.4012932e-16
4001.1	2.4189711e-16
4003.1	2.4362148e-16
4005.0	2.4530758e-16
4007.0	2.4696008e-16
4009.0	2.4858634e-16
4011.0	2.5019494e-16
4013.0	2.5173114e-16
4014.9	2.5326222e-16
4016.9	2.5461352e-16
4018.9	2.5774102e-16
4020.9	2.5051336e-16
4022.9	2.4016685e-16
4024.9	2.3542537e-16
4026.8	2.3348447e-16
4028.8	2.5205512e-16
4030.8	2.4248285e-16
4032.8	2.2790765e-16
4034.8	2.403795e-16
4036.7	2.3265797e-16
4038.7	1.9696982e-16
4040.7	2.077596e-16
4042.7	2.2984551e-16
4044.7	2.4156355e-16
4046.6	2.4117874e-16
4048.6	2.271624e-16
4050.6	2.2579887e-16
4052.6	2.2918859e-16
4054.6	2.1039376e-16
4056.5	1.8330189e-16
4058.5	2.0200779e-16
4060.5	1.9330295e-16
4062.5	1.7179009e-16
4064.5	2.0775147e-16
4066.4	2.2440333e-16
4068.4	1.9461527e-16
4070.4	1.914815e-16
4072.4	2.2588392e-16
4074.4	2.2013396e-16
4076.3	2.1305351e-16
4078.3	2.2827028e-16
4080.3	2.2140026e-16
4082.3	2.1839894e-16
