#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
9941.59872999	1.8661432795508624e-24	1.8650383599265678e-24	1.4293457206742e-16
9942.19868434	-2.7392943202455534e-17	-2.7371325491220084e-17	1.4117167365104e-16
9942.79963862	9.002986592784475e-18	8.99419886459307e-18	1.405773246384e-16
9943.39959297	-1.1889195323149426e-17	-1.1881893611808776e-17	1.4315892723968e-16
9943.99954733	0.0	0.0	1.3287524446838e-16
9944.59950168	1.629654444881474e-17	1.629372704167652e-17	1.227971793283201e-16
9945.19945603	2.4513818650702746e-17	2.4509728030432624e-17	1.2492645578726e-16
9945.79941039	-3.134794354536591e-17	-3.134282502787068e-17	1.339058838524001e-16
9946.39936475	-1.5568561308570645e-17	-1.5566007072573675e-17	1.413399822096e-16
9946.9993191	-2.1370795270149048e-17	-2.1366834799782227e-17	1.4891553130176e-16
9947.60027338	-1.7813489745993057e-17	-1.780945400599569e-17	1.5029034609288e-16
9948.20022774	2.3875285635733242e-17	2.386963667245194e-17	1.439148796951e-16
9948.8001821	7.215909628896778e-18	7.214486956204214e-18	1.3364799559419e-16
9949.40013646	-8.3360520345101e-18	-8.334645621629199e-18	1.248121602386101e-16
9950.00009081	2.4354855754236985e-17	2.4350644854967903e-17	1.2088833785665e-16
9950.60004517	2.4051362576830167e-17	2.4045542430532877e-17	1.1657488057575e-16
9951.19999953	2.123379179960536e-17	2.122382406588779e-17	1.156255712274e-16
9951.80095382	-2.264304858214381e-18	-2.2627726200651894e-18	1.1790771389182e-16
9952.40090818	1.89262283705567e-17	1.891475243125464e-17	1.120317038687e-16
9953.00086254	1.2472600501445335e-17	1.2465975628169313e-17	1.1069147286576e-16
9953.6008169	7.326402468617386e-17	7.322994136273641e-17	1.102655984104e-16
9954.20077127	9.415116891438402e-18	9.411717231663328e-18	1.0629332887152e-16
9954.80072563	3.057224150363434e-17	3.056461818139284e-17	1.0508780336384e-16
9955.40067999	-2.0652212551411179e-19	-2.0647372565706232e-19	1.0560572771488e-16
9956.00063436	-6.425479432718188e-18	-6.422730919490304e-18	1.0861867740168e-16
9956.60158865	3.485099602805205e-17	3.482806575635153e-17	1.133978720237e-16
9957.20154301	5.3074105777706584e-17	5.304155365728891e-17	1.313722628150401e-16
9957.80149738	4.044242344011994e-17	4.0417793497340013e-17	1.317207751261e-16
9958.40145174	1.7424922668382486e-17	1.7412499330232728e-17	1.2668842145996e-16
9959.00140611	-1.8469001826339965e-17	-1.8458296780540578e-17	1.0530426197475e-16
9959.60136048	-1.6762901155772006e-17	-1.6757066057408193e-17	1.0031440039045e-16
9960.20131485	-5.41581871313472e-18	-5.414643761506005e-18	1.0073553638954e-16
9960.80126922	4.260822257806634e-17	4.260074793094104e-17	1.004212968963e-16
9961.40222351	-8.410741376889383e-18	-8.409262710773178e-18	1.0184082961545e-16
9962.00217788	1.4659350574697237e-17	1.4656250092514132e-17	1.1113045431066e-16
9962.60213225	2.407638643104411e-17	2.406952052188975e-17	1.2487174527168e-16
9963.20208662	3.283094478717375e-17	3.282068593280211e-17	1.2170907867158e-16
9963.80204099	1.8699949735662482e-17	1.8695432172183995e-17	1.1811103696116e-16
9964.40199536	-1.6803820680515493e-19	-1.6800701846928451e-19	1.053739686876e-16
9965.00194974	-3.999780072179016e-17	-3.9990310697763374e-17	9.190181481400001e-17
9965.60290403	7.542560292118797e-18	7.540951372747476e-18	9.129443987646e-17
9966.20285841	-3.630201518160572e-17	-3.6292425537603223e-17	9.095374595516001e-17
9966.80281278	-7.449782455015318e-18	-7.447338269286875e-18	9.083642458334996e-17
9967.40276716	-1.3569347276957765e-17	-1.3563731948365366e-17	9.177784381091001e-17
9968.00272153	-9.344676955363245e-18	-9.336810302281402e-18	9.037862529108997e-17
9968.60267591	2.1482838340559326e-18	2.145618463402714e-18	9.097038234471e-17
9969.20263028	-5.790057142160675e-18	-5.785387702916729e-18	8.739681492425e-17
9969.80258466	1.1546934937630131e-17	1.1542797531629694e-17	8.82347384114e-17
9970.40353896	1.0693975725674664e-17	1.0690651108757904e-17	8.629532181053999e-17
9971.00349334	1.9471431961110386e-17	1.9465202651115008e-17	8.626364810910001e-17
9971.60344772	-2.8273785399630072e-18	-2.8265963009297344e-18	8.567424631583998e-17
9972.2034021	-9.140170725187997e-18	-9.137905195093689e-18	8.613920921969999e-17
9972.80335648	-2.7552564442995872e-18	-2.7546772715402603e-18	8.926684255971998e-17
9973.40331086	2.462565967115708e-17	2.4621211185536608e-17	9.031962956562002e-17
9974.00326524	2.3224681061638612e-17	2.322062640309067e-17	8.84783864328e-17
9974.60421954	1.869959019730488e-17	1.869615914194444e-17	8.734868788650002e-17
9975.20417392	-1.6907618108335317e-17	-1.6903831605620362e-17	8.302778297001002e-17
9975.80412831	2.971989579758657e-19	2.9712083414866027e-19	8.203218410059998e-17
9976.40408269	-1.4683002359264693e-18	-1.4679408085771564e-18	8.055910338240002e-17
9977.00403707	1.575001782034509e-17	1.5744286260316242e-17	8.050767945899e-17
9977.60399146	-7.592450512107949e-18	-7.584660460734146e-18	7.968571052455e-17
9978.20394584	-1.2724740603715864e-17	-1.2703678049936197e-17	8.032132933607996e-17
9978.80390023	4.2201528295506623e-19	4.215500830147037e-19	7.930681885567997e-17
9979.40485453	1.2064798374773822e-17	1.2059530860168993e-17	7.881445546811998e-17
9980.00480892	1.984059328323072e-17	1.9835273156483947e-17	7.841087151449999e-17
9980.60476331	-8.159105439009855e-18	-8.157313551380505e-18	7.600981513888003e-17
9981.20471769	-2.9888653856899715e-19	-2.988305012524752e-19	7.618850520888004e-17
9981.80467208	-3.73795427173116e-18	-3.737286100472195e-18	7.469725511496e-17
9982.40462647	4.625316518278868e-17	4.6244923164134984e-17	7.378683232034997e-17
9983.00458086	-5.397944539774972e-18	-5.39697187467735e-18	7.330136574294998e-17
9983.60453525	9.18698315686952e-18	9.18521169733578e-18	7.226271185679999e-17
9984.20548956	-1.0397986263036929e-17	-1.0394828463109367e-17	7.254953807085001e-17
9984.80544395	-1.6056347121160126e-17	-1.6044319097167337e-17	7.202540386943e-17
9985.40539834	2.610982543704941e-17	2.6079970812471878e-17	7.708281158417999e-17
9986.00535274	2.327916381818847e-17	2.3261617890544878e-17	7.829607167295998e-17
9986.60530713	2.5123717621996678e-17	2.511536480329937e-17	7.199842393858e-17
9987.20526152	6.308366843132009e-18	6.306308047168354e-18	7.121618276255993e-17
9987.80521591	2.1665687889376523e-18	2.1656801988325064e-18	6.987721290289999e-17
9988.40617023	5.27306840552759e-18	5.271323603234678e-18	6.878417481807998e-17
9989.00612463	8.017905665989965e-18	8.015326966948082e-18	6.791674864467e-17
9989.60607902	5.439902962621201e-18	5.4370930413888274e-18	6.819879057474999e-17
9990.20603342	-1.2346898834441605e-17	-1.2339249087791667e-17	6.908440996200003e-17
9990.80598781	2.826193640789574e-17	2.82500007095534e-17	6.902844064331001e-17
9991.40594221	-1.5144965481811784e-17	-1.5141090128547645e-17	8.695789915103e-17
9992.00589661	3.407698667230578e-17	3.4069141173551205e-17	8.154840078219997e-17
9992.605851	-2.7109629081095264e-17	-2.7102677994214696e-17	9.569145885939997e-17
9993.20680533	2.5476653848578424e-17	2.5463348727505748e-17	6.544629678395998e-17
9993.80675972	1.3081554371630461e-17	1.3063683012280896e-17	6.309980785088001e-17
9994.40671412	-1.6505970106656482e-17	-1.6473526197488977e-17	6.319025733554002e-17
9995.00666852	2.877922521588581e-17	2.87440158262936e-17	6.214372318764002e-17
9995.60662292	6.016103583656483e-18	6.013013630280507e-18	6.206260721478999e-17
9996.20657732	-4.3436437881863386e-18	-4.342090107527362e-18	6.356093205041998e-17
9996.80653173	8.283680591680938e-18	8.281468069592166e-18	6.212040201031e-17
9997.40648613	1.2764239602891392e-17	1.2761574385995963e-17	6.180553992794997e-17
9998.00744045	6.5109774611192204e-18	6.509438022776839e-18	5.95907652858e-17
9998.60739486	-3.018051073930902e-17	-3.016818517064283e-17	6.041127046032e-17
9999.21034903	1.334458939555911e-17	1.3334945130889739e-17	6.096355879475999e-17
9999.81030344	1.0313491894825318e-17	1.030054933890949e-17	6.117846277786e-17
10000.4102578	5.230226667058943e-18	5.221372557150597e-18	6.730132541599999e-17
10001.0102122	3.6861111338688913e-17	3.6818022868774525e-17	6.922317409338001e-17
10001.6101667	2.7423853095665582e-17	2.7410776331440373e-17	6.553355961509e-17
10002.2101211	-4.2516502358714276e-19	-4.2506011777037963e-19	6.248731414644002e-17
10002.8100755	2.155820960780787e-17	2.1552930649573587e-17	5.94809745805e-17
10003.4100299	-7.967236526234247e-19	-7.965095935514994e-19	5.799811574214999e-17
10004.0099843	8.828982673587924e-18	8.826902635413986e-18	5.725871737416e-17
10004.6099387	7.062667885887114e-18	7.061250053415056e-18	5.694451132320001e-17
10005.2098931	8.04924564679298e-18	8.047696337034775e-18	5.564564202509999e-17
10005.8098475	2.6619248122798198e-17	2.6614138422243563e-17	5.655189257524e-17
10006.4098019	-6.99055188688083e-18	-6.989208108225062e-18	5.568164910554002e-17
10007.0097563	-1.0050990444910682e-17	-1.0049054777579123e-17	5.674937136959999e-17
10007.6097107	2.16974665536462e-17	2.1693279150591308e-17	5.608730153715e-17
10008.2096652	-1.0266007079941399e-17	-1.0264021011843e-17	5.582651338302e-17
10008.8096196	2.9886128830040784e-17	2.9880324305659997e-17	5.716416512447e-17
10009.409574	3.2118829692092526e-17	3.211248714399107e-17	5.911159711360998e-17
10010.0095284	2.9946739929828296e-17	2.9939927283880647e-17	5.836123140659998e-17
10010.6094828	3.3073076739806036e-17	3.3060320239685364e-17	5.509232502557999e-17
10011.2094372	1.082482796991755e-17	1.0817079335931067e-17	6.824755103328e-17
10011.8093916	1.0623108391614727e-17	1.061343012690477e-17	7.313261543988001e-17
10012.409346	4.7914176440667266e-17	4.787060679002366e-17	6.612689565436e-17
10013.0093005	1.9089263047487528e-17	1.9069800030291057e-17	7.629709204611999e-17
10013.6092549	1.6513529969476942e-17	1.6499033805030864e-17	9.239033377838998e-17
10014.2092093	-2.4023978489215048e-17	-2.4012205911504964e-17	9.719418819140996e-17
10014.8091637	-8.50709194084063e-19	-8.504809889751464e-19	9.567454162286999e-17
10015.4091181	2.8873964815756145e-17	2.8866926918579893e-17	6.763618826495997e-17
10016.0090726	3.404078587216376e-17	3.402950163018989e-17	6.115412603691996e-17
10016.609027	-1.0771826202710784e-17	-1.0763066387291803e-17	5.45146587636e-17
10017.2089814	1.338097336072828e-18	1.3345234664583871e-18	5.140099656510001e-17
10017.8089358	2.5372042692122623e-17	2.524303214648345e-17	5.019573833119999e-17
10018.4088902	-1.9587192200370822e-17	-1.9494767810070896e-17	5.063521904499e-17
10019.0088447	-6.612421938519672e-18	-6.595304446628302e-18	4.914678254851001e-17
10019.6087991	2.124473998320341e-17	2.120958165303753e-17	4.85472296977e-17
10020.2087535	1.590478805176946e-17	1.5885332528682138e-17	4.806326844e-17
10020.8087079	-1.895498580133468e-18	-1.8943190464173707e-18	4.782823663875999e-17
10021.4086623	-1.6319017694948e-17	-1.6312902215214513e-17	4.651098994985999e-17
10022.0086168	1.2476327898421331e-17	1.246754736661716e-17	4.816009649688001e-17
10022.6085712	-1.2244342435364674e-17	-1.2226412310105385e-17	4.835272211660001e-17
10023.2085256	3.817293879057963e-18	3.8099309524943174e-18	4.717386348101002e-17
10023.8084801	1.2015394837604342e-18	1.1994980832616297e-18	4.665667671798001e-17
10024.4084345	6.1872242712946174e-18	6.178194278001293e-18	4.555033196939998e-17
10025.0083889	-5.2366388629338005e-18	-5.229408939748576e-18	4.505917757109999e-17
10025.6083433	9.300911813378687e-18	9.293320515923146e-18	5.136030156024e-17
10026.2082978	4.928088454099851e-18	4.926215823894476e-18	5.923869174255997e-17
10026.8082522	2.1000629967152374e-17	2.099220340468652e-17	5.885340594394e-17
10027.4082066	1.3951556308120055e-17	1.3944868133988318e-17	5.670825886440002e-17
10028.008161	5.3627296053129796e-18	5.360810123765969e-18	4.637004252465001e-17
10028.6081155	-8.952546274522667e-18	-8.950418437620778e-18	4.328877357609001e-17
10029.2080699	1.173088517187642e-17	1.1728418352672925e-17	4.206391930926002e-17
