#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
2989.56824211	5.0050994155205936e-18	5.0050994155205936e-18	6.232516041096001e-16
2989.76822556	4.1223244764039535e-18	4.1223244764039535e-18	6.233057687978e-16
2989.968209	-1.604196490584658e-17	-1.604196490584658e-17	6.216568330935e-16
2990.16819245	-7.417367892465876e-18	-7.417367892465876e-18	6.228140880531e-16
2990.3681759	-4.8687414435219465e-17	-4.8687414435219465e-17	6.192213216435998e-16
2990.56815934	-2.6601410919629498e-17	-2.6601410919629498e-17	6.219107265114e-16
2990.76814279	-1.0868260083370042e-16	-1.0868260083370042e-16	6.141226905752001e-16
2990.96912615	-7.642621081580742e-17	-7.642621081580742e-17	6.180521564564998e-16
2991.1691096	-2.323199548029526e-16	-2.323199548029526e-16	6.025285151197e-16
2991.36909305	-6.237481531408494e-17	-6.237481531408494e-17	6.270184804799995e-16
2991.56907649	-4.253050325638395e-16	-4.253050325638395e-16	5.648216495630999e-16
2991.76905994	3.4753147515797406e-16	3.4753147515797406e-16	6.353341513624e-16
2991.96904339	2.833322863526377e-16	2.833322863526377e-16	6.149410488275997e-16
2992.16902683	-5.0044651427891705e-16	-5.0044651427891705e-16	5.879427669599999e-16
2992.36901028	-4.454236377047429e-16	-4.454236377047429e-16	5.548732258021999e-16
2992.56899373	-2.6045435880120316e-16	-2.6045435880120316e-16	5.6716239412e-16
2992.76897717	-6.09131926387164e-16	-6.09131926387164e-16	5.241604921295e-16
2992.96896062	-5.693015155958522e-16	-5.693015155958522e-16	5.012116152975e-16
2993.16894407	-1.3931856572201702e-16	-1.3931856572201702e-16	5.406422036275001e-16
2993.36892751	1.2187083914146864e-16	1.2187083914146864e-16	5.350278761603997e-16
2993.56891096	1.3971070559293236e-16	1.3971070559293236e-16	5.490472544855997e-16
2993.76889441	-2.342548472454486e-16	-2.342548472454486e-16	4.866505808660001e-16
2993.96887785	-1.3051299552651666e-16	-1.3051299552651666e-16	4.870357158743999e-16
2994.1688613	-3.558227176032426e-17	-3.558227176032426e-17	5.054331139845e-16
2994.36884475	-2.1435605883444578e-16	-2.1435605883444578e-16	4.738658973405001e-16
2994.5688282	-1.631809063721415e-16	-1.631809063721415e-16	4.773310591375e-16
2994.76881164	-1.9004596023673624e-16	-1.9004596023673624e-16	4.312214427696e-16
2994.96879509	7.916268264670371e-17	7.916268264670371e-17	4.579108998816002e-16
2995.16877854	-4.591337080732959e-16	-4.591337080732959e-16	4.126570055694001e-16
2995.36876198	-6.615010067246503e-16	-6.615010067246503e-16	3.918473827128001e-16
2995.56874543	-4.590613407217291e-16	-4.590613407217291e-16	3.884548111183999e-16
