#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
5337.24043539	-2.1694527073441484e-15	-2.1647880669070395e-15	5.322413887671999e-15
5337.44041912	-3.9893999117357583e-16	-3.980842229963318e-16	5.663576273573998e-15
5337.64040285	5.288398421551151e-16	5.27708716056231e-16	5.668554936176001e-15
5337.84038658	7.495087531989628e-16	7.479105342120013e-16	5.636820530614e-15
5338.04037032	-1.51456834875994e-15	-1.5113487535805507e-15	5.376006483827998e-15
5338.24035405	-1.820929415483411e-15	-1.817070646725421e-15	5.062945271922998e-15
5338.44033778	-2.0465969140909545e-15	-2.0422736505747385e-15	5.235439375263e-15
5338.64032152	-1.5158695380224811e-15	-1.5126777602702998e-15	5.137176571308e-15
5338.84030525	-4.525630200902425e-16	-4.516132694579151e-16	5.040212443241999e-15
5339.04028898	-6.597604429215327e-16	-6.583805007478933e-16	5.151449392607998e-15
5339.24027272	-8.667667696849387e-16	-8.6495993360756285e-16	5.140140717503999e-15
5339.44025645	-3.8150360887210194e-16	-3.8071098680354774e-16	5.204444363920001e-15
5339.64024018	-6.058909261917737e-16	-6.046362294314057e-16	5.494165348643998e-15
5339.84022392	-2.604610659056842e-16	-2.599234140803233e-16	5.5247694026e-15
5340.04020765	-4.0109750419181916e-16	-4.002720784227539e-16	5.195463212983999e-15
5340.2411913	-1.2225577869380849e-16	-1.2200491575166531e-16	5.059653134544001e-15
5340.44117503	8.725443480186695e-16	8.707587659570859e-16	5.226496664679999e-15
5340.64115877	7.273622709608113e-16	7.258774743812723e-16	5.202890281027997e-15
5340.8411425	5.350123934293974e-16	5.339226602167312e-16	5.107461209903998e-15
5341.04112623	6.443384556310454e-16	6.430284870570499e-16	5.102583819969998e-15
5341.24110997	8.569572186527431e-16	8.552174665216628e-16	5.078244422936e-15
5341.4410937	-1.1924592294316254e-16	-1.190040632405913e-16	4.835420908685999e-15
5341.64107743	-1.0184804499069693e-15	-1.0164156963035197e-15	5.319682564383999e-15
5341.84106117	6.494845828556679e-16	6.48168017968127e-16	5.104087494489998e-15
5342.0410449	-3.1515832429949845e-16	-3.1451935500261394e-16	4.983352446563999e-15
5342.24102864	7.8787421003222285e-16	7.86276302886464e-16	4.816201617616e-15
5342.44101237	-2.3762376498428985e-15	-2.371416505796268e-15	4.614537971232e-15
5342.6409961	-8.621455428346771e-16	-8.603957850790571e-16	4.534346390033999e-15
5342.84097984	-2.000837130954464e-15	-1.996775836513014e-15	4.731484984644001e-15
5343.04096357	-8.97129606141984e-16	-8.953089564535805e-16	4.987358378530002e-15
5343.2409473	-1.4800541107446063e-15	-1.477052192284292e-15	4.638132187875e-15
5343.44093104	-1.135737637224879e-15	-1.133436660264008e-15	4.635588518515e-15
5343.64091477	-2.0339678203020716e-15	-2.0298543246963525e-15	4.52121832638e-15
5343.84089851	-1.0558002119852776e-15	-1.053670349302479e-15	4.779634173305002e-15
5344.04088224	1.3719461238213687e-15	1.3691877345602419e-15	4.95395940169e-15
5344.24086597	1.0877547655703359e-15	1.0855768101883072e-15	4.981723270649998e-15
5344.44084971	2.1296851528812764e-15	2.1254417600744205e-15	4.851741476069999e-15
5344.64083344	9.809171939060859e-16	9.78973512529263e-16	4.440480261714999e-15
5344.84081718	5.406047112713863e-16	5.395400277428001e-16	4.78286585919e-15
5345.04080091	-8.10841141822517e-16	-8.092547419141809e-16	4.74195782953e-15
5345.24078464	-7.899757703564821e-16	-7.884409214396526e-16	4.510746934100001e-15
5345.4417683	7.430059438933285e-17	7.415727323259252e-17	4.611721794030001e-15
5345.64175203	-7.656574076458266e-16	-7.641913268573189e-16	4.708085398554999e-15
5345.84173576	-1.6174064545346733e-15	-1.6143322710249474e-15	4.750760435400001e-15
5346.0417195	-5.993276578325802e-17	-5.981968261596422e-17	4.832028139440002e-15
5346.24170323	4.056532011199836e-16	4.048932324694641e-16	4.390671795724999e-15
5346.44168697	-1.3048762431718189e-15	-1.3024482839564317e-15	4.445507472820001e-15
5346.6416707	-7.891150287292809e-16	-7.876561595185102e-16	4.214046943530002e-15
5346.84165444	-3.0950726434539797e-15	-3.08938505478609e-15	4.043812146370001e-15
