#wls	flux	flux_err
nan	1.4685e-16	5.4063e-17
nan	1.4795e-16	5.4063e-17
nan	1.4888e-16	5.4063e-17
nan	1.4969e-16	5.4063e-17
nan	1.5041e-16	5.4063e-17
nan	1.5106e-16	5.4063e-17
nan	1.5165e-16	5.4063e-17
nan	1.5226e-16	5.4063e-17
nan	1.5333e-16	5.4063e-17
nan	1.5412e-16	5.4063e-17
nan	1.5325e-16	5.4063e-17
nan	1.5257e-16	5.4063e-17
nan	1.5335e-16	5.4063e-17
nan	1.5476e-16	5.4246e-17
nan	1.5692e-16	5.4109e-17
nan	1.5891e-16	5.3753e-17
nan	1.5950e-16	5.6008e-17
nan	1.6039e-16	5.6245e-17
3820.8000	1.6179e-16	5.6295e-17
3822.8000	1.6341e-16	5.1374e-17
3824.8000	1.6506e-16	4.9416e-17
3826.8000	1.6634e-16	4.8729e-17
3828.8000	1.6864e-16	4.2355e-17
3830.7000	1.7097e-16	4.0328e-17
3832.7000	1.7211e-16	4.0851e-17
3834.7000	1.7297e-16	3.5501e-17
3836.7000	1.7536e-16	3.4704e-17
3838.7000	1.7740e-16	3.4503e-17
3840.6000	1.7886e-16	3.9111e-17
3842.6000	1.8085e-16	3.9064e-17
3844.6000	1.8302e-16	3.8110e-17
3846.6000	1.8522e-16	3.9732e-17
3848.6000	1.8729e-16	4.2490e-17
3850.5000	1.8868e-16	4.2510e-17
3852.5000	1.8986e-16	4.2444e-17
3854.5000	1.9147e-16	4.3279e-17
3856.5000	1.9282e-16	4.3417e-17
3858.5000	1.9343e-16	4.3549e-17
3860.4000	1.9465e-16	4.3867e-17
3862.4000	1.9647e-16	4.4251e-17
3864.4000	1.9803e-16	4.4479e-17
3866.4000	1.9964e-16	4.1593e-17
3868.4000	2.0151e-16	3.9769e-17
3870.4000	2.0303e-16	4.0031e-17
3872.3000	2.0474e-16	4.0025e-17
3874.3000	2.0597e-16	4.0227e-17
3876.3000	2.0663e-16	4.0012e-17
3878.3000	2.0791e-16	4.0325e-17
3880.3000	2.1002e-16	4.0982e-17
3882.2000	2.1110e-16	4.4234e-17
3884.2000	2.1156e-16	4.3929e-17
3886.2000	2.1227e-16	4.2801e-17
3888.2000	2.1203e-16	4.3757e-17
3890.2000	2.1285e-16	4.1221e-17
3892.1000	2.1260e-16	4.1573e-17
3894.1000	2.1368e-16	4.1494e-17
3896.1000	2.1392e-16	3.9274e-17
3898.1000	2.1166e-16	3.5458e-17
3900.1000	2.0977e-16	3.5475e-17
3902.0000	2.1025e-16	3.5929e-17
