#wls	flux	fluxerr
1.001832E+04	8.629613E-17	2.970311E-17
1.001892E+04	8.689805E-17	2.844472E-17
1.001952E+04	8.730448E-17	2.853746E-17
1.002012E+04	8.795368E-17	2.846927E-17
1.002072E+04	8.846376E-17	2.829106E-17
1.002132E+04	8.895384E-17	2.834925E-17
1.002192E+04	8.948848E-17	2.790917E-17
1.002252E+04	8.990764E-17	2.776642E-17
1.002312E+04	9.045682E-17	2.536239E-17
1.002372E+04	9.093326E-17	2.541512E-17
1.002432E+04	9.149699E-17	2.524601E-17
1.002492E+04	9.200617E-17	2.529601E-17
1.002552E+04	9.240623E-17	2.527783E-17
1.002612E+04	9.288813E-17	2.527965E-17
1.002672E+04	9.328820E-17	2.529147E-17
1.002732E+04	9.365190E-17	2.459135E-17
1.002792E+04	9.417926E-17	2.457408E-17
1.002852E+04	9.461569E-17	2.461317E-17
1.002912E+04	9.483391E-17	2.449406E-17
1.002972E+04	9.502485E-17	2.439223E-17
1.003032E+04	9.520670E-17	2.473137E-17
1.003092E+04	9.546129E-17	2.376121E-17
1.003152E+04	9.582498E-17	2.378576E-17
1.003212E+04	9.600683E-17	2.382668E-17
1.003272E+04	9.629779E-17	2.384032E-17
1.003332E+04	9.648873E-17	2.395943E-17
1.003392E+04	9.657965E-17	2.396307E-17
1.003452E+04	9.670695E-17	2.392124E-17
1.003512E+04	9.693426E-17	2.389669E-17
1.003572E+04	9.708883E-17	2.279378E-17
1.003632E+04	9.718885E-17	2.170542E-17
1.003692E+04	9.727068E-17	2.126625E-17
1.003752E+04	9.725249E-17	2.044976E-17
1.003812E+04	9.729795E-17	1.956597E-17
1.003872E+04	9.717066E-17	1.964508E-17
1.003932E+04	9.725249E-17	1.929593E-17
1.003992E+04	9.721612E-17	1.935048E-17
1.004052E+04	9.735251E-17	1.929411E-17
1.004112E+04	9.747980E-17	1.876402E-17
1.004172E+04	9.760710E-17	1.762656E-17
1.004232E+04	9.778894E-17	1.805208E-17
1.004292E+04	9.793442E-17	1.798662E-17
1.004352E+04	9.831631E-17	1.798662E-17
1.004412E+04	9.824357E-17	1.809664E-17
1.004472E+04	9.876183E-17	1.868946E-17
1.004532E+04	9.910735E-17	1.824484E-17
1.004592E+04	9.947104E-17	1.822848E-17
1.004652E+04	9.979837E-17	1.815392E-17
1.004712E+04	1.005530E-16	1.823575E-17
1.004772E+04	1.013168E-16	1.845124E-17
1.004832E+04	1.019987E-16	1.849489E-17
1.004892E+04	1.024352E-16	1.840942E-17
