#wls	flux	fluxerr
3.291846E+03	1.951490E-17	1.365566E-17
3.292446E+03	1.952643E-17	1.368876E-17
3.292646E+03	1.955937E-17	1.369880E-17
3.293246E+03	1.958407E-17	1.360477E-17
3.293446E+03	1.966641E-17	1.361169E-17
3.294246E+03	1.966806E-17	1.365072E-17
3.294446E+03	1.975205E-17	1.367163E-17
3.294646E+03	1.984756E-17	1.375134E-17
3.294846E+03	1.985250E-17	1.370803E-17
3.295246E+03	1.982121E-17	1.369518E-17
3.295446E+03	1.992167E-17	1.361037E-17
3.296046E+03	2.004024E-17	1.356673E-17
3.296446E+03	2.000236E-17	1.358254E-17
3.297047E+03	2.006824E-17	1.360559E-17
3.297247E+03	2.000895E-17	1.357826E-17
3.297447E+03	1.983768E-17	1.359934E-17
3.298047E+03	1.978498E-17	1.356442E-17
3.298247E+03	1.974052E-17	1.358385E-17
3.299647E+03	1.978498E-17	1.358830E-17
3.300247E+03	1.974711E-17	1.361350E-17
3.300646E+03	1.961207E-17	1.361547E-17
3.301046E+03	1.977016E-17	1.352687E-17
3.301446E+03	1.983603E-17	1.332300E-17
3.301646E+03	1.993484E-17	1.321184E-17
3.301846E+03	2.000401E-17	1.314959E-17
3.302246E+03	2.013246E-17	1.313756E-17
3.302447E+03	2.021645E-17	1.308865E-17
3.302647E+03	2.015223E-17	1.305226E-17
3.302847E+03	2.027574E-17	1.303316E-17
3.303047E+03	2.027574E-17	1.308503E-17
3.303847E+03	2.040090E-17	1.313987E-17
3.304447E+03	2.038278E-17	1.320294E-17
3.304647E+03	2.033667E-17	1.320854E-17
3.305447E+03	2.043548E-17	1.326783E-17
3.306047E+03	2.047171E-17	1.324741E-17
3.306247E+03	2.053100E-17	1.336845E-17
3.306647E+03	2.046677E-17	1.332366E-17
3.306847E+03	2.030538E-17	1.332086E-17
3.307247E+03	2.026586E-17	1.327244E-17
3.307647E+03	2.034655E-17	1.326832E-17
3.307848E+03	2.018516E-17	1.308091E-17
3.308048E+03	2.019010E-17	1.309392E-17
3.308648E+03	2.024280E-17	1.306280E-17
3.309048E+03	2.032020E-17	1.305424E-17
3.310248E+03	2.030703E-17	1.275534E-17
3.310648E+03	2.008965E-17	1.252083E-17
3.310848E+03	2.010447E-17	1.234989E-17
3.311248E+03	2.023127E-17	1.218290E-17
3.312448E+03	2.028397E-17	1.209644E-17
3.313048E+03	2.017528E-17	1.204226E-17
3.313249E+03	2.024939E-17	1.204852E-17
3.314048E+03	2.019340E-17	1.209381E-17
3.314448E+03	2.009459E-17	1.210764E-17
3.314648E+03	1.980804E-17	1.211851E-17
3.315048E+03	1.980639E-17	1.211340E-17
3.315648E+03	1.985086E-17	1.210714E-17
3.315848E+03	1.982121E-17	1.208887E-17
3.316048E+03	1.975534E-17	1.208327E-17
3.317248E+03	1.978498E-17	1.208689E-17
3.317448E+03	1.983933E-17	1.213926E-17
3.317848E+03	1.995131E-17	1.231728E-17
3.318048E+03	1.989697E-17	1.228187E-17
3.318448E+03	1.992167E-17	1.226656E-17
3.318849E+03	1.987885E-17	1.236191E-17
3.319249E+03	1.989532E-17	1.237739E-17
3.319449E+03	1.982286E-17	1.237393E-17
3.319649E+03	1.979322E-17	1.233507E-17
