#wls	flux	fluxerr
5.636673E+03	3.480321E-18	2.463459E-18
5.638074E+03	3.490286E-18	2.455770E-18
5.639074E+03	3.482675E-18	2.458908E-18
5.639274E+03	3.485657E-18	2.458673E-18
5.639674E+03	3.517198E-18	2.452396E-18
5.639874E+03	3.531713E-18	2.454750E-18
5.640074E+03	3.530850E-18	2.427680E-18
5.640274E+03	3.554075E-18	2.425954E-18
5.640474E+03	3.533361E-18	2.424306E-18
5.640874E+03	3.517433E-18	2.409477E-18
5.641074E+03	3.527084E-18	2.411988E-18
5.641274E+03	3.510607E-18	2.405162E-18
5.641474E+03	3.504330E-18	2.403593E-18
5.641674E+03	3.523632E-18	2.391823E-18
5.642074E+03	3.505272E-18	2.397473E-18
5.642274E+03	3.453566E-18	2.407045E-18
5.642474E+03	3.461726E-18	2.406025E-18
5.642674E+03	3.444778E-18	2.367265E-18
5.643075E+03	3.454193E-18	2.337371E-18
5.643275E+03	3.407038E-18	2.344982E-18
5.643475E+03	3.411353E-18	2.340980E-18
5.643675E+03	3.399584E-18	2.346237E-18
5.643874E+03	3.401703E-18	2.332742E-18
5.644074E+03	3.402644E-18	2.332428E-18
5.644275E+03	3.346936E-18	2.323876E-18
5.644475E+03	3.347172E-18	2.324268E-18
5.644675E+03	3.363021E-18	2.328505E-18
5.644874E+03	3.360589E-18	2.331565E-18
5.645074E+03	3.380361E-18	2.330780E-18
5.645274E+03	3.392758E-18	2.331643E-18
5.645474E+03	3.406175E-18	2.336900E-18
5.645674E+03	3.408921E-18	2.336037E-18
5.645874E+03	3.427046E-18	2.329211E-18
5.646074E+03	3.427124E-18	2.337449E-18
5.646274E+03	3.420926E-18	2.341216E-18
5.646474E+03	3.386952E-18	2.342236E-18
5.646674E+03	3.397309E-18	2.328034E-18
5.646874E+03	3.383892E-18	2.331643E-18
5.647074E+03	3.372201E-18	2.314382E-18
5.647274E+03	3.377380E-18	2.310223E-18
5.647474E+03	3.398250E-18	2.323013E-18
5.647874E+03	3.411353E-18	2.321522E-18
5.648074E+03	3.408136E-18	2.322856E-18
5.648275E+03	3.425084E-18	2.320502E-18
5.648675E+03	3.420141E-18	2.312969E-18
5.648875E+03	3.428536E-18	2.312969E-18
5.649075E+03	3.435755E-18	2.323326E-18
5.649275E+03	3.417866E-18	2.312891E-18
5.649475E+03	3.433872E-18	2.312656E-18
5.649875E+03	3.456390E-18	2.311165E-18
5.650075E+03	3.478046E-18	2.309125E-18
5.650275E+03	3.487147E-18	2.298689E-18
5.650475E+03	3.501820E-18	2.288411E-18
5.650675E+03	3.523004E-18	2.285194E-18
5.650875E+03	3.549917E-18	2.282291E-18
5.651075E+03	3.570238E-18	2.282605E-18
5.651275E+03	3.552427E-18	2.273425E-18
5.651475E+03	3.569218E-18	2.268639E-18
5.651675E+03	3.564275E-18	2.214657E-18
5.651875E+03	3.542620E-18	2.207596E-18
5.652075E+03	3.569454E-18	2.208851E-18
5.652275E+03	3.578477E-18	2.209165E-18
5.652475E+03	3.599347E-18	2.204614E-18
5.652675E+03	3.592835E-18	2.191589E-18
5.652875E+03	3.580438E-18	2.192845E-18
5.653075E+03	3.566158E-18	2.182566E-18
5.653476E+03	3.543326E-18	2.098299E-18
5.653676E+03	3.540658E-18	2.088334E-18
5.653876E+03	3.563098E-18	2.084254E-18
5.654076E+03	3.587343E-18	2.075623E-18
5.654276E+03	3.595895E-18	2.063383E-18
5.654476E+03	3.590324E-18	2.063069E-18
5.654676E+03	3.586558E-18	2.053262E-18
5.654876E+03	3.607900E-18	2.054282E-18
5.655076E+03	3.626966E-18	2.060794E-18
5.655876E+03	3.633792E-18	2.061029E-18
5.656475E+03	3.653251E-18	2.053889E-18
5.656676E+03	3.689421E-18	2.056871E-18
5.656876E+03	3.680477E-18	2.053497E-18
5.657275E+03	3.679614E-18	2.054909E-18
5.657475E+03	3.708723E-18	2.047455E-18
5.657675E+03	3.705114E-18	2.046435E-18
5.658075E+03	3.698758E-18	2.045651E-18
5.658275E+03	3.723395E-18	2.064717E-18
5.658475E+03	3.725592E-18	2.062442E-18
5.658676E+03	3.726612E-18	2.067699E-18
5.659276E+03	3.717903E-18	2.072249E-18
5.659476E+03	3.740735E-18	2.068875E-18
5.659676E+03	3.767883E-18	2.069346E-18
5.659876E+03	3.765372E-18	2.065345E-18
5.660076E+03	3.738303E-18	2.064403E-18
5.660276E+03	3.746071E-18	2.061735E-18
5.660476E+03	3.751720E-18	2.058440E-18
5.660676E+03	3.764823E-18	2.054439E-18
5.661076E+03	3.760272E-18	2.052634E-18
5.661276E+03	3.784909E-18	2.059852E-18
5.661676E+03	3.783968E-18	2.073034E-18
5.661876E+03	3.763489E-18	2.085823E-18
5.662076E+03	3.753760E-18	2.087706E-18
5.662276E+03	3.743874E-18	2.088726E-18
5.662476E+03	3.720806E-18	2.098534E-18
5.662676E+03	3.708644E-18	2.099240E-18
5.662876E+03	3.672238E-18	2.099083E-18
5.663076E+03	3.664157E-18	2.108499E-18
5.663276E+03	3.668551E-18	2.119405E-18
5.663476E+03	3.670198E-18	2.118699E-18
5.663676E+03	3.681340E-18	2.122465E-18
5.663877E+03	3.696326E-18	2.125132E-18
5.664077E+03	3.693815E-18	2.124191E-18
5.664277E+03	3.722454E-18	2.120425E-18
5.664877E+03	3.696718E-18	2.119719E-18
5.665077E+03	3.694757E-18	2.127800E-18
5.665277E+03	3.698366E-18	2.122700E-18
5.666077E+03	3.697895E-18	2.123249E-18
5.666277E+03	3.688480E-18	2.120739E-18
5.666477E+03	3.705427E-18	2.115325E-18
5.666677E+03	3.669021E-18	2.112735E-18
5.666877E+03	3.656467E-18	2.131959E-18
5.667477E+03	3.613078E-18	2.132429E-18
5.667677E+03	3.559567E-18	2.128035E-18
5.667877E+03	3.561294E-18	2.118620E-18
5.668077E+03	3.555487E-18	2.107792E-18
5.668277E+03	3.555958E-18	2.097514E-18
5.668476E+03	3.543247E-18	2.092100E-18
5.668676E+03	3.529203E-18	2.078291E-18
5.668877E+03	3.525515E-18	2.089746E-18
5.669078E+03	3.492953E-18	2.094140E-18
5.669278E+03	3.487461E-18	2.093434E-18
5.669477E+03	3.490600E-18	2.097122E-18
5.669677E+03	3.473966E-18	2.102535E-18
5.670077E+03	3.488010E-18	2.096729E-18
5.670677E+03	3.489030E-18	2.100417E-18
5.670877E+03	3.497504E-18	2.102457E-18
5.671077E+03	3.498995E-18	2.102535E-18
5.671277E+03	3.506449E-18	2.103869E-18
5.671477E+03	3.511235E-18	2.103006E-18
5.671877E+03	3.521906E-18	2.094140E-18
5.672077E+03	3.529360E-18	2.093983E-18
5.672277E+03	3.479301E-18	2.089825E-18
5.673077E+03	3.501113E-18	2.102457E-18
5.673277E+03	3.483852E-18	2.102065E-18
5.673877E+03	3.463373E-18	2.112657E-18
5.674077E+03	3.461726E-18	2.122465E-18
5.674278E+03	3.418415E-18	2.118934E-18
5.674478E+03	3.404527E-18	2.126937E-18
5.674678E+03	3.399584E-18	2.103085E-18
5.674878E+03	3.378321E-18	2.098926E-18
5.675478E+03	3.369298E-18	2.107714E-18
5.675678E+03	3.372986E-18	2.123328E-18
5.676278E+03	3.382715E-18	2.122700E-18
5.676478E+03	3.379498E-18	2.127251E-18
5.676678E+03	3.361373E-18	2.128585E-18
5.676878E+03	3.352821E-18	2.130389E-18
5.677278E+03	3.340895E-18	2.112892E-18
5.677478E+03	3.327556E-18	2.099397E-18
5.677678E+03	3.323398E-18	2.094532E-18
5.677878E+03	3.320730E-18	2.089589E-18
5.678078E+03	3.322143E-18	2.082292E-18
5.678278E+03	3.315787E-18	2.082292E-18
5.678478E+03	3.310216E-18	2.078840E-18
5.678678E+03	3.305195E-18	2.072877E-18
5.678878E+03	3.307706E-18	2.076486E-18
5.679078E+03	3.312256E-18	2.080095E-18
5.679278E+03	3.320259E-18	2.088962E-18
5.679479E+03	3.325830E-18	2.098769E-18
5.679679E+03	3.321672E-18	2.108185E-18
5.680279E+03	3.322221E-18	2.111794E-18
5.680479E+03	3.319553E-18	2.088883E-18
5.680678E+03	3.320573E-18	2.089119E-18
5.680878E+03	3.320495E-18	2.094062E-18
5.681078E+03	3.324339E-18	2.091786E-18
5.681479E+03	3.329047E-18	2.097122E-18
5.681678E+03	3.333755E-18	2.094062E-18
5.681878E+03	3.336187E-18	2.094297E-18
5.682078E+03	3.349996E-18	2.095788E-18
5.682478E+03	3.355646E-18	2.099083E-18
5.682678E+03	3.363021E-18	2.110382E-18
5.682878E+03	3.379969E-18	2.108577E-18
5.683278E+03	3.391738E-18	2.105203E-18
5.683478E+03	3.396760E-18	2.099319E-18
5.683678E+03	3.404841E-18	2.118306E-18
5.683878E+03	3.410176E-18	2.122622E-18
5.684078E+03	3.427752E-18	2.123799E-18
5.684278E+03	3.439992E-18	2.127643E-18
5.684478E+03	3.449015E-18	2.122622E-18
5.684679E+03	3.455684E-18	2.130939E-18
5.685079E+03	3.465806E-18	2.139883E-18
5.685279E+03	3.470984E-18	2.119797E-18
5.685479E+03	3.478438E-18	2.128585E-18
5.685679E+03	3.487226E-18	2.128114E-18
5.685879E+03	3.505821E-18	2.121445E-18
5.686879E+03	3.511157E-18	2.125211E-18
