#wls	flux	flux_err
3725.6000	1.8021e-15	4.1786e-16
3727.6000	1.7594e-15	4.1786e-16
3729.5000	1.7152e-15	4.1786e-16
3731.5000	1.6734e-15	4.1786e-16
3733.5000	1.6425e-15	4.1786e-16
3735.5000	1.6168e-15	4.1786e-16
3737.4000	1.5774e-15	4.1786e-16
3739.4000	1.5362e-15	4.1786e-16
3741.4000	1.4958e-15	4.1786e-16
3743.3000	1.4569e-15	4.1786e-16
3745.3000	1.4248e-15	4.1786e-16
3747.3000	1.3910e-15	4.1786e-16
3749.3000	1.3534e-15	4.1786e-16
3751.2000	1.3174e-15	4.1545e-16
3753.2000	1.2821e-15	4.0528e-16
3755.2000	1.2526e-15	4.0884e-16
3757.1000	1.2226e-15	3.8323e-16
3759.1000	1.1983e-15	3.7215e-16
3761.1000	1.1746e-15	3.5635e-16
3763.0000	1.1506e-15	3.2482e-16
3765.0000	1.1274e-15	3.1664e-16
3767.0000	1.1040e-15	3.1989e-16
3769.0000	1.0837e-15	3.1895e-16
3770.9000	1.0663e-15	3.2572e-16
3772.9000	1.0503e-15	3.1313e-16
3774.9000	1.0391e-15	2.9336e-16
3776.8000	1.0310e-15	2.8722e-16
3778.8000	1.0218e-15	2.9042e-16
3780.8000	1.0176e-15	2.9168e-16
3782.8000	1.0150e-15	2.9568e-16
3784.7000	1.0130e-15	3.0293e-16
3786.7000	1.0144e-15	2.6416e-16
3788.7000	1.0183e-15	2.7222e-16
3790.6000	1.0228e-15	2.7813e-16
3792.6000	1.0274e-15	2.9376e-16
3794.6000	1.0348e-15	3.0148e-16
3796.6000	1.0396e-15	2.9440e-16
3798.5000	1.0474e-15	2.9268e-16
3800.5000	1.0558e-15	2.9935e-16
3802.5000	1.0692e-15	2.9726e-16
3804.4000	1.0806e-15	2.9213e-16
3806.4000	1.0927e-15	2.9102e-16
3808.4000	1.1050e-15	2.9594e-16
3810.3000	1.1178e-15	2.9553e-16
3812.3000	1.1326e-15	3.2072e-16
3814.3000	1.1437e-15	3.1762e-16
3816.3000	1.1508e-15	3.2063e-16
3818.2000	1.1565e-15	3.2229e-16
3820.2000	1.1666e-15	3.0661e-16
3822.2000	1.1733e-15	2.7858e-16
3824.1000	1.1785e-15	2.6983e-16
3826.1000	1.1827e-15	2.7613e-16
3828.1000	1.1858e-15	2.8220e-16
3830.1000	1.1827e-15	2.9064e-16
3832.0000	1.1812e-15	2.8989e-16
3834.0000	1.1702e-15	2.9035e-16
3836.0000	1.1840e-15	2.8443e-16
3837.9000	1.2042e-15	2.7590e-16
3839.9000	1.1971e-15	2.6451e-16
3841.9000	1.1947e-15	2.4752e-16
3843.9000	1.1959e-15	2.3529e-16
3845.8000	1.1957e-15	2.3856e-16
3847.8000	1.1942e-15	2.3741e-16
3849.8000	1.1813e-15	2.2589e-16
3851.7000	1.1666e-15	2.2590e-16
3853.7000	1.1687e-15	2.2396e-16
3855.7000	1.1685e-15	2.1627e-16
3857.6000	1.1707e-15	2.0931e-16
3859.6000	1.1615e-15	1.9717e-16
3861.6000	1.1601e-15	1.1892e-16
3863.6000	1.1719e-15	1.2062e-16
3865.5000	1.1755e-15	1.2789e-16
3867.5000	1.1674e-15	1.3266e-16
3869.5000	1.1613e-15	1.3431e-16
3871.4000	1.1503e-15	1.3273e-16
3873.4000	1.1371e-15	1.2899e-16
3875.4000	1.1308e-15	1.2916e-16
3877.4000	1.1198e-15	1.2769e-16
3879.3000	1.1162e-15	1.3488e-16
3881.3000	1.1155e-15	1.3915e-16
3883.3000	1.1141e-15	1.4049e-16
3885.2000	1.1123e-15	1.4394e-16
3887.2000	1.1128e-15	1.4952e-16
3889.2000	1.1115e-15	1.6439e-16
3891.2000	1.1122e-15	1.6543e-16
3893.1000	1.1068e-15	1.5501e-16
3895.1000	1.1049e-15	1.4867e-16
3897.1000	1.1119e-15	1.4093e-16
