#wls	flux	flux_err
nan	1.4668e-17	1.9407e-17
nan	1.4943e-17	1.9407e-17
nan	1.5221e-17	1.9407e-17
nan	1.5523e-17	1.9407e-17
nan	1.5870e-17	1.9407e-17
nan	1.6170e-17	1.9407e-17
nan	1.6467e-17	1.9407e-17
nan	1.6769e-17	1.9407e-17
nan	1.7075e-17	1.9407e-17
nan	1.7386e-17	1.9407e-17
nan	1.7698e-17	1.9407e-17
nan	1.8013e-17	1.9407e-17
nan	1.8330e-17	1.9407e-17
nan	1.8647e-17	1.9407e-17
nan	1.8964e-17	1.9407e-17
nan	1.9280e-17	1.9407e-17
nan	1.9596e-17	1.9407e-17
nan	1.9909e-17	1.9407e-17
nan	2.0059e-17	1.9407e-17
nan	2.0221e-17	1.9407e-17
nan	2.0375e-17	1.9407e-17
nan	2.0624e-17	1.9407e-17
nan	2.0988e-17	1.9407e-17
nan	2.1181e-17	1.9407e-17
nan	2.1347e-17	1.9407e-17
nan	2.1593e-17	1.9407e-17
nan	2.1921e-17	1.9407e-17
nan	2.2090e-17	1.9407e-17
nan	2.2228e-17	1.9407e-17
nan	2.2398e-17	1.9407e-17
nan	2.2644e-17	1.9407e-17
nan	2.2900e-17	1.9407e-17
nan	2.3002e-17	1.9407e-17
nan	2.3201e-17	1.9407e-17
nan	2.3280e-17	1.9407e-17
nan	2.3401e-17	1.9407e-17
nan	2.3570e-17	1.9407e-17
nan	2.3711e-17	1.9407e-17
nan	2.3927e-17	1.9407e-17
nan	2.4187e-17	1.9407e-17
nan	2.4399e-17	1.9290e-17
nan	2.4430e-17	1.9185e-17
nan	2.4502e-17	1.9174e-17
nan	2.4569e-17	1.9238e-17
nan	2.4670e-17	1.9304e-17
nan	2.4726e-17	1.9161e-17
nan	2.4814e-17	1.9374e-17
nan	2.4976e-17	1.9434e-17
nan	2.5033e-17	1.9517e-17
nan	2.5107e-17	1.9437e-17
nan	2.5239e-17	1.9469e-17
nan	2.5309e-17	1.9525e-17
nan	2.5360e-17	1.9525e-17
nan	2.5359e-17	1.9599e-17
nan	2.5553e-17	1.9016e-17
nan	2.5643e-17	1.9043e-17
nan	2.5732e-17	1.9108e-17
nan	2.5827e-17	1.9189e-17
nan	2.5891e-17	1.8161e-17
nan	2.5939e-17	1.8160e-17
nan	2.5951e-17	1.8134e-17
nan	2.5975e-17	1.8257e-17
nan	2.5970e-17	1.8266e-17
nan	2.5959e-17	1.8384e-17
nan	2.5941e-17	1.8291e-17
nan	2.5851e-17	1.8269e-17
nan	2.5841e-17	1.8372e-17
nan	2.5916e-17	1.8403e-17
nan	2.5924e-17	1.8173e-17
nan	2.5906e-17	1.7769e-17
nan	2.5864e-17	1.7331e-17
nan	2.5825e-17	1.7078e-17
nan	2.5879e-17	1.6926e-17
nan	2.5827e-17	1.6495e-17
nan	2.5761e-17	1.6440e-17
nan	2.5717e-17	1.6420e-17
nan	2.5691e-17	1.6308e-17
nan	2.5609e-17	1.6286e-17
nan	2.5522e-17	1.6154e-17
nan	2.5487e-17	1.6205e-17
nan	2.5411e-17	1.6090e-17
nan	2.5304e-17	1.4862e-17
nan	2.5199e-17	1.4845e-17
nan	2.5097e-17	1.4935e-17
nan	2.4996e-17	1.4791e-17
nan	2.4896e-17	1.4465e-17
nan	2.4797e-17	1.4476e-17
nan	2.4698e-17	1.4467e-17
nan	2.4600e-17	1.4520e-17
nan	2.4501e-17	1.4527e-17
nan	2.4402e-17	1.4464e-17
nan	2.4302e-17	1.4219e-17
