#wls	flux	flux_err
nan	5.2696e-16	7.9213e-16
nan	5.2385e-16	7.9213e-16
nan	5.2067e-16	7.9213e-16
nan	5.1749e-16	7.9213e-16
nan	5.1434e-16	7.9213e-16
nan	5.1119e-16	7.9213e-16
nan	5.0804e-16	7.9213e-16
nan	5.0488e-16	7.9213e-16
nan	5.0172e-16	7.9213e-16
nan	4.9857e-16	7.9213e-16
nan	4.9540e-16	7.9213e-16
nan	4.9224e-16	7.9213e-16
nan	4.8907e-16	7.9213e-16
nan	4.8591e-16	7.9213e-16
nan	4.8274e-16	7.9213e-16
nan	4.7957e-16	7.9213e-16
nan	4.7642e-16	7.9213e-16
nan	4.7322e-16	7.9213e-16
nan	4.6999e-16	7.9213e-16
nan	4.6677e-16	7.9213e-16
nan	4.6360e-16	7.9213e-16
nan	4.6040e-16	7.9213e-16
nan	4.5720e-16	7.9213e-16
nan	4.5398e-16	7.9213e-16
nan	4.5075e-16	7.9213e-16
nan	4.4760e-16	7.9213e-16
nan	4.4445e-16	7.9213e-16
nan	4.4127e-16	7.9213e-16
nan	4.3813e-16	7.9213e-16
nan	4.3496e-16	7.9213e-16
nan	4.3180e-16	7.9213e-16
nan	4.2861e-16	7.9213e-16
nan	4.2543e-16	7.9213e-16
nan	4.2222e-16	7.9213e-16
nan	4.1900e-16	7.9213e-16
nan	4.1576e-16	7.9213e-16
nan	4.1253e-16	7.9213e-16
nan	4.0939e-16	7.9213e-16
nan	4.0623e-16	7.9213e-16
nan	4.0306e-16	7.9213e-16
nan	3.9985e-16	7.9213e-16
nan	3.9663e-16	7.9213e-16
nan	3.9342e-16	7.9213e-16
nan	3.9025e-16	7.9213e-16
nan	3.8709e-16	7.9213e-16
nan	3.8390e-16	7.9213e-16
nan	3.8071e-16	7.9213e-16
nan	3.7759e-16	7.9213e-16
nan	3.7447e-16	7.9213e-16
nan	3.7135e-16	7.9213e-16
nan	3.6824e-16	7.9213e-16
nan	3.6512e-16	7.9213e-16
nan	3.6201e-16	7.9213e-16
nan	3.5890e-16	7.9213e-16
nan	3.5579e-16	7.9213e-16
nan	3.5269e-16	7.9213e-16
nan	3.4958e-16	7.9213e-16
nan	3.4648e-16	7.9213e-16
nan	3.4339e-16	7.9213e-16
nan	3.4024e-16	7.9213e-16
nan	3.3710e-16	7.9213e-16
nan	3.3395e-16	7.9213e-16
nan	3.3083e-16	7.9213e-16
nan	3.2768e-16	7.9213e-16
nan	3.2464e-16	7.9213e-16
nan	3.2152e-16	7.9213e-16
nan	3.1842e-16	7.9213e-16
nan	3.1532e-16	7.9213e-16
nan	3.1220e-16	7.9213e-16
nan	3.0911e-16	7.9213e-16
nan	3.0610e-16	7.9213e-16
nan	3.0301e-16	7.9213e-16
nan	2.9991e-16	7.9213e-16
nan	2.9693e-16	7.9213e-16
nan	2.9389e-16	7.9213e-16
nan	2.9080e-16	7.9213e-16
nan	2.8785e-16	7.9213e-16
nan	2.8489e-16	7.9213e-16
nan	2.8187e-16	7.9213e-16
nan	2.7883e-16	7.9213e-16
nan	2.7584e-16	7.9213e-16
nan	2.7280e-16	7.9213e-16
nan	2.6977e-16	7.9213e-16
nan	2.6676e-16	7.9213e-16
nan	2.6377e-16	7.9213e-16
nan	2.6087e-16	7.9213e-16
nan	2.5791e-16	7.9213e-16
nan	2.5492e-16	7.9213e-16
nan	2.5195e-16	7.9213e-16
nan	2.4902e-16	7.9213e-16
nan	2.4613e-16	7.9213e-16
nan	2.4319e-16	7.9213e-16
nan	2.4029e-16	7.9213e-16
nan	2.3746e-16	7.9213e-16
nan	2.3455e-16	7.9213e-16
nan	2.3166e-16	7.9213e-16
nan	2.2888e-16	7.9213e-16
nan	2.2609e-16	7.9213e-16
nan	2.2323e-16	7.9213e-16
nan	2.2041e-16	7.9213e-16
nan	2.1759e-16	7.9213e-16
nan	2.1473e-16	7.9213e-16
nan	2.1189e-16	7.9213e-16
nan	2.0911e-16	7.9213e-16
nan	2.0631e-16	7.9213e-16
nan	2.0357e-16	7.9213e-16
nan	2.0079e-16	7.9213e-16
nan	1.9800e-16	7.9213e-16
nan	1.9529e-16	7.9213e-16
nan	1.9261e-16	7.9213e-16
nan	1.8986e-16	7.9213e-16
nan	1.8711e-16	7.9213e-16
