#wls	flux	flux_err
nan	4.7325e-16	2.3570e-16
nan	4.7178e-16	2.3570e-16
nan	4.7030e-16	2.3570e-16
nan	4.6882e-16	2.3570e-16
nan	4.6732e-16	2.3570e-16
nan	4.6584e-16	2.3570e-16
nan	4.6431e-16	2.3570e-16
nan	4.6275e-16	2.3570e-16
nan	4.6119e-16	2.3570e-16
nan	4.5960e-16	2.3570e-16
nan	4.5801e-16	2.3570e-16
nan	4.5642e-16	2.3570e-16
nan	4.5481e-16	2.3570e-16
nan	4.5324e-16	2.3570e-16
nan	4.5162e-16	2.3570e-16
nan	4.4999e-16	2.3570e-16
nan	4.4836e-16	2.3570e-16
nan	4.4673e-16	2.3570e-16
nan	4.4506e-16	2.3570e-16
nan	4.4344e-16	2.3570e-16
nan	4.4180e-16	2.3570e-16
nan	4.4017e-16	2.3570e-16
nan	4.3854e-16	2.3570e-16
nan	4.3685e-16	2.3570e-16
nan	4.3515e-16	2.3570e-16
nan	4.3344e-16	2.3570e-16
nan	4.3174e-16	2.3570e-16
nan	4.3001e-16	2.3570e-16
nan	4.2826e-16	2.3570e-16
nan	4.2655e-16	2.3570e-16
nan	4.2479e-16	2.3570e-16
nan	4.2301e-16	2.3570e-16
nan	4.2125e-16	2.3570e-16
nan	4.1946e-16	2.3570e-16
nan	4.1768e-16	2.3570e-16
nan	4.1586e-16	2.3570e-16
nan	4.1405e-16	2.3570e-16
nan	4.1223e-16	2.3570e-16
nan	4.1040e-16	2.3570e-16
nan	4.0857e-16	2.3570e-16
nan	4.0673e-16	2.3570e-16
nan	4.0495e-16	2.3570e-16
nan	4.0309e-16	2.3570e-16
nan	4.0127e-16	2.3570e-16
nan	3.9944e-16	2.3570e-16
nan	3.9757e-16	2.3570e-16
nan	3.9574e-16	2.3570e-16
nan	3.9388e-16	2.3570e-16
nan	3.9199e-16	2.3570e-16
nan	3.9012e-16	2.3570e-16
nan	3.8823e-16	2.3570e-16
nan	3.8632e-16	2.3570e-16
nan	3.8440e-16	2.3570e-16
nan	3.8250e-16	2.3570e-16
nan	3.8060e-16	2.3570e-16
nan	3.7869e-16	2.3570e-16
nan	3.7677e-16	2.3570e-16
nan	3.7484e-16	2.3570e-16
nan	3.7290e-16	2.3570e-16
nan	3.7096e-16	2.3570e-16
nan	3.6901e-16	2.3570e-16
nan	3.6705e-16	2.3570e-16
nan	3.6509e-16	2.3570e-16
nan	3.6313e-16	2.3570e-16
nan	3.6116e-16	2.3570e-16
nan	3.5918e-16	2.3570e-16
nan	3.5720e-16	2.3570e-16
nan	3.5522e-16	2.3570e-16
nan	3.5324e-16	2.3570e-16
nan	3.5125e-16	2.3570e-16
nan	3.4926e-16	2.3570e-16
nan	3.4726e-16	2.3570e-16
nan	3.4526e-16	2.3570e-16
nan	3.4325e-16	2.3570e-16
nan	3.4125e-16	2.3570e-16
nan	3.3923e-16	2.3570e-16
nan	3.3722e-16	2.3570e-16
nan	3.3520e-16	2.3570e-16
nan	3.3318e-16	2.3570e-16
nan	3.3115e-16	2.3570e-16
nan	3.2912e-16	2.3570e-16
nan	3.2709e-16	2.3570e-16
nan	3.2506e-16	2.3570e-16
nan	3.2302e-16	2.3570e-16
nan	3.2099e-16	2.3570e-16
nan	3.1895e-16	2.3570e-16
nan	3.1691e-16	2.3570e-16
nan	3.1487e-16	2.3570e-16
nan	3.1282e-16	2.3570e-16
nan	3.1078e-16	2.3570e-16
nan	3.0873e-16	2.3570e-16
nan	3.0669e-16	2.3570e-16
nan	3.0464e-16	2.3570e-16
nan	3.0259e-16	2.3570e-16
nan	3.0054e-16	2.3570e-16
nan	2.9849e-16	2.3570e-16
nan	2.9644e-16	2.3570e-16
nan	2.9439e-16	2.3570e-16
nan	2.9233e-16	2.3570e-16
nan	2.9028e-16	2.3570e-16
nan	2.8822e-16	2.3570e-16
nan	2.8617e-16	2.3570e-16
nan	2.8412e-16	2.3570e-16
nan	2.8206e-16	2.3570e-16
nan	2.8001e-16	2.3570e-16
nan	2.7795e-16	2.3570e-16
nan	2.7590e-16	2.3572e-16
nan	2.7387e-16	2.3500e-16
nan	2.7181e-16	2.3340e-16
nan	2.6979e-16	2.3274e-16
nan	2.6775e-16	2.3272e-16
nan	2.6570e-16	2.3240e-16
nan	2.6366e-16	2.3078e-16
nan	2.6164e-16	2.3041e-16
nan	2.5960e-16	2.2925e-16
nan	2.5755e-16	2.2022e-16
nan	2.5551e-16	2.1568e-16
nan	2.5347e-16	1.8127e-16
nan	2.5143e-16	1.7723e-16
nan	2.4940e-16	1.7707e-16
nan	2.4739e-16	1.7541e-16
nan	2.4539e-16	1.7542e-16
nan	2.4334e-16	1.7459e-16
nan	2.4129e-16	1.7406e-16
nan	2.3924e-16	1.7171e-16
nan	2.3721e-16	1.6934e-16
nan	2.3518e-16	1.6920e-16
nan	2.3315e-16	1.6917e-16
nan	2.3111e-16	1.6901e-16
nan	2.2907e-16	1.6835e-16
nan	2.2707e-16	1.6826e-16
nan	2.2508e-16	1.6621e-16
nan	2.2306e-16	1.6054e-16
nan	2.2105e-16	1.4556e-16
nan	2.1906e-16	1.4311e-16
nan	2.1705e-16	1.4198e-16
nan	2.1506e-16	1.4084e-16
nan	2.1304e-16	1.4027e-16
nan	2.1106e-16	1.3459e-16
nan	2.0905e-16	1.2574e-16
nan	2.0705e-16	1.2533e-16
nan	2.0508e-16	1.2537e-16
nan	2.0311e-16	1.2540e-16
nan	2.0112e-16	1.2540e-16
nan	1.9916e-16	1.2540e-16
nan	1.9716e-16	1.2539e-16
nan	1.9518e-16	1.2538e-16
nan	1.9322e-16	1.2532e-16
nan	1.9126e-16	1.2531e-16
nan	1.8928e-16	1.2538e-16
nan	1.8731e-16	1.2540e-16
nan	1.8534e-16	1.2541e-16
nan	1.8338e-16	1.2540e-16
nan	1.8142e-16	1.2543e-16
nan	1.7946e-16	1.2547e-16
nan	1.7751e-16	1.2547e-16
nan	1.7557e-16	1.2548e-16
nan	1.7363e-16	1.2546e-16
nan	1.7170e-16	1.2539e-16
nan	1.6977e-16	1.2358e-16
nan	1.6784e-16	1.2285e-16
nan	1.6592e-16	1.2273e-16
nan	1.6401e-16	1.2254e-16
nan	1.6214e-16	1.2255e-16
nan	1.6025e-16	1.2233e-16
nan	1.5837e-16	1.2187e-16
nan	1.5648e-16	1.2169e-16
nan	1.5461e-16	1.2084e-16
nan	1.5273e-16	1.1409e-16
nan	1.5087e-16	1.0729e-16
nan	1.4900e-16	1.0083e-16
nan	1.4716e-16	9.6487e-17
nan	1.4531e-16	9.2196e-17
nan	1.4350e-16	9.1549e-17
nan	1.4168e-16	9.1043e-17
nan	1.3985e-16	9.0706e-17
nan	1.3806e-16	9.0379e-17
nan	1.3626e-16	9.0377e-17
nan	1.3445e-16	9.0510e-17
nan	1.3269e-16	9.0636e-17
nan	1.3090e-16	8.9623e-17
nan	1.2911e-16	8.8343e-17
nan	1.2732e-16	8.7405e-17
nan	1.2557e-16	8.7036e-17
nan	1.2382e-16	8.6997e-17
nan	1.2207e-16	8.7000e-17
nan	1.2032e-16	8.7082e-17
nan	1.1859e-16	8.7277e-17
nan	1.1685e-16	8.7277e-17
nan	1.1512e-16	8.7087e-17
nan	1.1343e-16	8.6794e-17
nan	1.1172e-16	8.6253e-17
nan	1.1002e-16	8.5051e-17
nan	1.0833e-16	8.2317e-17
nan	1.0664e-16	8.2327e-17
nan	1.0496e-16	8.1682e-17
nan	1.0329e-16	8.1701e-17
nan	1.0163e-16	8.1627e-17
nan	9.9991e-17	8.1188e-17
nan	9.8365e-17	7.7692e-17
nan	9.6734e-17	7.6889e-17
nan	9.5114e-17	7.5878e-17
nan	9.3495e-17	7.2963e-17
nan	9.1887e-17	7.0999e-17
nan	9.0289e-17	7.1145e-17
nan	8.8711e-17	7.1291e-17
nan	8.7131e-17	7.1411e-17
nan	8.5573e-17	7.0638e-17
nan	8.4013e-17	7.0650e-17
nan	8.2464e-17	7.0719e-17
nan	8.0941e-17	6.8962e-17
nan	7.9406e-17	6.9080e-17
nan	7.7890e-17	6.8199e-17
nan	7.6382e-17	6.7285e-17
nan	7.4887e-17	6.6182e-17
nan	7.3399e-17	6.5832e-17
nan	7.1935e-17	6.5767e-17
nan	7.0461e-17	6.1037e-17
nan	6.9013e-17	5.6025e-17
nan	6.7578e-17	5.5364e-17
nan	6.6136e-17	5.5342e-17
nan	6.4704e-17	5.5148e-17
nan	6.3302e-17	5.5109e-17
