#wls	flux	fluxerr
3.289393E+03	1.560557E-15	5.335985E-16
3.365337E+03	1.516132E-15	4.864536E-16
3.443035E+03	1.490768E-15	4.554885E-16
3.522526E+03	1.486245E-15	4.427885E-16
3.603853E+03	1.503617E-15	4.458876E-16
3.687058E+03	1.536541E-15	4.586613E-16
3.772183E+03	1.562543E-15	4.715629E-16
3.859274E+03	1.554972E-15	4.742930E-16
3.948375E+03	1.500451E-15	4.606665E-16
4.039534E+03	1.404405E-15	4.315841E-16
4.132797E+03	1.287721E-15	3.940346E-16
4.228214E+03	1.172297E-15	3.555199E-16
4.325833E+03	1.072900E-15	3.210384E-16
4.425707E+03	9.936571E-16	2.921182E-16
4.527886E+03	9.307378E-16	2.677557E-16
4.632424E+03	8.803340E-16	2.469406E-16
4.739376E+03	8.407466E-16	2.293441E-16
4.848796E+03	8.067379E-16	2.138003E-16
4.960744E+03	7.749166E-16	1.998646E-16
5.075276E+03	7.468434E-16	1.884833E-16
5.192452E+03	7.215655E-16	1.796569E-16
5.312333E+03	6.956477E-16	1.720396E-16
5.434982E+03	6.650947E-16	1.638433E-16
5.560463E+03	6.313028E-16	1.548310E-16
5.688841E+03	5.970935E-16	1.454270E-16
5.820183E+03	5.607408E-16	1.352092E-16
5.954557E+03	5.224152E-16	1.244291E-16
6.092034E+03	4.853849E-16	1.141744E-16
6.232684E+03	4.518424E-16	1.051614E-16
6.376582E+03	4.219729E-16	9.732985E-17
6.523803E+03	3.941170E-16	9.004400E-17
6.674422E+03	3.678686E-16	8.302643E-17
6.828518E+03	3.439241E-16	7.635445E-17
6.986173E+03	3.225282E-16	7.011757E-17
7.147467E+03	3.027230E-16	6.423315E-17
7.312485E+03	2.842313E-16	5.888079E-17
7.481313E+03	2.662055E-16	5.420607E-17
7.654039E+03	2.478422E-16	5.026086E-17
7.830752E+03	2.290041E-16	4.683794E-17
8.011546E+03	2.081788E-16	4.321471E-17
8.196514E+03	1.860710E-16	3.921081E-17
8.385752E+03	1.643201E-16	3.501430E-17
8.579359E+03	1.434052E-16	3.070007E-17
8.777436E+03	1.230313E-16	2.624899E-17
8.980086E+03	1.043046E-16	2.197660E-17
9.187415E+03	8.855568E-17	1.824460E-17
9.399531E+03	7.602876E-17	1.515254E-17
9.616544E+03	6.582247E-17	1.255090E-17
9.838567E+03	5.669130E-17	1.025867E-17
1.006572E+04	4.807294E-17	8.262130E-18
1.029811E+04	4.012069E-17	6.669355E-18
1.053587E+04	3.364110E-17	5.615027E-18
1.077912E+04	2.921393E-17	5.092395E-18
1.102798E+04	2.646262E-17	4.886607E-18
1.128259E+04	2.480567E-17	4.773784E-18
1.154308E+04	2.389541E-17	4.634724E-18
1.180958E+04	2.348580E-17	4.432854E-18
1.208224E+04	2.327849E-17	4.187200E-18
1.236119E+04	2.294095E-17	3.986997E-18
1.264658E+04	2.234305E-17	3.971298E-18
1.293856E+04	2.168005E-17	4.182677E-18
1.323728E+04	2.114291E-17	4.522420E-18
1.354290E+04	2.059108E-17	4.825669E-18
1.385557E+04	1.960168E-17	4.894406E-18
1.417546E+04	1.802033E-17	4.636026E-18
1.450274E+04	1.621481E-17	4.155338E-18
1.483757E+04	1.464644E-17	3.622634E-18
1.518014E+04	1.344926E-17	3.125415E-18
1.553061E+04	1.243811E-17	2.673080E-18
1.588918E+04	1.143394E-17	2.291735E-18
1.625602E+04	1.046593E-17	2.048204E-18
1.663133E+04	9.698406E-18	1.979421E-18
1.701531E+04	9.178971E-18	2.037185E-18
1.740815E+04	8.827133E-18	2.142419E-18
1.781007E+04	8.615043E-18	2.250197E-18
1.822126E+04	8.466832E-18	2.320192E-18
1.864194E+04	8.128287E-18	2.269374E-18
1.907234E+04	7.425195E-18	2.047890E-18
1.951268E+04	6.538442E-18	1.726207E-18
1.996318E+04	5.745881E-18	1.407752E-18
2.042408E+04	5.126566E-18	1.135587E-18
2.089563E+04	4.610293E-18	9.174261E-19
2.137806E+04	4.115096E-18	7.699308E-19
2.187163E+04	3.598124E-18	7.070261E-19
2.237659E+04	3.061437E-18	7.001746E-19
2.289321E+04	2.570181E-18	7.101510E-19
2.342176E+04	2.199515E-18	7.301852E-19
2.396252E+04	1.960726E-18	7.678906E-19
2.451575E+04	1.820341E-18	8.258793E-19
