#wls	flux	fluxerr
3.289393E+03	2.444436E-17	1.187530E-17
3.365337E+03	1.950842E-17	9.235085E-18
3.443035E+03	1.533819E-17	7.150689E-18
3.522526E+03	1.201852E-17	5.543560E-18
3.603853E+03	9.530385E-18	4.356276E-18
3.687058E+03	7.758368E-18	3.516779E-18
3.772183E+03	6.519965E-18	2.932157E-18
3.859274E+03	5.638423E-18	2.516643E-18
3.948375E+03	4.971484E-18	2.202774E-18
4.039534E+03	4.415008E-18	1.941963E-18
4.132797E+03	3.916550E-18	1.709877E-18
4.228214E+03	3.475042E-18	1.505544E-18
4.325833E+03	3.112681E-18	1.338170E-18
4.425707E+03	2.833734E-18	1.208823E-18
4.527886E+03	2.617070E-18	1.107700E-18
4.632424E+03	2.435095E-18	1.022571E-18
4.739376E+03	2.262874E-18	9.426507E-19
4.848796E+03	2.071532E-18	8.558784E-19
4.960744E+03	1.862251E-18	7.629150E-19
5.075276E+03	1.660235E-18	6.741602E-19
5.192452E+03	1.475843E-18	5.937781E-19
5.312333E+03	1.316842E-18	5.248019E-19
5.434982E+03	1.202034E-18	4.745893E-19
5.560463E+03	1.159696E-18	4.539335E-19
5.688841E+03	1.187397E-18	4.609775E-19
5.820183E+03	1.235997E-18	4.756474E-19
5.954557E+03	1.255821E-18	4.785711E-19
6.092034E+03	1.221755E-18	4.606280E-19
6.232684E+03	1.130508E-18	4.213591E-19
6.376582E+03	9.988379E-19	3.678835E-19
6.523803E+03	8.571711E-19	3.120271E-19
6.674422E+03	7.412133E-19	2.667571E-19
6.828518E+03	6.694139E-19	2.381200E-19
6.986173E+03	6.446700E-19	2.265207E-19
7.147467E+03	6.596750E-19	2.288640E-19
7.312485E+03	7.032400E-19	2.408002E-19
7.481313E+03	7.593678E-19	2.564829E-19
7.654039E+03	8.146309E-19	2.711972E-19
7.830752E+03	8.654734E-19	2.838060E-19
8.011546E+03	9.001516E-19	2.907572E-19
8.196514E+03	9.136655E-19	2.907721E-19
8.385752E+03	9.129809E-19	2.862624E-19
8.579359E+03	9.099956E-19	2.810769E-19
8.777436E+03	9.019534E-19	2.745150E-19
8.980086E+03	8.828032E-19	2.651630E-19
9.187415E+03	8.552763E-19	2.543900E-19
9.399531E+03	8.320022E-19	2.457818E-19
9.616544E+03	8.209918E-19	2.411825E-19
9.838567E+03	8.220801E-19	2.403109E-19
1.006572E+04	8.324682E-19	2.421406E-19
1.029811E+04	8.418466E-19	2.433831E-19
1.053587E+04	8.515781E-19	2.443663E-19
1.077912E+04	8.722485E-19	2.482068E-19
1.102798E+04	8.934311E-19	2.520440E-19
1.128259E+04	8.991137E-19	2.514153E-19
1.154308E+04	8.897765E-19	2.464153E-19
1.180958E+04	8.765767E-19	2.402068E-19
1.208224E+04	8.654755E-19	2.344484E-19
1.236119E+04	8.518658E-19	2.279973E-19
1.264658E+04	8.379975E-19	2.218922E-19
1.293856E+04	8.478925E-19	2.224156E-19
1.323728E+04	9.079345E-19	2.359000E-19
1.354290E+04	1.015688E-18	2.612790E-19
1.385557E+04	1.118503E-18	2.844648E-19
1.417546E+04	1.162343E-18	2.915950E-19
1.450274E+04	1.163517E-18	2.874864E-19
1.483757E+04	1.185175E-18	2.882338E-19
1.518014E+04	1.265924E-18	3.028092E-19
1.553061E+04	1.378693E-18	3.241423E-19
1.588918E+04	1.450084E-18	3.349097E-19
1.625602E+04	1.434994E-18	3.256902E-19
1.663133E+04	1.370293E-18	3.063692E-19
1.701531E+04	1.310155E-18	2.890634E-19
1.740815E+04	1.283062E-18	2.794604E-19
1.781007E+04	1.326842E-18	2.854213E-19
1.822126E+04	1.468405E-18	3.121197E-19
1.864194E+04	1.665539E-18	3.491463E-19
1.907234E+04	1.832308E-18	3.769943E-19
1.951268E+04	1.961438E-18	3.946160E-19
1.996318E+04	2.110986E-18	4.151669E-19
2.042408E+04	2.276192E-18	4.384114E-19
2.089563E+04	2.377124E-18	4.501175E-19
2.137806E+04	2.361785E-18	4.439343E-19
2.187163E+04	2.260113E-18	4.296363E-19
2.237659E+04	2.122022E-18	4.155350E-19
2.289321E+04	2.011091E-18	4.103381E-19
2.342176E+04	2.000900E-18	4.288398E-19
2.396252E+04	2.119569E-18	4.833509E-19
2.451575E+04	2.348028E-18	5.861292E-19
