#wls	flux	fluxerr	mangling_mask
1.024104E+04	-1.714656E+01	3.243589E-01	3.124554E-01
1.024164E+04	-1.715392E+01	3.270827E-01	3.124360E-01
1.024224E+04	-1.715758E+01	3.061917E-01	3.124167E-01
1.024284E+04	-1.716619E+01	3.082409E-01	3.123973E-01
1.024344E+04	-1.716888E+01	3.102212E-01	3.123780E-01
1.024404E+04	-1.717506E+01	3.118448E-01	3.123587E-01
1.024524E+04	-1.717739E+01	3.116393E-01	3.123200E-01
1.024644E+04	-1.717939E+01	3.105668E-01	3.122813E-01
1.024704E+04	-1.718203E+01	3.080574E-01	3.122620E-01
1.024764E+04	-1.718526E+01	3.085106E-01	3.122427E-01
1.024824E+04	-1.718695E+01	3.099986E-01	3.122232E-01
1.024884E+04	-1.719177E+01	3.092829E-01	3.122037E-01
1.024944E+04	-1.719180E+01	3.096187E-01	3.121842E-01
1.025064E+04	-1.719543E+01	3.121801E-01	3.121452E-01
1.025124E+04	-1.720473E+01	3.152648E-01	3.121257E-01
1.025184E+04	-1.720969E+01	3.180342E-01	3.121062E-01
1.025244E+04	-1.720958E+01	3.174200E-01	3.120867E-01
1.025304E+04	-1.721459E+01	3.145790E-01	3.120673E-01
1.025424E+04	-1.721446E+01	3.145730E-01	3.120283E-01
1.025484E+04	-1.722142E+01	3.149795E-01	3.120086E-01
1.025544E+04	-1.722273E+01	3.163039E-01	3.119890E-01
1.025604E+04	-1.722406E+01	3.100756E-01	3.119694E-01
1.025664E+04	-1.722601E+01	2.987157E-01	3.119497E-01
1.025724E+04	-1.722521E+01	2.981612E-01	3.119301E-01
1.025784E+04	-1.722580E+01	2.983887E-01	3.119105E-01
1.025844E+04	-1.722498E+01	2.926846E-01	3.118908E-01
1.025904E+04	-1.722536E+01	2.793732E-01	3.118712E-01
1.026024E+04	-1.722596E+01	2.788465E-01	3.118319E-01
1.026084E+04	-1.722528E+01	2.533855E-01	3.118122E-01
1.026144E+04	-1.723371E+01	2.577267E-01	3.117924E-01
1.026204E+04	-1.723379E+01	2.571996E-01	3.117726E-01
1.026264E+04	-1.723433E+01	2.555061E-01	3.117528E-01
1.026324E+04	-1.723243E+01	2.546698E-01	3.117330E-01
1.026384E+04	-1.723090E+01	2.518986E-01	3.117133E-01
1.026444E+04	-1.723177E+01	2.543606E-01	3.116935E-01
1.026565E+04	-1.723216E+01	2.567623E-01	3.116536E-01
1.026685E+04	-1.723255E+01	2.551606E-01	3.116141E-01
1.026805E+04	-1.723282E+01	2.554943E-01	3.115742E-01
1.026865E+04	-1.723298E+01	2.536545E-01	3.115543E-01
1.026925E+04	-1.723301E+01	2.740360E-01	3.115344E-01
1.026985E+04	-1.723299E+01	2.796831E-01	3.115145E-01
1.027045E+04	-1.723290E+01	2.747459E-01	3.114945E-01
1.027105E+04	-1.723280E+01	2.764648E-01	3.114746E-01
1.027165E+04	-1.723244E+01	2.766209E-01	3.114547E-01
1.027225E+04	-1.723177E+01	2.759437E-01	3.114348E-01
1.027285E+04	-1.723082E+01	2.752728E-01	3.114149E-01
1.027345E+04	-1.722962E+01	2.849052E-01	3.113948E-01
1.027405E+04	-1.722496E+01	2.817390E-01	3.113748E-01
1.027465E+04	-1.722179E+01	2.828623E-01	3.113547E-01
1.027525E+04	-1.721890E+01	2.793903E-01	3.113347E-01
1.027585E+04	-1.721589E+01	2.875191E-01	3.113146E-01
1.027645E+04	-1.721189E+01	2.833206E-01	3.112946E-01
1.027705E+04	-1.721304E+01	2.862330E-01	3.112745E-01
1.027765E+04	-1.720583E+01	2.843716E-01	3.112545E-01
1.027825E+04	-1.720043E+01	2.859423E-01	3.112345E-01
1.027885E+04	-1.719841E+01	3.032342E-01	3.112143E-01
1.027945E+04	-1.719800E+01	3.092260E-01	3.111941E-01
1.028005E+04	-1.719623E+01	3.050952E-01	3.111739E-01
1.028065E+04	-1.719750E+01	3.120503E-01	3.111538E-01
1.028125E+04	-1.719720E+01	3.122677E-01	3.111336E-01
1.028185E+04	-1.719831E+01	3.121023E-01	3.111134E-01
1.028305E+04	-1.719870E+01	3.121529E-01	3.110731E-01
1.028365E+04	-1.719978E+01	3.163847E-01	3.110529E-01
1.028425E+04	-1.719995E+01	3.190059E-01	3.110327E-01
1.028485E+04	-1.719803E+01	3.191115E-01	3.110124E-01
1.028665E+04	-1.719829E+01	3.161036E-01	3.109514E-01
1.028725E+04	-1.719903E+01	3.165774E-01	3.109311E-01
1.028785E+04	-1.719602E+01	3.094404E-01	3.109107E-01
1.028905E+04	-1.719046E+01	3.064653E-01	3.108701E-01
1.029025E+04	-1.718463E+01	3.024358E-01	3.108294E-01
1.029085E+04	-1.718010E+01	2.991694E-01	3.108091E-01
1.029205E+04	-1.718090E+01	2.997022E-01	3.107684E-01
1.029265E+04	-1.717951E+01	2.978153E-01	3.107481E-01
1.029325E+04	-1.717648E+01	2.944189E-01	3.107276E-01
1.029385E+04	-1.717601E+01	2.920460E-01	3.107071E-01
1.029445E+04	-1.717788E+01	2.988441E-01	3.106866E-01
1.029805E+04	-1.717461E+01	2.959494E-01	3.105635E-01
1.029865E+04	-1.717223E+01	2.940229E-01	3.105430E-01
1.029925E+04	-1.716729E+01	2.906105E-01	3.105225E-01
1.029985E+04	-1.716300E+01	2.922782E-01	3.105019E-01
1.030045E+04	-1.715594E+01	2.897562E-01	3.104814E-01
1.030105E+04	-1.715049E+01	2.882393E-01	3.104609E-01
1.030225E+04	-1.714579E+01	2.871500E-01	3.104196E-01
1.030285E+04	-1.714282E+01	2.849089E-01	3.103989E-01
1.030345E+04	-1.713949E+01	2.872887E-01	3.103783E-01
1.030405E+04	-1.713779E+01	2.885023E-01	3.103576E-01
1.030465E+04	-1.713522E+01	2.872378E-01	3.103369E-01
1.030525E+04	-1.713432E+01	2.895026E-01	3.103163E-01
1.030585E+04	-1.713426E+01	2.905818E-01	3.102956E-01
1.030645E+04	-1.713436E+01	2.912617E-01	3.102749E-01
1.030705E+04	-1.713457E+01	2.922873E-01	3.102543E-01
1.030885E+04	-1.713585E+01	2.936550E-01	3.101918E-01
1.030945E+04	-1.713864E+01	2.956089E-01	3.101710E-01
1.031005E+04	-1.713955E+01	2.960221E-01	3.101502E-01
1.031126E+04	-1.713508E+01	2.953609E-01	3.101083E-01
1.031186E+04	-1.713056E+01	2.924088E-01	3.100874E-01
1.031246E+04	-1.712970E+01	2.933784E-01	3.100666E-01
1.031306E+04	-1.712684E+01	2.903230E-01	3.100458E-01
1.031366E+04	-1.712834E+01	2.914620E-01	3.100250E-01
1.031426E+04	-1.712561E+01	2.896215E-01	3.100042E-01
1.031486E+04	-1.712431E+01	2.929995E-01	3.099833E-01
1.031606E+04	-1.712393E+01	2.925778E-01	3.099414E-01
1.031666E+04	-1.712860E+01	2.956258E-01	3.099204E-01
1.031726E+04	-1.712642E+01	2.947113E-01	3.098995E-01
1.031786E+04	-1.712445E+01	2.940162E-01	3.098785E-01
1.031846E+04	-1.712227E+01	2.918078E-01	3.098576E-01
1.031906E+04	-1.712515E+01	2.930477E-01	3.098367E-01
1.031966E+04	-1.712414E+01	2.910681E-01	3.098157E-01
1.032026E+04	-1.712336E+01	2.926376E-01	3.097948E-01
1.032086E+04	-1.712116E+01	2.900277E-01	3.097737E-01
1.032146E+04	-1.712057E+01	2.893104E-01	3.097526E-01
1.032206E+04	-1.711875E+01	2.857925E-01	3.097316E-01
