#wls	flux	fluxerr
3.289393E+03	4.338168E-16	1.329852E-16
3.365337E+03	4.309705E-16	1.219140E-16
3.443035E+03	4.297937E-16	1.158567E-16
3.522526E+03	4.297937E-16	1.174417E-16
3.603853E+03	4.297937E-16	1.259621E-16
3.687058E+03	4.297937E-16	1.384386E-16
3.772183E+03	4.297937E-16	1.518191E-16
3.859274E+03	4.221189E-16	1.610734E-16
3.948375E+03	4.070972E-16	1.646142E-16
4.039534E+03	3.877641E-16	1.629677E-16
4.132797E+03	3.675993E-16	1.576470E-16
4.228214E+03	3.496114E-16	1.503258E-16
4.325833E+03	3.356400E-16	1.422121E-16
4.425707E+03	3.260487E-16	1.337778E-16
4.527886E+03	3.199843E-16	1.249066E-16
4.632424E+03	3.164471E-16	1.154923E-16
4.739376E+03	3.146733E-16	1.057620E-16
4.848796E+03	3.132548E-16	9.616992E-17
4.960744E+03	3.108379E-16	8.779920E-17
5.075276E+03	3.069175E-16	8.226298E-17
5.192452E+03	3.009813E-16	8.034336E-17
5.312333E+03	2.925352E-16	8.095461E-17
5.434982E+03	2.811208E-16	8.193614E-17
5.560463E+03	2.672095E-16	8.171462E-17
5.688841E+03	2.518322E-16	7.976119E-17
5.820183E+03	2.355521E-16	7.617247E-17
5.954557E+03	2.191233E-16	7.156999E-17
6.092034E+03	2.035980E-16	6.682733E-17
6.232684E+03	1.896226E-16	6.253099E-17
6.376582E+03	1.772104E-16	5.867966E-17
6.523803E+03	1.658097E-16	5.482610E-17
6.674422E+03	1.550536E-16	5.061465E-17
6.828518E+03	1.449310E-16	4.598698E-17
6.986173E+03	1.353583E-16	4.107949E-17
7.147467E+03	1.258536E-16	3.612514E-17
7.312485E+03	1.159278E-16	3.155315E-17
7.481313E+03	1.051011E-16	2.782585E-17
7.654039E+03	9.326279E-17	2.512904E-17
7.830752E+03	8.086517E-17	2.310138E-17
8.011546E+03	6.844379E-17	2.110348E-17
8.196514E+03	5.677302E-17	1.883389E-17
8.385752E+03	4.640489E-17	1.631930E-17
8.579359E+03	3.744978E-17	1.368782E-17
8.777436E+03	2.983187E-17	1.109183E-17
8.980086E+03	2.358886E-17	8.730316E-18
9.187415E+03	1.871330E-17	6.748176E-18
9.399531E+03	1.503346E-17	5.176152E-18
9.616544E+03	1.225859E-17	3.961119E-18
9.838567E+03	1.009686E-17	3.031991E-18
1.006572E+04	8.359881E-18	2.344220E-18
1.029811E+04	6.957759E-18	1.868959E-18
1.053587E+04	5.873984E-18	1.573106E-18
1.077912E+04	5.095098E-18	1.408080E-18
1.102798E+04	4.552790E-18	1.314713E-18
1.128259E+04	4.172434E-18	1.247810E-18
1.154308E+04	3.903266E-18	1.185049E-18
1.180958E+04	3.708962E-18	1.120646E-18
1.208224E+04	3.557668E-18	1.059466E-18
1.236119E+04	3.422642E-18	1.013740E-18
1.264658E+04	3.292039E-18	9.967822E-19
1.293856E+04	3.171264E-18	1.010973E-18
1.323728E+04	3.065127E-18	1.043410E-18
1.354290E+04	2.962559E-18	1.072981E-18
1.385557E+04	2.840043E-18	1.077736E-18
1.417546E+04	2.687651E-18	1.046587E-18
1.450274E+04	2.521224E-18	9.853847E-19
1.483757E+04	2.363249E-18	9.082160E-19
1.518014E+04	2.220352E-18	8.259805E-19
1.553061E+04	2.081382E-18	7.447228E-19
1.588918E+04	1.936299E-18	6.718376E-19
1.625602E+04	1.788822E-18	6.166048E-19
1.663133E+04	1.652413E-18	5.834945E-19
1.701531E+04	1.533077E-18	5.666704E-19
1.740815E+04	1.426902E-18	5.552852E-19
1.781007E+04	1.332452E-18	5.420236E-19
1.822126E+04	1.245414E-18	5.217284E-19
1.864194E+04	1.153056E-18	4.881892E-19
1.907234E+04	1.048720E-18	4.397970E-19
1.951268E+04	9.432339E-19	3.842139E-19
1.996318E+04	8.514623E-19	3.314422E-19
2.042408E+04	7.777333E-19	2.869996E-19
2.089563E+04	7.175611E-19	2.531908E-19
2.137806E+04	6.647479E-19	2.318825E-19
2.187163E+04	6.145732E-19	2.235381E-19
2.237659E+04	5.650138E-19	2.251302E-19
2.289321E+04	5.191924E-19	2.327998E-19
2.342176E+04	4.830187E-19	2.452033E-19
2.396252E+04	4.589438E-19	2.623202E-19
2.451575E+04	4.453660E-19	2.837776E-19
