#wls	flux	fluxerr
3.289393E+03	2.355056E-17	1.430877E-17
3.365337E+03	1.873601E-17	1.116730E-17
3.443035E+03	1.468122E-17	8.644041E-18
3.522526E+03	1.145731E-17	6.684710E-18
3.603853E+03	9.038072E-18	5.231648E-18
3.687058E+03	7.307992E-18	4.199130E-18
3.772183E+03	6.090836E-18	3.475241E-18
3.859274E+03	5.217415E-18	2.956788E-18
3.948375E+03	4.552450E-18	2.562908E-18
4.039534E+03	3.997832E-18	2.235815E-18
4.132797E+03	3.503767E-18	1.946309E-18
4.228214E+03	3.067227E-18	1.692072E-18
4.325833E+03	2.705628E-18	1.482168E-18
4.425707E+03	2.420707E-18	1.316741E-18
4.527886E+03	2.193210E-18	1.184514E-18
4.632424E+03	1.999741E-18	1.072266E-18
4.739376E+03	1.820490E-18	9.690149E-19
4.848796E+03	1.634023E-18	8.632415E-19
4.960744E+03	1.442547E-18	7.561892E-19
5.075276E+03	1.265079E-18	6.578298E-19
5.192452E+03	1.108294E-18	5.715015E-19
5.312333E+03	9.766427E-19	4.993103E-19
5.434982E+03	8.823106E-19	4.472425E-19
5.560463E+03	8.435724E-19	4.241268E-19
5.688841E+03	8.562337E-19	4.270758E-19
5.820183E+03	8.834473E-19	4.369599E-19
5.954557E+03	8.890704E-19	4.357460E-19
6.092034E+03	8.553812E-19	4.151391E-19
6.232684E+03	7.812016E-19	3.752113E-19
6.376582E+03	6.800293E-19	3.231186E-19
6.523803E+03	5.743782E-19	2.699935E-19
6.674422E+03	4.887621E-19	2.273090E-19
6.828518E+03	4.347217E-19	1.999750E-19
6.986173E+03	4.130066E-19	1.878249E-19
7.147467E+03	4.178716E-19	1.877976E-19
7.312485E+03	4.413697E-19	1.959424E-19
7.481313E+03	4.729080E-19	2.072803E-19
7.654039E+03	5.038259E-19	2.178938E-19
7.830752E+03	5.317984E-19	2.268117E-19
8.011546E+03	5.499923E-19	2.313010E-19
8.196514E+03	5.556801E-19	2.304456E-19
8.385752E+03	5.529838E-19	2.261181E-19
8.579359E+03	5.487330E-19	2.212103E-19
8.777436E+03	5.409865E-19	2.150406E-19
8.980086E+03	5.258581E-19	2.063224E-19
9.187415E+03	5.049489E-19	1.959964E-19
9.399531E+03	4.860090E-19	1.869923E-19
9.616544E+03	4.741589E-19	1.809897E-19
9.838567E+03	4.697591E-19	1.779538E-19
1.006572E+04	4.715943E-19	1.772700E-19
1.029811E+04	4.742264E-19	1.767232E-19
1.053587E+04	4.784990E-19	1.765827E-19
1.077912E+04	4.901021E-19	1.789613E-19
1.102798E+04	5.032371E-19	1.817544E-19
1.128259E+04	5.089376E-19	1.817510E-19
1.154308E+04	5.070456E-19	1.789158E-19
1.180958E+04	5.033176E-19	1.753394E-19
1.208224E+04	5.008430E-19	1.721117E-19
1.236119E+04	4.968688E-19	1.683409E-19
1.264658E+04	4.924476E-19	1.646058E-19
1.293856E+04	5.011699E-19	1.653991E-19
1.323728E+04	5.383389E-19	1.753672E-19
1.354290E+04	6.027374E-19	1.936981E-19
1.385557E+04	6.640454E-19	2.102595E-19
1.417546E+04	6.911518E-19	2.152299E-19
1.450274E+04	6.936140E-19	2.121399E-19
1.483757E+04	7.083070E-19	2.125866E-19
1.518014E+04	7.582183E-19	2.231155E-19
1.553061E+04	8.281225E-19	2.387128E-19
1.588918E+04	8.749988E-19	2.468912E-19
1.625602E+04	8.711113E-19	2.405799E-19
1.663133E+04	8.367532E-19	2.265091E-19
1.701531E+04	8.037295E-19	2.134661E-19
1.740815E+04	7.894971E-19	2.057281E-19
1.781007E+04	8.173101E-19	2.089420E-19
1.822126E+04	9.039728E-19	2.266883E-19
1.864194E+04	1.025130E-18	2.516868E-19
1.907234E+04	1.130413E-18	2.706364E-19
1.951268E+04	1.215752E-18	2.829403E-19
1.996318E+04	1.315522E-18	2.975470E-19
2.042408E+04	1.426122E-18	3.141925E-19
2.089563E+04	1.498023E-18	3.231093E-19
2.137806E+04	1.498494E-18	3.200185E-19
2.187163E+04	1.445602E-18	3.116972E-19
2.237659E+04	1.370271E-18	3.041111E-19
2.289321E+04	1.312121E-18	3.035944E-19
2.342176E+04	1.318025E-18	3.207854E-19
2.396252E+04	1.407228E-18	3.644584E-19
2.451575E+04	1.568856E-18	4.422274E-19
