#wls	flux	fluxerr	mangling_mask
3.289393E+03	-1.698091E+01	3.588513E-01	2.189503E-01
3.290193E+03	-1.697915E+01	3.584679E-01	2.189735E-01
3.290393E+03	-1.698405E+01	3.627187E-01	2.189793E-01
3.290993E+03	-1.698822E+01	3.672378E-01	2.189967E-01
3.291594E+03	-1.698849E+01	3.669841E-01	2.190141E-01
3.291994E+03	-1.698847E+01	3.668217E-01	2.190257E-01
3.292394E+03	-1.699193E+01	3.692785E-01	2.190373E-01
3.292594E+03	-1.699066E+01	3.677468E-01	2.190431E-01
3.292794E+03	-1.699371E+01	3.703146E-01	2.190489E-01
3.292994E+03	-1.699276E+01	3.697934E-01	2.190547E-01
3.293994E+03	-1.699077E+01	3.673555E-01	2.190837E-01
3.294194E+03	-1.698910E+01	3.658637E-01	2.190895E-01
3.295394E+03	-1.698929E+01	3.660306E-01	2.191242E-01
3.295594E+03	-1.699088E+01	3.669367E-01	2.191300E-01
3.295794E+03	-1.699173E+01	3.680293E-01	2.191358E-01
3.295994E+03	-1.699244E+01	3.687653E-01	2.191416E-01
3.296194E+03	-1.699006E+01	3.694893E-01	2.191474E-01
3.297395E+03	-1.698690E+01	3.654905E-01	2.191822E-01
3.297595E+03	-1.698410E+01	3.636396E-01	2.191880E-01
3.297795E+03	-1.698514E+01	3.642420E-01	2.191937E-01
3.298195E+03	-1.698519E+01	3.641481E-01	2.192053E-01
3.299395E+03	-1.698382E+01	3.634824E-01	2.192400E-01
3.299795E+03	-1.698206E+01	3.620593E-01	2.192516E-01
3.300195E+03	-1.697896E+01	3.586112E-01	2.192632E-01
3.301195E+03	-1.697640E+01	3.559264E-01	2.192921E-01
3.301394E+03	-1.697545E+01	3.554358E-01	2.192979E-01
3.301794E+03	-1.697582E+01	3.552025E-01	2.193094E-01
3.302394E+03	-1.697663E+01	3.557126E-01	2.193268E-01
3.302594E+03	-1.697562E+01	3.555386E-01	2.193325E-01
3.303195E+03	-1.697141E+01	3.514639E-01	2.193499E-01
3.303395E+03	-1.697061E+01	3.540459E-01	2.193557E-01
3.303595E+03	-1.696908E+01	3.537887E-01	2.193615E-01
3.303795E+03	-1.696606E+01	3.527679E-01	2.193672E-01
3.304395E+03	-1.696403E+01	3.511031E-01	2.193846E-01
3.304595E+03	-1.696315E+01	3.496169E-01	2.193904E-01
3.304795E+03	-1.696602E+01	3.539745E-01	2.193961E-01
3.305195E+03	-1.696374E+01	3.504123E-01	2.194077E-01
3.305795E+03	-1.696205E+01	3.480747E-01	2.194250E-01
3.305995E+03	-1.696066E+01	3.471644E-01	2.194308E-01
3.306195E+03	-1.695986E+01	3.458292E-01	2.194366E-01
3.306395E+03	-1.695938E+01	3.440416E-01	2.194423E-01
3.307395E+03	-1.695912E+01	3.423406E-01	2.194712E-01
3.307595E+03	-1.695922E+01	3.418829E-01	2.194770E-01
3.308195E+03	-1.696063E+01	3.430408E-01	2.194943E-01
3.308595E+03	-1.696164E+01	3.433602E-01	2.195058E-01
3.308796E+03	-1.696417E+01	3.454206E-01	2.195116E-01
3.310196E+03	-1.696702E+01	3.479290E-01	2.195520E-01
3.310796E+03	-1.697091E+01	3.499601E-01	2.195693E-01
3.310996E+03	-1.696740E+01	3.469891E-01	2.195751E-01
3.311596E+03	-1.696352E+01	3.449251E-01	2.195924E-01
3.312196E+03	-1.696601E+01	3.446805E-01	2.196096E-01
3.312396E+03	-1.696455E+01	3.443366E-01	2.196154E-01
3.312595E+03	-1.696539E+01	3.455957E-01	2.196211E-01
3.312796E+03	-1.696210E+01	3.418144E-01	2.196269E-01
3.313195E+03	-1.695863E+01	3.378314E-01	2.196384E-01
3.313396E+03	-1.695614E+01	3.352451E-01	2.196442E-01
