#wls	flux	fluxerr	mangling_mask
3.289393E+03	-1.602235E+01	5.343098E-02	0.000000E+00
3.365337E+03	-1.603743E+01	4.038800E-02	0.000000E+00
3.443035E+03	-1.603914E+01	3.218261E-02	0.000000E+00
3.522526E+03	-1.602151E+01	2.762064E-02	0.000000E+00
3.603853E+03	-1.597931E+01	2.422652E-02	0.000000E+00
3.687058E+03	-1.591172E+01	2.031561E-02	0.000000E+00
3.772183E+03	-1.582660E+01	1.623340E-02	0.000000E+00
3.859274E+03	-1.574517E+01	1.329657E-02	0.000000E+00
3.948375E+03	-1.568678E+01	1.168481E-02	0.000000E+00
4.039534E+03	-1.565139E+01	1.071043E-02	0.000000E+00
4.132797E+03	-1.563741E+01	1.012284E-02	0.000000E+00
4.228214E+03	-1.563582E+01	9.733700E-03	0.000000E+00
4.325833E+03	-1.563639E+01	9.360145E-03	0.000000E+00
4.425707E+03	-1.563290E+01	9.067716E-03	0.000000E+00
4.527886E+03	-1.562484E+01	8.844840E-03	0.000000E+00
4.632424E+03	-1.561304E+01	8.605846E-03	0.000000E+00
4.739376E+03	-1.559762E+01	8.402595E-03	0.000000E+00
4.848796E+03	-1.558326E+01	8.389062E-03	0.000000E+00
4.960744E+03	-1.557408E+01	8.451224E-03	0.000000E+00
5.075276E+03	-1.556834E+01	8.393714E-03	0.000000E+00
5.192452E+03	-1.556512E+01	8.356298E-03	0.000000E+00
5.312333E+03	-1.556607E+01	8.300025E-03	0.000000E+00
5.434982E+03	-1.557256E+01	8.168530E-03	0.000000E+00
5.560463E+03	-1.557880E+01	8.056400E-03	0.000000E+00
5.688841E+03	-1.557837E+01	8.155333E-03	0.000000E+00
5.820183E+03	-1.557410E+01	8.281044E-03	0.000000E+00
5.954557E+03	-1.556964E+01	8.242670E-03	0.000000E+00
6.092034E+03	-1.556564E+01	8.038248E-03	0.000000E+00
6.232684E+03	-1.556335E+01	7.895080E-03	0.000000E+00
6.376582E+03	-1.556489E+01	7.994226E-03	0.000000E+00
6.523803E+03	-1.557224E+01	8.057823E-03	0.000000E+00
6.674422E+03	-1.558270E+01	8.072859E-03	0.000000E+00
6.828518E+03	-1.559764E+01	8.075088E-03	0.000000E+00
6.986173E+03	-1.562085E+01	8.102900E-03	0.000000E+00
7.147467E+03	-1.565268E+01	8.127169E-03	0.000000E+00
7.312485E+03	-1.568825E+01	8.113272E-03	0.000000E+00
7.481313E+03	-1.572292E+01	8.025760E-03	0.000000E+00
7.654039E+03	-1.575197E+01	7.920080E-03	0.000000E+00
7.830752E+03	-1.577150E+01	7.945592E-03	0.000000E+00
8.011546E+03	-1.578866E+01	8.127465E-03	0.000000E+00
8.196514E+03	-1.580731E+01	8.239247E-03	0.000000E+00
8.385752E+03	-1.582334E+01	8.237337E-03	0.000000E+00
