#wls	flux	fluxerr	mangling_mask
3.289393E+03	-1.659927E+01	5.572547E-02	1.102452E-01
3.365337E+03	-1.668598E+01	4.429184E-02	1.102452E-01
3.443035E+03	-1.677853E+01	4.010562E-02	1.102452E-01
3.522526E+03	-1.687082E+01	3.875719E-02	1.102452E-01
3.603853E+03	-1.695428E+01	3.781810E-02	1.102452E-01
3.687058E+03	-1.702040E+01	3.688025E-02	1.102452E-01
3.772183E+03	-1.706555E+01	3.603090E-02	1.102452E-01
3.859274E+03	-1.709265E+01	3.531866E-02	1.102452E-01
3.948375E+03	-1.711059E+01	3.467247E-02	1.102452E-01
4.039534E+03	-1.712829E+01	3.397824E-02	1.102452E-01
4.132797E+03	-1.714755E+01	3.319857E-02	1.102452E-01
4.228214E+03	-1.716337E+01	3.242555E-02	1.102452E-01
4.325833E+03	-1.716931E+01	3.177788E-02	1.102452E-01
4.425707E+03	-1.716252E+01	3.118118E-02	1.102452E-01
4.527886E+03	-1.714569E+01	3.051127E-02	1.102452E-01
4.632424E+03	-1.712433E+01	2.971033E-02	1.102452E-01
4.739376E+03	-1.710459E+01	2.882404E-02	1.102452E-01
4.848796E+03	-1.709465E+01	2.802586E-02	1.102452E-01
4.960744E+03	-1.709686E+01	2.734185E-02	1.102452E-01
5.075276E+03	-1.710633E+01	2.652380E-02	1.102452E-01
5.192452E+03	-1.712059E+01	2.543639E-02	1.102452E-01
5.312333E+03	-1.713778E+01	2.413968E-02	1.102452E-01
5.434982E+03	-1.715138E+01	2.304031E-02	1.102452E-01
5.560463E+03	-1.714780E+01	2.278365E-02	1.102452E-01
5.688841E+03	-1.712294E+01	2.312922E-02	1.102452E-01
5.820183E+03	-1.709160E+01	2.310002E-02	1.102452E-01
5.954557E+03	-1.706762E+01	2.240118E-02	1.102452E-01
6.092034E+03	-1.705616E+01	2.112835E-02	1.102452E-01
6.232684E+03	-1.705838E+01	1.941847E-02	1.102452E-01
6.376582E+03	-1.707308E+01	1.762487E-02	1.102452E-01
6.523803E+03	-1.709599E+01	1.632669E-02	1.102452E-01
6.674422E+03	-1.711532E+01	1.564458E-02	1.102452E-01
6.828518E+03	-1.712047E+01	1.493222E-02	1.102452E-01
6.986173E+03	-1.710716E+01	1.404209E-02	1.102452E-01
7.147467E+03	-1.707852E+01	1.335741E-02	1.102452E-01
7.312485E+03	-1.704070E+01	1.298478E-02	1.102452E-01
7.481313E+03	-1.700165E+01	1.266046E-02	1.102452E-01
7.654039E+03	-1.696618E+01	1.211759E-02	1.102452E-01
7.830752E+03	-1.693456E+01	1.137660E-02	1.102452E-01
8.011546E+03	-1.691352E+01	1.099522E-02	1.102452E-01
8.196514E+03	-1.690487E+01	1.100464E-02	1.102452E-01
8.385752E+03	-1.690297E+01	1.102143E-02	1.102452E-01
8.579359E+03	-1.689989E+01	1.091949E-02	1.102452E-01
8.777436E+03	-1.689532E+01	1.062287E-02	1.102452E-01
8.980086E+03	-1.689079E+01	1.013510E-02	1.102452E-01
9.187415E+03	-1.688497E+01	1.022904E-02	1.102452E-01
9.399531E+03	-1.687292E+01	1.084539E-02	1.102452E-01
9.616544E+03	-1.685333E+01	1.127010E-02	1.102452E-01
9.838567E+03	-1.683038E+01	1.188734E-02	1.102452E-01
1.006572E+04	-1.680898E+01	1.278346E-02	1.102452E-01
1.029811E+04	-1.679667E+01	1.349572E-02	1.107396E-01
1.053587E+04	-1.679288E+01	1.392882E-02	1.128753E-01
1.077912E+04	-1.679082E+01	1.412598E-02	1.150414E-01
1.102798E+04	-1.679489E+01	1.439184E-02	1.172404E-01
1.128259E+04	-1.681166E+01	1.475188E-02	1.194740E-01
1.154308E+04	-1.683883E+01	1.470922E-02	1.217445E-01
1.180958E+04	-1.686915E+01	1.438612E-02	1.240539E-01
1.208224E+04	-1.689865E+01	1.383404E-02	1.264045E-01
1.236119E+04	-1.692931E+01	1.305958E-02	1.287985E-01
1.264658E+04	-1.695904E+01	1.333959E-02	1.312373E-01
1.293856E+04	-1.697307E+01	1.424914E-02	1.337197E-01
1.323728E+04	-1.695728E+01	1.490660E-02	1.362437E-01
1.354290E+04	-1.691816E+01	1.587799E-02	1.388071E-01
1.385557E+04	-1.688471E+01	1.640273E-02	1.414077E-01
1.417546E+04	-1.687793E+01	1.576934E-02	1.440435E-01
1.450274E+04	-1.688898E+01	1.471218E-02	1.467123E-01
1.483757E+04	-1.689288E+01	1.393691E-02	1.494118E-01
1.518014E+04	-1.687658E+01	1.325239E-02	1.521403E-01
1.553061E+04	-1.685405E+01	1.266780E-02	1.548955E-01
1.588918E+04	-1.684978E+01	1.197609E-02	1.576752E-01
1.625602E+04	-1.687320E+01	1.117718E-02	1.604775E-01
1.663133E+04	-1.690978E+01	1.136298E-02	1.633018E-01
1.701531E+04	-1.694177E+01	1.205368E-02	1.661451E-01
1.740815E+04	-1.695978E+01	1.270313E-02	1.689998E-01
1.781007E+04	-1.695088E+01	1.377305E-02	1.718583E-01
1.822126E+04	-1.691070E+01	1.560411E-02	1.747129E-01
1.864194E+04	-1.686235E+01	1.694228E-02	1.775558E-01
1.907234E+04	-1.683373E+01	1.654567E-02	1.803794E-01
1.951268E+04	-1.682269E+01	1.508633E-02	1.831759E-01
1.996318E+04	-1.681115E+01	1.391279E-02	1.859377E-01
2.042408E+04	-1.679811E+01	1.323520E-02	1.886570E-01
2.089563E+04	-1.679815E+01	1.245393E-02	1.913260E-01
2.137806E+04	-1.681997E+01	1.168351E-02	1.939371E-01
2.187163E+04	-1.685943E+01	1.272170E-02	1.964842E-01
2.237659E+04	-1.690985E+01	1.529745E-02	1.989675E-01
2.289321E+04	-1.695842E+01	1.795143E-02	2.013881E-01
2.342176E+04	-1.698526E+01	2.069765E-02	2.037470E-01
2.396252E+04	-1.698211E+01	2.605806E-02	2.060454E-01
2.451575E+04	-1.695663E+01	3.935904E-02	2.081897E-01
