#wls	flux	fluxerr
3.289393E+03	1.490581E-15	5.095389E-16
3.365337E+03	1.436243E-15	4.607044E-16
3.443035E+03	1.400494E-15	4.277990E-16
3.522526E+03	1.387044E-15	4.131292E-16
3.603853E+03	1.400285E-15	4.151372E-16
3.687058E+03	1.438521E-15	4.292875E-16
3.772183E+03	1.482962E-15	4.474240E-16
3.859274E+03	1.503227E-15	4.583827E-16
3.948375E+03	1.472902E-15	4.520812E-16
4.039534E+03	1.389872E-15	4.269968E-16
4.132797E+03	1.282041E-15	3.921848E-16
4.228214E+03	1.180077E-15	3.577768E-16
4.325833E+03	1.098416E-15	3.285792E-16
4.425707E+03	1.036392E-15	3.045944E-16
4.527886E+03	9.859703E-16	2.835643E-16
4.632424E+03	9.415044E-16	2.640248E-16
4.739376E+03	9.016763E-16	2.458961E-16
4.848796E+03	8.625541E-16	2.285294E-16
4.960744E+03	8.225820E-16	2.121002E-16
5.075276E+03	7.853240E-16	1.981408E-16
5.192452E+03	7.510597E-16	1.869495E-16
5.312333E+03	7.170109E-16	1.772743E-16
5.434982E+03	6.794261E-16	1.673276E-16
5.560463E+03	6.396757E-16	1.568410E-16
5.688841E+03	6.005416E-16	1.462262E-16
5.820183E+03	5.600752E-16	1.350112E-16
5.954557E+03	5.178881E-16	1.233166E-16
6.092034E+03	4.769446E-16	1.121578E-16
6.232684E+03	4.397784E-16	1.023249E-16
6.376582E+03	4.071616E-16	9.388670E-17
6.523803E+03	3.778796E-16	8.630904E-17
6.674422E+03	3.517523E-16	7.936539E-17
6.828518E+03	3.291205E-16	7.304573E-17
6.986173E+03	3.097887E-16	6.732725E-17
7.147467E+03	2.926803E-16	6.208286E-17
7.312485E+03	2.771649E-16	5.739882E-17
7.481313E+03	2.619168E-16	5.331579E-17
7.654039E+03	2.458700E-16	4.984482E-17
7.830752E+03	2.287648E-16	4.677369E-17
8.011546E+03	2.090389E-16	4.337885E-17
8.196514E+03	1.874893E-16	3.949642E-17
8.385752E+03	1.659866E-16	3.535744E-17
8.579359E+03	1.451932E-16	3.107224E-17
8.777436E+03	1.248771E-16	2.663366E-17
8.980086E+03	1.061195E-16	2.235132E-17
9.187415E+03	9.026687E-17	1.859075E-17
9.399531E+03	7.765629E-17	1.547159E-17
9.616544E+03	6.733117E-17	1.283417E-17
9.838567E+03	5.792691E-17	1.047866E-17
1.006572E+04	4.890882E-17	8.402915E-18
1.029811E+04	4.056612E-17	6.741096E-18
1.053587E+04	3.379178E-17	5.638253E-18
1.077912E+04	2.916746E-17	5.082561E-18
1.102798E+04	2.629421E-17	4.853856E-18
1.128259E+04	2.457642E-17	4.728063E-18
1.154308E+04	2.365574E-17	4.586701E-18
1.180958E+04	2.327482E-17	4.391587E-18
1.208224E+04	2.312159E-17	4.157638E-18
1.236119E+04	2.284407E-17	3.968898E-18
1.264658E+04	2.229165E-17	3.960889E-18
1.293856E+04	2.165332E-17	4.176143E-18
1.323728E+04	2.112668E-17	4.517425E-18
1.354290E+04	2.057830E-17	4.821025E-18
1.385557E+04	1.958927E-17	4.889622E-18
1.417546E+04	1.800754E-17	4.631135E-18
1.450274E+04	1.620234E-17	4.150708E-18
1.483757E+04	1.463564E-17	3.618720E-18
1.518014E+04	1.344173E-17	3.122608E-18
1.553061E+04	1.243458E-17	2.671438E-18
1.588918E+04	1.143260E-17	2.290730E-18
1.625602E+04	1.046225E-17	2.046838E-18
1.663133E+04	9.687764E-18	1.976623E-18
1.701531E+04	9.158940E-18	2.032081E-18
1.740815E+04	8.797966E-18	2.134632E-18
1.781007E+04	8.579055E-18	2.240041E-18
1.822126E+04	8.427455E-18	2.308614E-18
1.864194E+04	8.090094E-18	2.257935E-18
1.907234E+04	7.392833E-18	2.038263E-18
1.951268E+04	6.514296E-18	1.719239E-18
1.996318E+04	5.729884E-18	1.403350E-18
2.042408E+04	5.117520E-18	1.133197E-18
2.089563E+04	4.606307E-18	9.163238E-19
2.137806E+04	4.113636E-18	7.694000E-19
2.187163E+04	3.596942E-18	7.065562E-19
2.237659E+04	3.059315E-18	6.994517E-19
2.289321E+04	2.566730E-18	7.089554E-19
2.342176E+04	2.194723E-18	7.283457E-19
2.396252E+04	1.954667E-18	7.652569E-19
2.451575E+04	1.813112E-18	8.223196E-19
