#wls	flux	fluxerr	mangling_mask
6.300005E+03	-1.691866E+01	2.075567E-01	5.878535E-02
6.300404E+03	-1.691886E+01	2.070159E-01	5.879321E-02
6.301204E+03	-1.691922E+01	2.073086E-01	5.880897E-02
6.301404E+03	-1.691917E+01	2.078297E-01	5.881291E-02
6.301604E+03	-1.691962E+01	2.080514E-01	5.881685E-02
6.301804E+03	-1.691941E+01	2.078038E-01	5.882079E-02
6.302204E+03	-1.691903E+01	2.081625E-01	5.882866E-02
6.302604E+03	-1.691841E+01	2.078539E-01	5.883654E-02
6.302804E+03	-1.691861E+01	2.079443E-01	5.884048E-02
6.303004E+03	-1.691836E+01	2.073397E-01	5.884442E-02
6.303204E+03	-1.691831E+01	2.088693E-01	5.884836E-02
6.303404E+03	-1.691802E+01	2.084877E-01	5.885230E-02
6.303605E+03	-1.691748E+01	2.080007E-01	5.885626E-02
6.303805E+03	-1.691789E+01	2.071276E-01	5.886019E-02
6.304005E+03	-1.691867E+01	2.083385E-01	5.886413E-02
6.304205E+03	-1.691866E+01	2.078766E-01	5.886807E-02
6.304405E+03	-1.691932E+01	2.062352E-01	5.887201E-02
6.304605E+03	-1.691944E+01	2.064262E-01	5.887595E-02
6.304805E+03	-1.691882E+01	2.061733E-01	5.887988E-02
6.305005E+03	-1.691852E+01	2.048902E-01	5.888382E-02
6.305205E+03	-1.691852E+01	2.048366E-01	5.888776E-02
6.305405E+03	-1.691851E+01	2.044326E-01	5.889170E-02
6.305605E+03	-1.691868E+01	2.042958E-01	5.889563E-02
6.305805E+03	-1.691855E+01	2.042458E-01	5.889957E-02
6.306005E+03	-1.691805E+01	2.029014E-01	5.890351E-02
6.306205E+03	-1.691755E+01	2.026337E-01	5.890744E-02
6.306405E+03	-1.691693E+01	2.013973E-01	5.891138E-02
6.306605E+03	-1.691668E+01	2.018661E-01	5.891532E-02
6.306805E+03	-1.691725E+01	2.031449E-01	5.891925E-02
6.307605E+03	-1.691765E+01	2.032592E-01	5.893500E-02
6.307805E+03	-1.691814E+01	2.028191E-01	5.893893E-02
6.308005E+03	-1.691879E+01	2.031232E-01	5.894287E-02
6.308205E+03	-1.691883E+01	2.025772E-01	5.894681E-02
6.308405E+03	-1.691903E+01	2.028717E-01	5.895074E-02
6.308606E+03	-1.691969E+01	2.034494E-01	5.895470E-02
6.308806E+03	-1.692027E+01	2.032821E-01	5.895863E-02
6.309006E+03	-1.692018E+01	2.040671E-01	5.896257E-02
6.309206E+03	-1.691976E+01	2.035833E-01	5.896650E-02
6.309406E+03	-1.691893E+01	2.032005E-01	5.897044E-02
6.309606E+03	-1.691872E+01	2.024562E-01	5.897437E-02
6.309806E+03	-1.691880E+01	2.021646E-01	5.897830E-02
6.310006E+03	-1.691908E+01	2.022166E-01	5.898224E-02
6.310206E+03	-1.691900E+01	2.029418E-01	5.898617E-02
6.310406E+03	-1.691871E+01	2.027863E-01	5.899011E-02
6.310606E+03	-1.691792E+01	2.012843E-01	5.899404E-02
6.310806E+03	-1.691721E+01	1.990527E-01	5.899798E-02
6.311006E+03	-1.691738E+01	1.991075E-01	5.900191E-02
6.311206E+03	-1.691655E+01	1.991334E-01	5.900584E-02
6.311406E+03	-1.691573E+01	1.988847E-01	5.900978E-02
6.311606E+03	-1.691576E+01	1.993911E-01	5.901371E-02
6.311806E+03	-1.691564E+01	1.986341E-01	5.901764E-02
6.312006E+03	-1.691592E+01	1.968099E-01	5.902158E-02
6.312206E+03	-1.691567E+01	1.965428E-01	5.902551E-02
6.312405E+03	-1.691571E+01	1.969957E-01	5.902942E-02
6.312605E+03	-1.691542E+01	1.968166E-01	5.903336E-02
6.312806E+03	-1.691488E+01	1.955041E-01	5.903731E-02
6.313006E+03	-1.691541E+01	1.956414E-01	5.904124E-02
6.313205E+03	-1.691422E+01	1.947444E-01	5.904515E-02
6.313405E+03	-1.691344E+01	1.944175E-01	5.904909E-02
6.313606E+03	-1.691343E+01	1.939080E-01	5.905304E-02
6.313806E+03	-1.691274E+01	1.941688E-01	5.905697E-02
6.314006E+03	-1.691176E+01	1.930956E-01	5.906090E-02
6.314206E+03	-1.691232E+01	1.932592E-01	5.906483E-02
6.314406E+03	-1.691212E+01	1.936484E-01	5.906876E-02
6.314806E+03	-1.691081E+01	1.928676E-01	5.907663E-02
6.315006E+03	-1.691008E+01	1.924026E-01	5.908056E-02
6.315206E+03	-1.691076E+01	1.927564E-01	5.908449E-02
6.315406E+03	-1.691072E+01	1.926817E-01	5.908842E-02
6.315606E+03	-1.691015E+01	1.920379E-01	5.909235E-02
6.315806E+03	-1.690982E+01	1.917939E-01	5.909628E-02
6.316006E+03	-1.691054E+01	1.913018E-01	5.910021E-02
6.316206E+03	-1.691078E+01	1.906471E-01	5.910414E-02
6.316406E+03	-1.691009E+01	1.908630E-01	5.910807E-02
6.316606E+03	-1.690928E+01	1.915661E-01	5.911200E-02
6.316806E+03	-1.690855E+01	1.911250E-01	5.911594E-02
6.317006E+03	-1.690923E+01	1.917905E-01	5.911987E-02
6.317206E+03	-1.690971E+01	1.930678E-01	5.912380E-02
6.317406E+03	-1.690971E+01	1.932255E-01	5.912772E-02
6.317606E+03	-1.691084E+01	1.928509E-01	5.913165E-02
6.317806E+03	-1.691031E+01	1.925160E-01	5.913558E-02
6.318006E+03	-1.690949E+01	1.921982E-01	5.913951E-02
6.318206E+03	-1.690892E+01	1.920935E-01	5.914344E-02
6.318607E+03	-1.690871E+01	1.919680E-01	5.915132E-02
6.318807E+03	-1.690855E+01	1.919330E-01	5.915525E-02
6.319007E+03	-1.690786E+01	1.911958E-01	5.915918E-02
6.319207E+03	-1.690790E+01	1.893215E-01	5.916311E-02
6.319407E+03	-1.690793E+01	1.899510E-01	5.916704E-02
6.320007E+03	-1.690776E+01	1.896834E-01	5.917882E-02
6.320207E+03	-1.690820E+01	1.901509E-01	5.918275E-02
