#wls	flux	fluxerr
3.289393E+03	2.398800E-17	8.598537E-18
3.365337E+03	1.923733E-17	6.631409E-18
3.443035E+03	1.520441E-17	5.136433E-18
3.522526E+03	1.198640E-17	4.000105E-18
3.603853E+03	9.577289E-18	3.165181E-18
3.687058E+03	7.872165E-18	2.579027E-18
3.772183E+03	6.693787E-18	2.175433E-18
3.859274E+03	5.866964E-18	1.892611E-18
3.948375E+03	5.248539E-18	1.681257E-18
4.039534E+03	4.732543E-18	1.505437E-18
4.132797E+03	4.266816E-18	1.347567E-18
4.228214E+03	3.853994E-18	1.208253E-18
4.325833E+03	3.522300E-18	1.096223E-18
4.425707E+03	3.280078E-18	1.013478E-18
4.527886E+03	3.105262E-18	9.525386E-19
4.632424E+03	2.965701E-18	9.031140E-19
4.739376E+03	2.829532E-18	8.552868E-19
4.848796E+03	2.656435E-18	7.969389E-19
4.960744E+03	2.444114E-18	7.275862E-19
5.075276E+03	2.225340E-18	6.570475E-19
5.192452E+03	2.015486E-18	5.899227E-19
5.312333E+03	1.827219E-18	5.300134E-19
5.434982E+03	1.689802E-18	4.859487E-19
5.560463E+03	1.648204E-18	4.705892E-19
5.688841E+03	1.704683E-18	4.836793E-19
5.820183E+03	1.792566E-18	5.050203E-19
5.954557E+03	1.842110E-18	5.145443E-19
6.092034E+03	1.817017E-18	5.025432E-19
6.232684E+03	1.709784E-18	4.677627E-19
6.376582E+03	1.540383E-18	4.166990E-19
6.523803E+03	1.350041E-18	3.613381E-19
6.674422E+03	1.192340E-18	3.160138E-19
6.828518E+03	1.098137E-18	2.881523E-19
6.986173E+03	1.075352E-18	2.791811E-19
7.147467E+03	1.114974E-18	2.863041E-19
7.312485E+03	1.200639E-18	3.048681E-19
7.481313E+03	1.306767E-18	3.279515E-19
7.654039E+03	1.411433E-18	3.497983E-19
7.830752E+03	1.509099E-18	3.690933E-19
8.011546E+03	1.578125E-18	3.810419E-19
8.196514E+03	1.608832E-18	3.837351E-19
8.385752E+03	1.614165E-18	3.803600E-19
8.579359E+03	1.616662E-18	3.762693E-19
8.777436E+03	1.612659E-18	3.707639E-19
8.980086E+03	1.592570E-18	3.622774E-19
9.187415E+03	1.561493E-18	3.529325E-19
9.399531E+03	1.541292E-18	3.473627E-19
9.616544E+03	1.544960E-18	3.475992E-19
9.838567E+03	1.570047E-18	3.528622E-19
1.006572E+04	1.609137E-18	3.612348E-19
1.029811E+04	1.640163E-18	3.672285E-19
1.053587E+04	1.665197E-18	3.712052E-19
1.077912E+04	1.706164E-18	3.782899E-19
1.102798E+04	1.742764E-18	3.843176E-19
1.128259E+04	1.743861E-18	3.825170E-19
1.154308E+04	1.712374E-18	3.732820E-19
1.180958E+04	1.672331E-18	3.619358E-19
1.208224E+04	1.636427E-18	3.512678E-19
1.236119E+04	1.596112E-18	3.396335E-19
1.264658E+04	1.556263E-18	3.289865E-19
1.293856E+04	1.563301E-18	3.289775E-19
1.323728E+04	1.666943E-18	3.491510E-19
1.354290E+04	1.861846E-18	3.881031E-19
1.385557E+04	2.048258E-18	4.242283E-19
1.417546E+04	2.123896E-18	4.358158E-19
1.450274E+04	2.119009E-18	4.300943E-19
1.483757E+04	2.151119E-18	4.317589E-19
1.518014E+04	2.290361E-18	4.543979E-19
1.553061E+04	2.484333E-18	4.870240E-19
1.588918E+04	2.597619E-18	5.030693E-19
1.625602E+04	2.551750E-18	4.886571E-19
1.663133E+04	2.419252E-18	4.597907E-19
1.701531E+04	2.300036E-18	4.349464E-19
1.740815E+04	2.244203E-18	4.225484E-19
1.781007E+04	2.317635E-18	4.348712E-19
1.822126E+04	2.566013E-18	4.803749E-19
1.864194E+04	2.909625E-18	5.424528E-19
1.907234E+04	3.189731E-18	5.889865E-19
1.951268E+04	3.392632E-18	6.179495E-19
1.996318E+04	3.624807E-18	6.510857E-19
2.042408E+04	3.881244E-18	6.882361E-19
2.089563E+04	4.024971E-18	7.057654E-19
2.137806E+04	3.967548E-18	6.920921E-19
2.187163E+04	3.760405E-18	6.620114E-19
2.237659E+04	3.489627E-18	6.290782E-19
2.289321E+04	3.265244E-18	6.078680E-19
2.342176E+04	3.210337E-18	6.212199E-19
2.396252E+04	3.367432E-18	6.869999E-19
2.451575E+04	3.700644E-18	8.251951E-19
