#wls	flux	fluxerr
3.289393E+03	2.900017E-16	9.993005E-17
3.365337E+03	2.856664E-16	9.259220E-17
3.443035E+03	2.815460E-16	8.821627E-17
3.522526E+03	2.777146E-16	8.843920E-17
3.603853E+03	2.739550E-16	9.307170E-17
3.687058E+03	2.697904E-16	1.002696E-16
3.772183E+03	2.646795E-16	1.078165E-16
3.859274E+03	2.584914E-16	1.140646E-16
3.948375E+03	2.517492E-16	1.182536E-16
4.039534E+03	2.453095E-16	1.203218E-16
4.132797E+03	2.399565E-16	1.205352E-16
4.228214E+03	2.361386E-16	1.191649E-16
4.325833E+03	2.339591E-16	1.163597E-16
4.425707E+03	2.331761E-16	1.121181E-16
4.527886E+03	2.331761E-16	1.063311E-16
4.632424E+03	2.331761E-16	9.900394E-17
4.739376E+03	2.331761E-16	9.078446E-17
4.848796E+03	2.326307E-16	8.246943E-17
4.960744E+03	2.298810E-16	7.491776E-17
5.075276E+03	2.250697E-16	6.970340E-17
5.192452E+03	2.181752E-16	6.744762E-17
5.312333E+03	2.094888E-16	6.735403E-17
5.434982E+03	1.994144E-16	6.786755E-17
5.560463E+03	1.884108E-16	6.774423E-17
5.688841E+03	1.769975E-16	6.645429E-17
5.820183E+03	1.656505E-16	6.404878E-17
5.954557E+03	1.547447E-16	6.089428E-17
6.092034E+03	1.445806E-16	5.744588E-17
6.232684E+03	1.353364E-16	5.402966E-17
6.376582E+03	1.270254E-16	5.069938E-17
6.523803E+03	1.195115E-16	4.729695E-17
6.674422E+03	1.125144E-16	4.361033E-17
6.828518E+03	1.056828E-16	3.951276E-17
6.986173E+03	9.873652E-17	3.507457E-17
7.147467E+03	9.145142E-17	3.056760E-17
7.312485E+03	8.358653E-17	2.639195E-17
7.481313E+03	7.494532E-17	2.293360E-17
7.654039E+03	6.559476E-17	2.032540E-17
7.830752E+03	5.593358E-17	1.828234E-17
8.011546E+03	4.652049E-17	1.636011E-17
8.196514E+03	3.788281E-17	1.431657E-17
8.385752E+03	3.034026E-17	1.214949E-17
8.579359E+03	2.398355E-17	9.973381E-18
8.777436E+03	1.877475E-17	7.927111E-18
8.980086E+03	1.462984E-17	6.128409E-18
9.187415E+03	1.142650E-17	4.642119E-18
9.399531E+03	9.003900E-18	3.473509E-18
9.616544E+03	7.184476E-18	2.587606E-18
9.838567E+03	5.808061E-18	1.937222E-18
1.006572E+04	4.756630E-18	1.480232E-18
1.029811E+04	3.953040E-18	1.178731E-18
1.053587E+04	3.345387E-18	9.920127E-19
1.077912E+04	2.892175E-18	8.781920E-19
1.102798E+04	2.555430E-18	8.023289E-19
1.128259E+04	2.303633E-18	7.421144E-19
1.154308E+04	2.113260E-18	6.871594E-19
1.180958E+04	1.967128E-18	6.355181E-19
1.208224E+04	1.852693E-18	5.908539E-19
1.236119E+04	1.760963E-18	5.597639E-19
1.264658E+04	1.685603E-18	5.475196E-19
1.293856E+04	1.622015E-18	5.530596E-19
1.323728E+04	1.566325E-18	5.687951E-19
1.354290E+04	1.514739E-18	5.851895E-19
1.385557E+04	1.463721E-18	5.943578E-19
1.417546E+04	1.410687E-18	5.915664E-19
1.450274E+04	1.354241E-18	5.754102E-19
1.483757E+04	1.293471E-18	5.471929E-19
1.518014E+04	1.227191E-18	5.101323E-19
1.553061E+04	1.154232E-18	4.688219E-19
1.588918E+04	1.074634E-18	4.285474E-19
1.625602E+04	9.903594E-19	3.936694E-19
1.663133E+04	9.051612E-19	3.657031E-19
1.701531E+04	8.228216E-19	3.428336E-19
1.740815E+04	7.456182E-19	3.218230E-19
1.781007E+04	6.749328E-19	3.002237E-19
1.822126E+04	6.112739E-19	2.768774E-19
1.864194E+04	5.544340E-19	2.516485E-19
1.907234E+04	5.043751E-19	2.253409E-19
1.951268E+04	4.616742E-19	1.995166E-19
1.996318E+04	4.269606E-19	1.760023E-19
2.042408E+04	4.003057E-19	1.565993E-19
2.089563E+04	3.812172E-19	1.432141E-19
2.137806E+04	3.689334E-19	1.378774E-19
2.187163E+04	3.626396E-19	1.420243E-19
2.237659E+04	3.616950E-19	1.555496E-19
2.289321E+04	3.616950E-19	1.752221E-19
2.342176E+04	3.616950E-19	1.985458E-19
2.396252E+04	3.616950E-19	2.237602E-19
2.451575E+04	3.616950E-19	2.496504E-19
