#wls	flux	fluxerr
3.289393E+03	1.225150E-17	2.056797E-18
3.365337E+03	1.045605E-17	1.571708E-18
3.443035E+03	8.988254E-18	1.292773E-18
3.522526E+03	7.892546E-18	1.116990E-18
3.603853E+03	7.184119E-18	1.005412E-18
3.687058E+03	6.846579E-18	9.477056E-19
3.772183E+03	6.821707E-18	9.354125E-19
3.859274E+03	7.031388E-18	9.576372E-19
3.948375E+03	7.390680E-18	1.000807E-18
4.039534E+03	7.821423E-18	1.051971E-18
4.132797E+03	8.295715E-18	1.106857E-18
4.228214E+03	8.869760E-18	1.173904E-18
4.325833E+03	9.671626E-18	1.270795E-18
4.425707E+03	1.081125E-17	1.411218E-18
4.527886E+03	1.231064E-17	1.596211E-18
4.632424E+03	1.409832E-17	1.814688E-18
4.739376E+03	1.601062E-17	2.046633E-18
4.848796E+03	1.774086E-17	2.258193E-18
4.960744E+03	1.908392E-17	2.425388E-18
5.075276E+03	2.007926E-17	2.548386E-18
5.192452E+03	2.072060E-17	2.624397E-18
5.312333E+03	2.098025E-17	2.651942E-18
5.434982E+03	2.102633E-17	2.655328E-18
5.560463E+03	2.141592E-17	2.705331E-18
5.688841E+03	2.254114E-17	2.847810E-18
5.820183E+03	2.416000E-17	3.047133E-18
5.954557E+03	2.593326E-17	3.259877E-18
6.092034E+03	2.769502E-17	3.466902E-18
6.232684E+03	2.927450E-17	3.650683E-18
6.376582E+03	3.053695E-17	3.799300E-18
6.523803E+03	3.159285E-17	3.927516E-18
6.674422E+03	3.291773E-17	4.092934E-18
6.828518E+03	3.481297E-17	4.327704E-18
6.986173E+03	3.724389E-17	4.625834E-18
7.147467E+03	3.990862E-17	4.951743E-18
7.312485E+03	4.247072E-17	5.264572E-18
7.481313E+03	4.459320E-17	5.521514E-18
7.654039E+03	4.621797E-17	5.716352E-18
7.830752E+03	4.748749E-17	5.870514E-18
8.011546E+03	4.780025E-17	5.912515E-18
8.196514E+03	4.702662E-17	5.820987E-18
8.385752E+03	4.587020E-17	5.679558E-18
8.579359E+03	4.518612E-17	5.595657E-18
8.777436E+03	4.520328E-17	5.598332E-18
8.980086E+03	4.612945E-17	5.711795E-18
9.187415E+03	4.845865E-17	6.004148E-18
9.399531E+03	5.274598E-17	6.545474E-18
9.616544E+03	5.893957E-17	7.318574E-18
9.838567E+03	6.604407E-17	8.204104E-18
1.006572E+04	7.255232E-17	9.019994E-18
1.029811E+04	7.671234E-17	9.545823E-18
1.053587E+04	7.841905E-17	9.767853E-18
1.077912E+04	7.883404E-17	9.829332E-18
1.102798E+04	7.750502E-17	9.678042E-18
1.128259E+04	7.370512E-17	9.221140E-18
1.154308E+04	6.821496E-17	8.540924E-18
1.180958E+04	6.244468E-17	7.821420E-18
1.208224E+04	5.707346E-17	7.150475E-18
1.236119E+04	5.195796E-17	6.508009E-18
1.264658E+04	4.739654E-17	5.951159E-18
1.293856E+04	4.473699E-17	5.634067E-18
1.323728E+04	4.500104E-17	5.679160E-18
1.354290E+04	4.752402E-17	6.026238E-18
1.385557E+04	4.965283E-17	6.318870E-18
1.417546E+04	4.914666E-17	6.241894E-18
1.450274E+04	4.676296E-17	5.917272E-18
1.483757E+04	4.484749E-17	5.665576E-18
1.518014E+04	4.444585E-17	5.612490E-18
1.553061E+04	4.432247E-17	5.600200E-18
1.588918E+04	4.252780E-17	5.375575E-18
1.625602E+04	3.875010E-17	4.896157E-18
1.663133E+04	3.464475E-17	4.383091E-18
1.701531E+04	3.159235E-17	4.005607E-18
1.740815E+04	3.000759E-17	3.812591E-18
1.781007E+04	3.029751E-17	3.864061E-18
1.822126E+04	3.242991E-17	4.166962E-18
1.864194E+04	3.486315E-17	4.508504E-18
1.907234E+04	3.552795E-17	4.592355E-18
1.951268E+04	3.446838E-17	4.436288E-18
1.996318E+04	3.316844E-17	4.258422E-18
2.042408E+04	3.206374E-17	4.116136E-18
2.089563E+04	3.047746E-17	3.913084E-18
2.137806E+04	2.790604E-17	3.584342E-18
2.187163E+04	2.455023E-17	3.170010E-18
2.237659E+04	2.094844E-17	2.736574E-18
2.289321E+04	1.786450E-17	2.370286E-18
2.342176E+04	1.592050E-17	2.155843E-18
2.396252E+04	1.514271E-17	2.138030E-18
2.451575E+04	1.519781E-17	2.390402E-18
