#wls	flux	fluxerr	mangling_mask
5.252900E+03	-1.670507E+01	2.587203E-01	3.418172E-01
5.254800E+03	-1.670629E+01	2.591401E-01	3.417103E-01
5.256800E+03	-1.670835E+01	2.566776E-01	3.415974E-01
5.258800E+03	-1.670743E+01	2.516115E-01	3.414841E-01
5.260700E+03	-1.670678E+01	2.519346E-01	3.413759E-01
5.262700E+03	-1.670492E+01	2.324668E-01	3.412617E-01
5.264700E+03	-1.670195E+01	2.259541E-01	3.411469E-01
5.266700E+03	-1.669527E+01	2.209060E-01	3.410317E-01
5.268600E+03	-1.668623E+01	2.138072E-01	3.409218E-01
5.270600E+03	-1.668162E+01	2.115508E-01	3.408057E-01
5.272600E+03	-1.668506E+01	2.079817E-01	3.406891E-01
5.274500E+03	-1.669350E+01	1.963558E-01	3.405780E-01
5.276500E+03	-1.669256E+01	1.938609E-01	3.404605E-01
5.278500E+03	-1.669026E+01	1.939788E-01	3.403425E-01
5.280400E+03	-1.668472E+01	1.902546E-01	3.402300E-01
5.282400E+03	-1.667885E+01	1.873747E-01	3.401112E-01
5.284400E+03	-1.668039E+01	1.863420E-01	3.399918E-01
5.286400E+03	-1.666628E+01	1.727044E-01	3.398720E-01
5.288300E+03	-1.665812E+01	1.741080E-01	3.397578E-01
5.290300E+03	-1.665407E+01	1.831234E-01	3.396371E-01
5.292300E+03	-1.665180E+01	1.505707E-01	3.395159E-01
5.294200E+03	-1.664436E+01	1.321748E-01	3.394003E-01
5.296200E+03	-1.663887E+01	1.326771E-01	3.392782E-01
5.298200E+03	-1.664144E+01	1.334826E-01	3.391556E-01
5.300200E+03	-1.664306E+01	1.325975E-01	3.390326E-01
5.302100E+03	-1.664426E+01	1.328865E-01	3.389153E-01
5.304100E+03	-1.664222E+01	1.329682E-01	3.387913E-01
5.306100E+03	-1.663829E+01	1.275245E-01	3.386669E-01
5.308000E+03	-1.663820E+01	1.315397E-01	3.385483E-01
5.310000E+03	-1.663619E+01	1.324376E-01	3.384229E-01
5.312000E+03	-1.663167E+01	1.318924E-01	3.382971E-01
5.314000E+03	-1.663147E+01	1.530607E-01	3.381708E-01
5.315900E+03	-1.663911E+01	1.612310E-01	3.380504E-01
5.317900E+03	-1.664793E+01	1.685861E-01	3.379232E-01
5.319900E+03	-1.665737E+01	1.721988E-01	3.377955E-01
5.321800E+03	-1.665938E+01	1.828590E-01	3.376737E-01
5.323800E+03	-1.666120E+01	1.868901E-01	3.375451E-01
5.325800E+03	-1.666371E+01	1.875141E-01	3.374160E-01
