#wls	flux	fluxerr
3.289393E+03	8.337907E-17	4.626114E-17
3.365337E+03	8.279459E-17	4.530484E-17
3.443035E+03	8.168691E-17	4.449591E-17
3.522526E+03	8.006291E-17	4.402551E-17
3.603853E+03	7.796872E-17	4.389576E-17
3.687058E+03	7.561783E-17	4.401346E-17
3.772183E+03	7.348252E-17	4.438397E-17
3.859274E+03	7.207425E-17	4.510116E-17
3.948375E+03	7.172225E-17	4.624095E-17
4.039534E+03	7.172225E-17	4.726439E-17
4.132797E+03	7.172225E-17	4.786174E-17
4.228214E+03	7.172225E-17	4.798467E-17
4.325833E+03	7.172225E-17	4.762132E-17
4.425707E+03	7.172225E-17	4.679516E-17
4.527886E+03	7.172225E-17	4.556731E-17
4.632424E+03	7.172225E-17	4.404167E-17
4.739376E+03	7.172225E-17	4.236987E-17
4.848796E+03	7.172225E-17	4.074979E-17
4.960744E+03	7.172225E-17	3.940611E-17
5.075276E+03	7.172225E-17	3.854053E-17
5.192452E+03	7.172225E-17	3.825083E-17
5.312333E+03	7.172225E-17	3.846805E-17
5.434982E+03	7.172225E-17	3.900393E-17
5.560463E+03	6.693039E-17	3.700114E-17
5.688841E+03	6.168533E-17	3.461459E-17
5.820183E+03	5.677723E-17	3.222564E-17
5.954557E+03	5.245036E-17	2.999687E-17
6.092034E+03	4.876744E-17	2.801877E-17
6.232684E+03	4.570982E-17	2.632603E-17
6.376582E+03	4.316271E-17	2.486547E-17
6.523803E+03	4.091604E-17	2.350498E-17
6.674422E+03	3.874112E-17	2.210608E-17
6.828518E+03	3.649117E-17	2.060325E-17
6.986173E+03	3.403680E-17	1.897552E-17
7.147467E+03	3.122178E-17	1.721527E-17
7.312485E+03	2.792309E-17	1.533607E-17
7.481313E+03	2.418139E-17	1.339873E-17
7.654039E+03	2.019650E-17	1.147012E-17
7.830752E+03	1.627636E-17	9.608589E-18
8.011546E+03	1.275043E-17	7.891390E-18
8.196514E+03	9.773839E-18	6.357803E-18
8.385752E+03	7.365759E-18	5.024939E-18
8.579359E+03	5.489703E-18	3.908124E-18
8.777436E+03	4.078630E-18	3.011206E-18
8.980086E+03	3.036280E-18	2.310170E-18
9.187415E+03	2.270483E-18	1.770453E-18
9.399531E+03	1.711880E-18	1.362219E-18
9.616544E+03	1.311277E-18	1.061983E-18
9.838567E+03	1.030548E-18	8.486243E-19
1.006572E+04	8.368904E-19	7.010317E-19
1.029811E+04	7.031609E-19	5.999140E-19
1.053587E+04	6.059907E-19	5.271677E-19
1.077912E+04	5.283857E-19	4.687818E-19
1.102798E+04	4.633524E-19	4.188628E-19
1.128259E+04	4.086160E-19	3.757325E-19
1.154308E+04	3.625722E-19	3.385073E-19
1.180958E+04	3.241487E-19	3.069035E-19
1.208224E+04	2.930491E-19	2.813730E-19
1.236119E+04	2.692224E-19	2.625217E-19
1.264658E+04	2.517362E-19	2.499326E-19
1.293856E+04	2.383993E-19	2.416629E-19
1.323728E+04	2.272916E-19	2.357271E-19
1.354290E+04	2.181590E-19	2.316924E-19
1.385557E+04	2.119928E-19	2.304990E-19
1.417546E+04	2.089459E-19	2.323398E-19
1.450274E+04	2.072232E-19	2.352972E-19
1.483757E+04	2.041223E-19	2.363172E-19
1.518014E+04	1.980143E-19	2.334560E-19
1.553061E+04	1.892105E-19	2.270241E-19
1.588918E+04	1.786048E-19	2.180828E-19
1.625602E+04	1.663728E-19	2.068302E-19
1.663133E+04	1.522447E-19	1.928219E-19
1.701531E+04	1.367421E-19	1.765164E-19
1.740815E+04	1.210333E-19	1.592396E-19
1.781007E+04	1.059837E-19	1.420482E-19
1.822126E+04	9.251215E-20	1.262003E-19
1.864194E+04	8.176974E-20	1.134040E-19
1.907234E+04	7.419981E-20	1.044936E-19
1.951268E+04	6.910754E-20	9.871457E-20
1.996318E+04	6.550877E-20	9.483042E-20
2.042408E+04	6.302488E-20	9.241282E-20
2.089563E+04	6.191532E-20	9.195093E-20
2.137806E+04	6.191532E-20	9.316373E-20
2.187163E+04	6.191532E-20	9.445737E-20
2.237659E+04	6.191532E-20	9.584785E-20
2.289321E+04	6.191532E-20	9.733282E-20
2.342176E+04	6.191532E-20	9.889819E-20
2.396252E+04	6.191532E-20	1.005243E-19
2.451575E+04	6.191532E-20	1.021901E-19
