#wls	flux	fluxerr
3.289393E+03	2.291999E-17	3.142648E-18
3.365337E+03	1.858295E-17	1.996726E-18
3.443035E+03	1.495575E-17	1.411965E-18
3.522526E+03	1.208973E-17	1.080479E-18
3.603853E+03	9.953979E-18	8.611708E-19
3.687058E+03	8.449161E-18	7.119043E-19
3.772183E+03	7.425099E-18	6.126304E-19
3.859274E+03	6.729394E-18	5.470456E-19
3.948375E+03	6.230898E-18	5.011519E-19
4.039534E+03	5.828867E-18	4.639913E-19
4.132797E+03	5.471680E-18	4.301477E-19
4.228214E+03	5.165426E-18	4.007871E-19
4.325833E+03	4.946474E-18	3.798596E-19
4.425707E+03	4.826376E-18	3.676715E-19
4.527886E+03	4.776414E-18	3.609920E-19
4.632424E+03	4.748845E-18	3.557325E-19
4.739376E+03	4.695587E-18	3.484015E-19
4.848796E+03	4.567174E-18	3.359966E-19
4.960744E+03	4.364484E-18	3.184539E-19
5.075276E+03	4.132975E-18	2.978455E-19
5.192452E+03	3.894444E-18	2.755465E-19
5.312333E+03	3.667062E-18	2.539607E-19
5.434982E+03	3.500190E-18	2.391187E-19
5.560463E+03	3.481014E-18	2.396271E-19
5.688841E+03	3.635014E-18	2.553573E-19
5.820183E+03	3.866536E-18	2.743545E-19
5.954557E+03	4.054419E-18	2.856564E-19
6.092034E+03	4.113752E-18	2.837993E-19
6.232684E+03	4.000912E-18	2.676235E-19
6.376582E+03	3.734257E-18	2.418052E-19
6.523803E+03	3.402875E-18	2.157195E-19
6.674422E+03	3.132754E-18	1.971793E-19
6.828518E+03	2.997890E-18	1.873441E-19
6.986173E+03	3.018725E-18	1.861481E-19
7.147467E+03	3.177775E-18	1.931931E-19
7.312485E+03	3.433835E-18	2.061198E-19
7.481313E+03	3.726569E-18	2.203466E-19
7.654039E+03	4.010705E-18	2.320894E-19
7.830752E+03	4.270646E-18	2.410122E-19
8.011546E+03	4.448747E-18	2.474440E-19
8.196514E+03	4.522264E-18	2.513008E-19
8.385752E+03	4.534967E-18	2.527098E-19
8.579359E+03	4.553648E-18	2.535971E-19
8.777436E+03	4.583021E-18	2.534304E-19
8.980086E+03	4.608091E-18	2.527508E-19
9.187415E+03	4.647173E-18	2.574440E-19
9.399531E+03	4.750087E-18	2.700287E-19
9.616544E+03	4.929179E-18	2.874879E-19
9.838567E+03	5.141531E-18	3.078309E-19
1.006572E+04	5.334132E-18	3.267747E-19
1.029811E+04	5.448032E-18	3.365174E-19
1.053587E+04	5.516376E-18	3.386263E-19
1.077912E+04	5.618240E-18	3.406326E-19
1.102798E+04	5.703944E-18	3.430908E-19
1.128259E+04	5.683236E-18	3.409274E-19
1.154308E+04	5.556832E-18	3.306449E-19
1.180958E+04	5.392129E-18	3.160487E-19
1.208224E+04	5.231450E-18	2.996425E-19
1.236119E+04	5.059790E-18	2.822121E-19
1.264658E+04	4.898151E-18	2.729829E-19
1.293856E+04	4.881291E-18	2.778259E-19
1.323728E+04	5.146493E-18	2.988502E-19
1.354290E+04	5.666354E-18	3.361996E-19
1.385557E+04	6.164930E-18	3.687830E-19
1.417546E+04	6.369472E-18	3.741226E-19
1.450274E+04	6.351724E-18	3.614916E-19
1.483757E+04	6.416577E-18	3.542454E-19
1.518014E+04	6.747056E-18	3.610308E-19
1.553061E+04	7.200881E-18	3.729173E-19
1.588918E+04	7.424979E-18	3.707318E-19
1.625602E+04	7.225511E-18	3.491969E-19
1.663133E+04	6.797440E-18	3.287200E-19
1.701531E+04	6.421800E-18	3.176249E-19
1.740815E+04	6.255078E-18	3.174553E-19
1.781007E+04	6.453171E-18	3.394113E-19
1.822126E+04	7.095751E-18	3.921245E-19
1.864194E+04	7.969323E-18	4.556103E-19
1.907234E+04	8.687875E-18	4.918542E-19
1.951268E+04	9.189488E-18	4.996042E-19
1.996318E+04	9.694577E-18	5.063173E-19
2.042408E+04	1.019771E-17	5.156546E-19
2.089563E+04	1.040483E-17	5.082551E-19
2.137806E+04	1.011377E-17	4.837671E-19
2.187163E+04	9.431905E-18	4.728348E-19
2.237659E+04	8.598967E-18	4.792977E-19
2.289321E+04	7.907061E-18	4.952621E-19
2.342176E+04	7.618329E-18	5.392190E-19
2.396252E+04	7.802628E-18	6.593245E-19
2.451575E+04	8.374973E-18	9.462537E-19
