#wls	flux	fluxerr	mangling_mask
5.588042E+03	-1.646179E+01	1.448779E-01	1.952930E-01
5.588242E+03	-1.646122E+01	1.428639E-01	1.952913E-01
5.588442E+03	-1.646063E+01	1.425774E-01	1.952896E-01
5.588642E+03	-1.646046E+01	1.420259E-01	1.952879E-01
5.588842E+03	-1.646007E+01	1.410117E-01	1.952863E-01
5.589042E+03	-1.646019E+01	1.410971E-01	1.952846E-01
5.589242E+03	-1.645936E+01	1.388707E-01	1.952829E-01
5.589442E+03	-1.645978E+01	1.380310E-01	1.952812E-01
5.589642E+03	-1.645994E+01	1.379317E-01	1.952796E-01
5.589842E+03	-1.646002E+01	1.364485E-01	1.952779E-01
5.590042E+03	-1.646031E+01	1.369282E-01	1.952762E-01
5.590243E+03	-1.645988E+01	1.356181E-01	1.952745E-01
5.590443E+03	-1.645949E+01	1.348425E-01	1.952728E-01
5.590643E+03	-1.645979E+01	1.349398E-01	1.952712E-01
5.590843E+03	-1.646000E+01	1.340487E-01	1.952695E-01
5.591043E+03	-1.645993E+01	1.338497E-01	1.952678E-01
5.591243E+03	-1.645956E+01	1.331562E-01	1.952661E-01
5.591443E+03	-1.645958E+01	1.326247E-01	1.952645E-01
5.591643E+03	-1.645966E+01	1.319776E-01	1.952628E-01
5.591843E+03	-1.645984E+01	1.310224E-01	1.952611E-01
5.592043E+03	-1.645998E+01	1.297523E-01	1.952594E-01
5.592243E+03	-1.645976E+01	1.299606E-01	1.952578E-01
5.592443E+03	-1.645978E+01	1.289852E-01	1.952561E-01
5.592643E+03	-1.646014E+01	1.257983E-01	1.952544E-01
5.592843E+03	-1.646037E+01	1.257644E-01	1.952527E-01
5.593043E+03	-1.646071E+01	1.263155E-01	1.952510E-01
5.593243E+03	-1.646130E+01	1.245416E-01	1.952494E-01
5.593443E+03	-1.646146E+01	1.247759E-01	1.952477E-01
5.593643E+03	-1.646174E+01	1.248671E-01	1.952460E-01
5.593843E+03	-1.646170E+01	1.257408E-01	1.952443E-01
5.594043E+03	-1.646117E+01	1.254215E-01	1.952427E-01
5.594243E+03	-1.646078E+01	1.254062E-01	1.952410E-01
5.594443E+03	-1.646037E+01	1.241041E-01	1.952393E-01
5.594642E+03	-1.646082E+01	1.240248E-01	1.952377E-01
5.594842E+03	-1.646086E+01	1.220136E-01	1.952360E-01
5.595042E+03	-1.646181E+01	1.221691E-01	1.952343E-01
5.595243E+03	-1.646209E+01	1.217950E-01	1.952326E-01
5.595443E+03	-1.646246E+01	1.221174E-01	1.952309E-01
5.595643E+03	-1.646225E+01	1.223978E-01	1.952293E-01
5.595843E+03	-1.646188E+01	1.205076E-01	1.952276E-01
5.596043E+03	-1.646265E+01	1.199174E-01	1.952259E-01
5.596243E+03	-1.646338E+01	1.203887E-01	1.952242E-01
5.596443E+03	-1.646358E+01	1.203881E-01	1.952226E-01
5.596643E+03	-1.646348E+01	1.203568E-01	1.952209E-01
5.596843E+03	-1.646416E+01	1.194315E-01	1.952192E-01
5.597043E+03	-1.646422E+01	1.193844E-01	1.952175E-01
5.597243E+03	-1.646394E+01	1.189951E-01	1.952159E-01
5.597443E+03	-1.646361E+01	1.170756E-01	1.952142E-01
5.597643E+03	-1.646321E+01	1.173487E-01	1.952125E-01
5.597843E+03	-1.646381E+01	1.158178E-01	1.952108E-01
5.598043E+03	-1.646357E+01	1.162078E-01	1.952092E-01
5.598243E+03	-1.646399E+01	1.162399E-01	1.952075E-01
5.598443E+03	-1.646411E+01	1.161547E-01	1.952058E-01
5.598643E+03	-1.646463E+01	1.165447E-01	1.952041E-01
5.598843E+03	-1.646406E+01	1.161587E-01	1.952025E-01
5.599043E+03	-1.646392E+01	1.160820E-01	1.952008E-01
5.599243E+03	-1.646345E+01	1.142472E-01	1.951991E-01
5.599443E+03	-1.646327E+01	1.135595E-01	1.951974E-01
5.599643E+03	-1.646373E+01	1.143815E-01	1.951958E-01
5.599843E+03	-1.646329E+01	1.146625E-01	1.951941E-01
5.600043E+03	-1.646318E+01	1.133022E-01	1.951924E-01
5.600243E+03	-1.646429E+01	1.127770E-01	1.951907E-01
5.600443E+03	-1.646395E+01	1.133433E-01	1.951891E-01
5.600643E+03	-1.646455E+01	1.136435E-01	1.951874E-01
5.600844E+03	-1.646598E+01	1.140145E-01	1.951857E-01
5.601044E+03	-1.646532E+01	1.134925E-01	1.951840E-01
5.601244E+03	-1.646606E+01	1.136173E-01	1.951824E-01
5.601444E+03	-1.646565E+01	1.131282E-01	1.951807E-01
5.601644E+03	-1.646619E+01	1.129317E-01	1.951790E-01
5.601844E+03	-1.646696E+01	1.131141E-01	1.951774E-01
5.602044E+03	-1.646727E+01	1.131581E-01	1.951757E-01
5.602244E+03	-1.646687E+01	1.130023E-01	1.951740E-01
5.602444E+03	-1.646685E+01	1.135276E-01	1.951723E-01
5.602644E+03	-1.646719E+01	1.136183E-01	1.951707E-01
5.602844E+03	-1.646747E+01	1.136975E-01	1.951690E-01
5.603044E+03	-1.646795E+01	1.138351E-01	1.951673E-01
5.603244E+03	-1.646932E+01	1.139138E-01	1.951656E-01
5.603444E+03	-1.646932E+01	1.135829E-01	1.951640E-01
5.603644E+03	-1.646924E+01	1.134997E-01	1.951623E-01
5.603844E+03	-1.646986E+01	1.132306E-01	1.951606E-01
5.604044E+03	-1.647025E+01	1.128317E-01	1.951589E-01
5.604244E+03	-1.647001E+01	1.123051E-01	1.951573E-01
5.604444E+03	-1.646963E+01	1.116525E-01	1.951556E-01
5.604644E+03	-1.647057E+01	1.123260E-01	1.951539E-01
5.604844E+03	-1.647118E+01	1.100914E-01	1.951523E-01
5.605044E+03	-1.647174E+01	1.099481E-01	1.951506E-01
5.605244E+03	-1.647185E+01	1.093987E-01	1.951489E-01
5.605444E+03	-1.647221E+01	1.094660E-01	1.951472E-01
5.605644E+03	-1.647225E+01	1.095186E-01	1.951456E-01
5.605844E+03	-1.647195E+01	1.094826E-01	1.951439E-01
5.606044E+03	-1.647305E+01	1.099279E-01	1.951422E-01
5.606245E+03	-1.647359E+01	1.098841E-01	1.951405E-01
5.606445E+03	-1.647449E+01	1.099538E-01	1.951389E-01
5.606645E+03	-1.647549E+01	1.101512E-01	1.951372E-01
5.606845E+03	-1.647589E+01	1.097393E-01	1.951355E-01
5.607044E+03	-1.647630E+01	1.094469E-01	1.951339E-01
5.607244E+03	-1.647600E+01	1.096490E-01	1.951322E-01
5.607444E+03	-1.647716E+01	1.100245E-01	1.951305E-01
5.607645E+03	-1.647706E+01	1.098088E-01	1.951288E-01
5.607845E+03	-1.647784E+01	1.104307E-01	1.951272E-01
5.608044E+03	-1.647893E+01	1.103277E-01	1.951255E-01
5.608244E+03	-1.647893E+01	1.103298E-01	1.951238E-01
5.608444E+03	-1.647981E+01	1.100303E-01	1.951222E-01
5.608644E+03	-1.648049E+01	1.100254E-01	1.951205E-01
5.608844E+03	-1.648128E+01	1.096858E-01	1.951188E-01
5.609044E+03	-1.648223E+01	1.099485E-01	1.951171E-01
5.609244E+03	-1.648233E+01	1.091233E-01	1.951155E-01
5.609444E+03	-1.648281E+01	1.087815E-01	1.951138E-01
5.609644E+03	-1.648366E+01	1.083104E-01	1.951121E-01
5.609844E+03	-1.648362E+01	1.072326E-01	1.951105E-01
5.610044E+03	-1.648335E+01	1.071662E-01	1.951088E-01
5.610244E+03	-1.648350E+01	1.069927E-01	1.951071E-01
5.610444E+03	-1.648381E+01	1.058542E-01	1.951054E-01
