#wls	flux	fluxerr	mangling_mask
3.289393E+03	-1.710709E+01	4.987697E-02	0.000000E+00
3.365337E+03	-1.717524E+01	3.838049E-02	0.000000E+00
3.443035E+03	-1.724143E+01	3.325236E-02	0.000000E+00
3.522526E+03	-1.729971E+01	3.109393E-02	0.000000E+00
3.603853E+03	-1.734300E+01	2.952103E-02	0.000000E+00
3.687058E+03	-1.736577E+01	2.795814E-02	0.000000E+00
3.772183E+03	-1.736802E+01	2.654156E-02	0.000000E+00
3.859274E+03	-1.735508E+01	2.540405E-02	0.000000E+00
3.948375E+03	-1.733503E+01	2.436198E-02	0.000000E+00
4.039534E+03	-1.731456E+01	2.315507E-02	0.000000E+00
4.132797E+03	-1.729485E+01	2.177414E-02	0.000000E+00
4.228214E+03	-1.727118E+01	2.043092E-02	0.000000E+00
4.325833E+03	-1.723691E+01	1.932375E-02	0.000000E+00
4.425707E+03	-1.719015E+01	1.836752E-02	0.000000E+00
4.527886E+03	-1.713521E+01	1.732537E-02	0.000000E+00
4.632424E+03	-1.707899E+01	1.603900E-02	0.000000E+00
4.739376E+03	-1.702787E+01	1.469631E-02	0.000000E+00
4.848796E+03	-1.698808E+01	1.386720E-02	0.000000E+00
4.960744E+03	-1.696030E+01	1.366980E-02	0.000000E+00
5.075276E+03	-1.693999E+01	1.350986E-02	0.000000E+00
5.192452E+03	-1.692634E+01	1.313506E-02	0.000000E+00
5.312333E+03	-1.692018E+01	1.270505E-02	0.000000E+00
5.434982E+03	-1.691790E+01	1.252263E-02	0.000000E+00
5.560463E+03	-1.690664E+01	1.266888E-02	0.000000E+00
5.688841E+03	-1.687694E+01	1.283800E-02	0.000000E+00
5.820183E+03	-1.683775E+01	1.263593E-02	0.000000E+00
5.954557E+03	-1.679889E+01	1.208870E-02	0.000000E+00
6.092034E+03	-1.676433E+01	1.137244E-02	0.000000E+00
6.232684E+03	-1.673695E+01	1.070893E-02	0.000000E+00
6.376582E+03	-1.671683E+01	1.029180E-02	0.000000E+00
6.523803E+03	-1.669823E+01	1.012481E-02	0.000000E+00
6.674422E+03	-1.667305E+01	1.015598E-02	0.000000E+00
6.828518E+03	-1.664056E+01	1.007956E-02	0.000000E+00
6.986173E+03	-1.660504E+01	9.869668E-03	0.000000E+00
7.147467E+03	-1.657126E+01	9.724075E-03	0.000000E+00
7.312485E+03	-1.654188E+01	9.644585E-03	0.000000E+00
7.481313E+03	-1.651880E+01	9.516302E-03	0.000000E+00
7.654039E+03	-1.650128E+01	9.351839E-03	0.000000E+00
7.830752E+03	-1.648630E+01	9.237092E-03	0.000000E+00
8.011546E+03	-1.647773E+01	9.310458E-03	0.000000E+00
8.196514E+03	-1.647763E+01	9.421129E-03	0.000000E+00
8.385752E+03	-1.648176E+01	9.454232E-03	0.000000E+00
8.579359E+03	-1.648269E+01	9.503008E-03	0.000000E+00
8.777436E+03	-1.647803E+01	9.571346E-03	0.000000E+00
8.980086E+03	-1.646612E+01	9.491513E-03	0.000000E+00
9.187415E+03	-1.644377E+01	9.604318E-03	0.000000E+00
9.399531E+03	-1.640882E+01	9.943685E-03	0.000000E+00
9.616544E+03	-1.636459E+01	1.002989E-02	0.000000E+00
9.838567E+03	-1.631901E+01	1.009361E-02	0.000000E+00
1.006572E+04	-1.627949E+01	1.029093E-02	0.000000E+00
1.029811E+04	-1.625271E+01	1.049838E-02	0.000000E+00
1.053587E+04	-1.623979E+01	1.069447E-02	0.000000E+00
1.077912E+04	-1.623606E+01	1.083324E-02	0.000000E+00
1.102798E+04	-1.624401E+01	1.105739E-02	0.000000E+00
1.128259E+04	-1.626731E+01	1.136389E-02	0.000000E+00
1.154308E+04	-1.630253E+01	1.133863E-02	0.000000E+00
1.180958E+04	-1.634258E+01	1.113629E-02	0.000000E+00
