#wls	flux	fluxerr
3.289393E+03	1.441828E-17	2.516040E-18
3.365337E+03	1.228430E-17	1.933273E-18
3.443035E+03	1.045885E-17	1.580156E-18
3.522526E+03	9.034480E-18	1.342684E-18
3.603853E+03	8.071250E-18	1.184169E-18
3.687058E+03	7.582648E-18	1.098023E-18
3.772183E+03	7.512445E-18	1.074588E-18
3.859274E+03	7.745832E-18	1.095980E-18
3.948375E+03	8.109775E-18	1.134885E-18
4.039534E+03	8.445564E-18	1.166662E-18
4.132797E+03	8.737559E-18	1.189819E-18
4.228214E+03	9.130733E-18	1.227348E-18
4.325833E+03	9.826359E-18	1.308659E-18
4.425707E+03	1.094433E-17	1.447007E-18
4.527886E+03	1.247277E-17	1.635414E-18
4.632424E+03	1.428927E-17	1.853364E-18
4.739376E+03	1.618812E-17	2.074807E-18
4.848796E+03	1.783262E-17	2.264835E-18
4.960744E+03	1.905453E-17	2.406908E-18
5.075276E+03	1.996554E-17	2.508060E-18
5.192452E+03	2.054500E-17	2.561481E-18
5.312333E+03	2.072263E-17	2.561320E-18
5.434982E+03	2.068275E-17	2.537176E-18
5.560463E+03	2.110579E-17	2.576565E-18
5.688841E+03	2.244381E-17	2.730600E-18
5.820183E+03	2.434332E-17	2.947063E-18
5.954557E+03	2.634786E-17	3.167915E-18
6.092034E+03	2.823129E-17	3.367844E-18
6.232684E+03	2.977572E-17	3.525468E-18
6.376582E+03	3.088701E-17	3.635526E-18
6.523803E+03	3.186380E-17	3.735780E-18
6.674422E+03	3.332528E-17	3.897835E-18
6.828518E+03	3.548770E-17	4.138949E-18
6.986173E+03	3.819972E-17	4.439829E-18
7.147467E+03	4.113790E-17	4.767371E-18
7.312485E+03	4.399915E-17	5.085844E-18
7.481313E+03	4.641700E-17	5.349272E-18
7.654039E+03	4.830929E-17	5.550025E-18
7.830752E+03	4.992531E-17	5.722075E-18
8.011546E+03	5.058932E-17	5.794121E-18
8.196514E+03	4.999804E-17	5.726953E-18
8.385752E+03	4.876133E-17	5.583619E-18
8.579359E+03	4.785529E-17	5.477041E-18
8.777436E+03	4.753560E-17	5.437484E-18
8.980086E+03	4.797706E-17	5.482055E-18
9.187415E+03	4.964641E-17	5.674843E-18
9.399531E+03	5.308974E-17	6.080006E-18
9.616544E+03	5.826586E-17	6.677733E-18
9.838567E+03	6.435495E-17	7.380355E-18
1.006572E+04	7.019117E-17	8.063296E-18
1.029811E+04	7.405133E-17	8.528182E-18
1.053587E+04	7.555624E-17	8.727603E-18
1.077912E+04	7.572722E-17	8.768242E-18
1.102798E+04	7.404340E-17	8.592650E-18
1.128259E+04	6.984629E-17	8.125233E-18
1.154308E+04	6.407717E-17	7.458037E-18
1.180958E+04	5.821146E-17	6.770118E-18
1.208224E+04	5.287738E-17	6.137124E-18
1.236119E+04	4.782835E-17	5.534495E-18
1.264658E+04	4.329631E-17	5.026040E-18
1.293856E+04	4.061396E-17	4.748256E-18
1.323728E+04	4.080876E-17	4.801669E-18
1.354290E+04	4.326866E-17	5.136701E-18
1.385557E+04	4.534040E-17	5.417477E-18
1.417546E+04	4.476276E-17	5.343364E-18
1.450274E+04	4.237288E-17	5.043698E-18
1.483757E+04	4.057044E-17	4.827779E-18
1.518014E+04	4.037915E-17	4.807943E-18
1.553061E+04	4.051171E-17	4.827927E-18
1.588918E+04	3.895700E-17	4.641558E-18
1.625602E+04	3.539158E-17	4.213899E-18
1.663133E+04	3.151024E-17	3.767626E-18
1.701531E+04	2.862209E-17	3.446192E-18
1.740815E+04	2.703938E-17	3.275970E-18
1.781007E+04	2.720504E-17	3.319709E-18
1.822126E+04	2.921648E-17	3.604819E-18
1.864194E+04	3.161976E-17	3.939645E-18
1.907234E+04	3.233373E-17	4.034354E-18
1.951268E+04	3.143116E-17	3.909872E-18
1.996318E+04	3.042008E-17	3.780078E-18
2.042408E+04	2.964925E-17	3.686179E-18
2.089563E+04	2.834489E-17	3.521076E-18
2.137806E+04	2.601013E-17	3.228528E-18
2.187163E+04	2.290757E-17	2.865505E-18
2.237659E+04	1.956231E-17	2.489093E-18
2.289321E+04	1.670598E-17	2.169369E-18
2.342176E+04	1.496640E-17	1.989161E-18
2.396252E+04	1.436806E-17	1.993321E-18
2.451575E+04	1.455989E-17	2.254834E-18
