#wls	flux	fluxerr	mangling_mask
5.600438E+03	-1.611354E+01	1.451829E-01	2.331398E-01
5.600638E+03	-1.611333E+01	1.446459E-01	2.331295E-01
5.600838E+03	-1.611359E+01	1.437356E-01	2.331191E-01
5.601039E+03	-1.611319E+01	1.433670E-01	2.331087E-01
5.601239E+03	-1.611250E+01	1.432153E-01	2.330983E-01
5.601439E+03	-1.611306E+01	1.434253E-01	2.330879E-01
5.601639E+03	-1.611321E+01	1.424288E-01	2.330776E-01
5.601839E+03	-1.611301E+01	1.421762E-01	2.330672E-01
5.602039E+03	-1.611361E+01	1.385289E-01	2.330568E-01
5.602239E+03	-1.611338E+01	1.376643E-01	2.330464E-01
5.602439E+03	-1.611318E+01	1.372116E-01	2.330361E-01
5.602639E+03	-1.611320E+01	1.369447E-01	2.330257E-01
5.602839E+03	-1.611297E+01	1.343449E-01	2.330153E-01
5.603039E+03	-1.611281E+01	1.315565E-01	2.330050E-01
5.603239E+03	-1.611278E+01	1.299562E-01	2.329946E-01
5.603439E+03	-1.611277E+01	1.289491E-01	2.329842E-01
5.603639E+03	-1.611245E+01	1.284354E-01	2.329739E-01
5.603839E+03	-1.611235E+01	1.285965E-01	2.329635E-01
5.604039E+03	-1.611235E+01	1.286417E-01	2.329531E-01
5.604239E+03	-1.611226E+01	1.285556E-01	2.329428E-01
5.604439E+03	-1.611179E+01	1.284710E-01	2.329324E-01
5.604639E+03	-1.611119E+01	1.256421E-01	2.329220E-01
5.604839E+03	-1.611079E+01	1.253312E-01	2.329117E-01
5.605039E+03	-1.611035E+01	1.252110E-01	2.329013E-01
5.605239E+03	-1.610980E+01	1.244966E-01	2.328910E-01
5.605439E+03	-1.610944E+01	1.234346E-01	2.328806E-01
5.605639E+03	-1.610906E+01	1.233997E-01	2.328702E-01
5.605839E+03	-1.610875E+01	1.214956E-01	2.328599E-01
5.606039E+03	-1.610832E+01	1.189437E-01	2.328495E-01
5.606239E+03	-1.610783E+01	1.187606E-01	2.328391E-01
5.606440E+03	-1.610731E+01	1.174175E-01	2.328287E-01
5.606640E+03	-1.610684E+01	1.172391E-01	2.328184E-01
5.606840E+03	-1.610650E+01	1.151048E-01	2.328080E-01
5.607039E+03	-1.610687E+01	1.139377E-01	2.327977E-01
5.607239E+03	-1.610646E+01	1.128703E-01	2.327873E-01
5.607440E+03	-1.610577E+01	1.128776E-01	2.327769E-01
5.607640E+03	-1.610560E+01	1.117707E-01	2.327666E-01
5.607840E+03	-1.610572E+01	1.118259E-01	2.327562E-01
5.608039E+03	-1.610564E+01	1.116051E-01	2.327459E-01
