#wls	flux	fluxerr	mangling_mask
3.289393E+03	-1.499530E+01	9.037245E-02	9.068535E-02
3.365337E+03	-1.500348E+01	7.581148E-02	9.068535E-02
3.443035E+03	-1.500126E+01	6.226191E-02	9.068535E-02
3.522526E+03	-1.498673E+01	5.068032E-02	9.068535E-02
3.603853E+03	-1.495967E+01	4.068088E-02	9.068535E-02
3.687058E+03	-1.492363E+01	3.142721E-02	9.068535E-02
3.772183E+03	-1.488721E+01	2.336369E-02	8.975558E-02
3.859274E+03	-1.486019E+01	1.781226E-02	8.804379E-02
3.948375E+03	-1.484906E+01	1.486984E-02	8.633212E-02
4.039534E+03	-1.485532E+01	1.338587E-02	8.462521E-02
4.132797E+03	-1.487545E+01	1.264341E-02	8.292806E-02
4.228214E+03	-1.490336E+01	1.230314E-02	8.124609E-02
4.325833E+03	-1.493294E+01	1.206568E-02	7.958572E-02
4.425707E+03	-1.496092E+01	1.191386E-02	7.795327E-02
4.527886E+03	-1.498716E+01	1.183336E-02	7.635613E-02
4.632424E+03	-1.501206E+01	1.174908E-02	7.480243E-02
4.739376E+03	-1.503558E+01	1.168518E-02	7.330095E-02
4.848796E+03	-1.505917E+01	1.167450E-02	7.186071E-02
4.960744E+03	-1.508329E+01	1.163183E-02	7.049271E-02
5.075276E+03	-1.510591E+01	1.155592E-02	6.920761E-02
5.192452E+03	-1.512643E+01	1.155901E-02	6.801808E-02
5.312333E+03	-1.514634E+01	1.158867E-02	6.693685E-02
5.434982E+03	-1.516794E+01	1.156629E-02	6.597904E-02
5.560463E+03	-1.519011E+01	1.153779E-02	6.515904E-02
5.688841E+03	-1.521070E+01	1.156420E-02	6.449510E-02
5.820183E+03	-1.523158E+01	1.159224E-02	6.400451E-02
5.954557E+03	-1.525478E+01	1.157226E-02	6.370661E-02
6.092034E+03	-1.528032E+01	1.150175E-02	6.362419E-02
6.232684E+03	-1.530818E+01	1.134304E-02	6.377808E-02
6.376582E+03	-1.533796E+01	1.108495E-02	6.419439E-02
6.523803E+03	-1.536804E+01	1.088444E-02	6.489966E-02
6.674422E+03	-1.539688E+01	1.084305E-02	6.592194E-02
6.828518E+03	-1.542556E+01	1.089055E-02	6.729270E-02
6.986173E+03	-1.545516E+01	1.102806E-02	6.904434E-02
7.147467E+03	-1.548450E+01	1.114136E-02	7.121272E-02
7.312485E+03	-1.551090E+01	1.113804E-02	7.383569E-02
7.481313E+03	-1.553356E+01	1.108635E-02	7.695749E-02
7.654039E+03	-1.555274E+01	1.106225E-02	8.061842E-02
7.830752E+03	-1.556965E+01	1.108598E-02	8.486241E-02
8.011546E+03	-1.558960E+01	1.114551E-02	8.970296E-02
8.196514E+03	-1.561432E+01	1.120603E-02	9.511910E-02
8.385752E+03	-1.564222E+01	1.126885E-02	1.010966E-01
8.579359E+03	-1.567330E+01	1.137026E-02	1.076231E-01
8.777436E+03	-1.571020E+01	1.153761E-02	1.146908E-01
8.980086E+03	-1.575157E+01	1.177170E-02	1.222925E-01
9.187415E+03	-1.579220E+01	1.213684E-02	1.304239E-01
9.399531E+03	-1.582871E+01	1.262238E-02	1.390154E-01
9.616544E+03	-1.586403E+01	1.338621E-02	1.479428E-01
9.838567E+03	-1.590608E+01	1.513464E-02	1.570779E-01
1.006572E+04	-1.596074E+01	1.815921E-02	1.662950E-01
1.029811E+04	-1.602788E+01	2.239879E-02	1.677094E-01
1.053587E+04	-1.609734E+01	2.797245E-02	1.677094E-01
1.077912E+04	-1.615510E+01	3.457288E-02	1.677094E-01
1.102798E+04	-1.619714E+01	4.065557E-02	1.677094E-01
