#wls	flux	fluxerr
3.289393E+03	8.282943E-17	4.592273E-17
3.365337E+03	8.231498E-17	4.503159E-17
3.443035E+03	8.126981E-17	4.426871E-17
3.522526E+03	7.969516E-17	4.381674E-17
3.603853E+03	7.763301E-17	4.367614E-17
3.687058E+03	7.529634E-17	4.375919E-17
3.772183E+03	7.316277E-17	4.408168E-17
3.859274E+03	7.175296E-17	4.474909E-17
3.948375E+03	7.140434E-17	4.584665E-17
4.039534E+03	7.140434E-17	4.683553E-17
4.132797E+03	7.140434E-17	4.741213E-17
4.228214E+03	7.140434E-17	4.752994E-17
4.325833E+03	7.140434E-17	4.717756E-17
4.425707E+03	7.140434E-17	4.637754E-17
4.527886E+03	7.140434E-17	4.518872E-17
4.632424E+03	7.140434E-17	4.371125E-17
4.739376E+03	7.140434E-17	4.209152E-17
4.848796E+03	7.140434E-17	4.052078E-17
4.960744E+03	7.140434E-17	3.921667E-17
5.075276E+03	7.140434E-17	3.837501E-17
5.192452E+03	7.140434E-17	3.809133E-17
5.312333E+03	7.140434E-17	3.829911E-17
5.434982E+03	7.140434E-17	3.881594E-17
5.560463E+03	6.635886E-17	3.665316E-17
5.688841E+03	6.125489E-17	3.432825E-17
5.820183E+03	5.647129E-17	3.199972E-17
5.954557E+03	5.225003E-17	2.982714E-17
6.092034E+03	4.865409E-17	2.789893E-17
6.232684E+03	4.566005E-17	2.624545E-17
6.376582E+03	4.315131E-17	2.481186E-17
6.523803E+03	4.092750E-17	2.347173E-17
6.674422E+03	3.876790E-17	2.209127E-17
6.828518E+03	3.652698E-17	2.060526E-17
6.986173E+03	3.407773E-17	1.899281E-17
7.147467E+03	3.126730E-17	1.724615E-17
7.312485E+03	2.797330E-17	1.537687E-17
7.481313E+03	2.423430E-17	1.344328E-17
7.654039E+03	2.024746E-17	1.151140E-17
7.830752E+03	1.632154E-17	9.642149E-18
8.011546E+03	1.278968E-17	7.917253E-18
8.196514E+03	9.808357E-18	6.378196E-18
8.385752E+03	7.396359E-18	5.042101E-18
8.579359E+03	5.517083E-18	3.923775E-18
8.777436E+03	4.103235E-18	3.026261E-18
8.980086E+03	3.057946E-18	2.324583E-18
9.187415E+03	2.288766E-18	1.783642E-18
9.399531E+03	1.726645E-18	1.373704E-18
9.616544E+03	1.322899E-18	1.071691E-18
9.838567E+03	1.039735E-18	8.568305E-19
1.006572E+04	8.443681E-19	7.081323E-19
1.029811E+04	7.094775E-19	6.062441E-19
1.053587E+04	6.114353E-19	5.328967E-19
1.077912E+04	5.330459E-19	4.739301E-19
1.102798E+04	4.672795E-19	4.234360E-19
1.128259E+04	4.118753E-19	3.797633E-19
1.154308E+04	3.652225E-19	3.420309E-19
1.180958E+04	3.262416E-19	3.099515E-19
1.208224E+04	2.946398E-19	2.839821E-19
1.236119E+04	2.703726E-19	2.647369E-19
1.264658E+04	2.525020E-19	2.517934E-19
1.293856E+04	2.388159E-19	2.431828E-19
1.323728E+04	2.273790E-19	2.369014E-19
1.354290E+04	2.179369E-19	2.325227E-19
1.385557E+04	2.114858E-19	2.310068E-19
1.417546E+04	2.081820E-19	2.325610E-19
1.450274E+04	2.062398E-19	2.352764E-19
1.483757E+04	2.029768E-19	2.361126E-19
1.518014E+04	1.967847E-19	2.331414E-19
1.553061E+04	1.879782E-19	2.266771E-19
1.588918E+04	1.774376E-19	2.177684E-19
1.625602E+04	1.653234E-19	2.065946E-19
1.663133E+04	1.513521E-19	1.926952E-19
1.701531E+04	1.360265E-19	1.765127E-19
1.740815E+04	1.204952E-19	1.593603E-19
1.781007E+04	1.056079E-19	1.422829E-19
1.822126E+04	9.227355E-20	1.265331E-19
1.864194E+04	8.164327E-20	1.138259E-19
1.907234E+04	7.416540E-20	1.050047E-19
1.951268E+04	6.914767E-20	9.931252E-20
1.996318E+04	6.560481E-20	9.550240E-20
2.042408E+04	6.315834E-20	9.314157E-20
2.089563E+04	6.207083E-20	9.272462E-20
2.137806E+04	6.207083E-20	9.395706E-20
2.187163E+04	6.207083E-20	9.526712E-20
2.237659E+04	6.207083E-20	9.667023E-20
2.289321E+04	6.207083E-20	9.816404E-20
2.342176E+04	6.207083E-20	9.973493E-20
2.396252E+04	6.207083E-20	1.013639E-19
2.451575E+04	6.207083E-20	1.030310E-19
